Date,Evapotranspiration
20110101,71520
20110102,135000
20110103,164100
20110104,167300
20110105,154900
20110106,157200
20110107,202600
20110108,149000
20110109,159300
20110110,164200
20110111,151000
20110112,161200
20110113,132600
20110114,175200
20110115,172300
20110116,149100
20110117,158500
20110118,146500
20110119,148900
20110120,164800
20110121,159600
20110122,172400
20110123,217700
20110124,164200
20110125,175200
20110126,154700
20110127,151200
20110128,191000
20110129,162500
20110130,164400
20110131,167600
20110201,189900
20110202,177800
20110203,177800
20110204,178300
20110205,191400
20110206,166200
20110207,189600
20110208,210900
20110209,181300
20110210,166500
20110211,188400
20110212,171900
20110213,184300
20110214,237300
20110215,178400
20110216,204800
20110217,193200
20110218,181700
20110219,183300
20110220,194600
20110221,90270
20110222,164800
20110223,164800
20110224,195800
20110225,96800
20110226,192300
20110227,209600
20110228,176100
20110301,197700
20110302,169100
20110303,208800
20110304,189100
20110305,185800
20110306,189600
20110307,189500
20110308,213300
20110309,206500
20110310,221600
20110311,166800
20110312,175200
20110313,200400
20110314,212100
20110315,204600
20110316,208100
20110317,194100
20110318,192000
20110319,198500
20110320,181600
20110321,204300
20110322,237600
20110323,186900
20110324,115200
20110325,69800
20110326,220600
20110327,63170
20110328,74190
20110329,153800
20110330,208700
20110331,163100
20110401,240900
20110402,251200
20110403,209300
20110404,235400
20110405,188500
20110406,227500
20110407,260200
20110408,183200
20110409,263800
20110410,64270
20110411,55370
20110412,96590
20110413,212200
20110414,81200
20110415,93660
20110416,58980
20110417,59220
20110418,90910
20110419,36850
20110420,61810
20110421,69110
20110422,48180
20110423,39930
20110424,46290
20110425,222000
20110426,81620
20110427,242900
20110428,232500
20110429,227100
20110430,216600
20110501,56830
20110502,158200
20110503,203500
20110504,161300
20110505,175300
20110506,168300
20110507,196900
20110508,225600
20110509,148100
20110510,190400
20110511,211200
20110512,32400
20110513,185700
20110514,57230
20110515,66960
20110516,72150
20110517,236400
20110518,113400
20110519,55450
20110520,134000
20110521,196400
20110522,202000
20110523,185100
20110524,107200
20110525,142500
20110526,47020
20110527,33420
20110528,6769
20110529,43190
20110530,180800
20110531,87000
20110601,197200
20110602,125300
20110603,102800
20110604,32070
20110605,79000
20110606,75220
20110607,98340
20110608,49550
20110609,50820
20110610,38920
20110611,97750
20110612,75320
20110613,25280
20110614,70350
20110615,74980
20110616,42130
20110617,66850
20110618,103100
20110619,2826
20110620,47320
20110621,31660
20110622,259600
20110623,46720
20110624,45200
20110625,32460
20110626,46110
20110627,31020
20110628,60610
20110629,4512
20110630,44990
20110701,101800
20110702,66460
20110703,84060
20110704,49790
20110705,0
20110706,63480
20110707,112300
20110708,84110
20110709,33140
20110710,19300
20110711,61700
20110712,36940
20110713,57640
20110714,68450
20110715,26160
20110716,140600
20110717,113500
20110718,45360
20110719,82010
20110720,76160
20110721,69700
20110722,89290
20110723,87590
