Date,Observed Storage,
20110101,3.74,
20110102,3.76,
20110103,3.77,
20110104,3.78,
20110105,3.79,
20110106,3.81,
20110107,3.82,
20110108,3.83,
20110109,3.84,
20110110,3.85,
20110111,3.86,
20110112,3.88,
20110113,3.88,
20110114,3.89,
20110115,3.89,
20110116,3.9,
20110117,3.91,
20110118,3.92,
20110119,3.93,
20110120,3.93,
20110121,3.94,
20110122,3.95,
20110123,3.95,
20110124,3.96,
20110125,3.97,
20110126,3.98,
20110127,3.98,
20110128,3.98,
20110129,3.99,
20110130,3.99,
20110131,4,
20110201,4,
20110202,4,
20110203,4.01,
20110204,4.01,
20110205,4.02,
20110206,4.02,
20110207,4.02,
20110208,4.03,
20110209,4.03,
20110210,4.03,
20110211,4.04,
20110212,4.04,
20110213,4.04,
20110214,4.04,
20110215,4.05,
20110216,4.05,
20110217,4.05,
20110218,4.05,
20110219,4.06,
20110220,4.06,
20110221,4.06,
20110222,4.07,
20110223,4.07,
20110224,4.07,
20110225,4.08,
20110226,4.1,
20110227,4.1,
20110228,4.1,
20110301,4.1,
20110302,4.11,
20110303,4.11,
20110304,4.11,
20110305,4.11,
20110306,4.11,
20110307,4.11,
20110308,4.11,
20110309,4.11,
20110310,4.11,
20110311,4.11,
20110312,4.11,
20110313,4.11,
20110314,4.11,
20110315,4.11,
20110316,4.11,
20110317,4.11,
20110318,4.1,
20110319,4.1,
20110320,4.09,
20110321,4.09,
20110322,4.09,
20110323,4.09,
20110324,4.09,
20110325,4.09,
20110326,4.08,
20110327,4.08,
20110328,4.08,
20110329,4.08,
20110330,4.08,
20110331,4.08,
20110401,4.08,
20110402,4.07,
20110403,4.05,
20110404,4.04,
20110405,4.02,
20110406,4,
20110407,3.98,
20110408,3.95,
20110409,3.92,
20110410,3.91,
20110411,3.88,
20110412,3.86,
20110413,3.83,
20110414,3.81,
20110415,3.79,
20110416,3.76,
20110417,3.74,
20110418,3.73,
20110419,3.73,
20110420,3.74,
20110421,3.74,
20110422,3.76,
20110423,3.77,
20110424,3.77,
20110425,3.79,
20110426,3.79,
20110427,3.79,
20110428,3.79,
20110429,3.79,
20110430,3.79,
20110501,3.8,
20110502,3.81,
20110503,3.81,
20110504,3.81,
20110505,3.81,
20110506,3.81,
20110507,3.81,
20110508,3.81,
20110509,3.81,
20110510,3.81,
20110511,3.81,
20110512,3.8,
20110513,3.8,
20110514,3.81,
20110515,3.81,
20110516,3.79,
20110517,3.78,
20110518,3.78,
20110519,3.78,
20110520,3.78,
20110521,3.78,
20110522,3.78,
20110523,3.78,
20110524,3.78,
20110525,3.78,
20110526,3.78,
20110527,3.79,
20110528,3.79,
20110529,3.79,
20110530,3.79,
20110531,6.34,
20110601,3.8,
20110602,3.79,
20110603,3.8,
20110604,3.81,
20110605,3.82,
20110606,3.84,
20110607,3.85,
20110608,3.87,
20110609,3.89,
20110610,3.91,
20110611,3.93,
20110612,3.95,
20110613,4,
20110614,4.05,
20110615,4.13,
20110616,4.18,
20110617,4.23,
20110618,4.35,
20110619,4.47,
20110620,4.53,
20110621,4.56,
20110622,4.6,
20110623,4.65,
20110624,4.77,
20110625,4.95,
20110626,5.39,
20110627,5.73,
20110628,6.32,
20110629,6.68,
20110630,6.93,
20110701,7.16,
20110702,7.4,
20110703,7.5,
20110704,7.47,
20110705,7.47,
20110706,7.5,
20110707,7.52,
20110708,7.49,
20110709,7.5,
20110710,7.5,
20110711,7.54,
20110712,7.54,
20110713,7.57,
20110714,7.55,
20110715,7.57,
20110716,7.52,
20110717,7.62,
20110718,7.42,
20110719,7.67,
20110720,7.56,
20110721,7.67,
20110722,7.65,
20110723,7.61,
20110724,7.7,
20110725,7.68,
20110726,7.5,
20110727,7.43,
20110728,7.69,
20110729,7.74,
20110730,7.67,
20110731,7.81,
20110801,7.57,
20110802,7.66,
20110803,7.88,
20110804,7.82,
20110805,7.88,
20110806,7.98,
20110807,7.62,
20110808,7.55,
20110809,7.33,
20110810,7.41,
20110811,7.67,
20110812,7.87,
20110813,8.02,
20110814,7.93,
20110815,7.78,
20110816,7.87,
20110817,7.97,
20110818,8.04,
20110819,8.1,
