Date,Level
20110101,2916.07
20110102,2915.95
20110103,2915.82
20110104,2915.77
20110105,2915.77
20110106,2915.75
20110107,2915.72
20110108,2915.69
20110109,2915.68
20110110,2915.67
20110111,2915.64
20110112,2915.61
20110113,2915.61
20110114,2915.6
20110115,2915.58
20110116,2915.56
20110117,2915.54
20110118,2915.51
20110119,2915.5
20110120,2915.49
20110121,2915.48
20110122,2915.47
20110123,2915.46
20110124,2915.45
20110125,2915.44
20110126,2915.42
20110127,2915.42
20110128,2915.41
20110129,2915.4
20110130,2915.39
20110131,2915.38
20110201,2915.37
20110202,2915.36
20110203,2915.35
20110204,2915.34
20110205,2915.33
20110206,2915.32
20110207,2915.31
20110208,2915.3
20110209,2915.29
20110210,2915.28
20110211,2915.27
20110212,2915.12
20110213,2914.97
20110214,2914.82
20110215,2914.67
20110216,2914.52
20110217,2914.3
20110218,2914.05
20110219,2913.79
20110220,2913.44
20110221,2913.1
20110222,2912.77
20110223,2912.43
20110224,2912.06
20110225,2911.67
20110226,2911.28
20110227,2910.89
20110228,2910.5
20110301,2910.11
20110302,2909.71
20110303,2909.3
20110304,2908.89
20110305,2908.89
20110306,2908.07
20110307,2907.65
20110308,2907.22
20110309,2906.79
20110310,2906.36
20110311,2905.93
20110312,2905.49
20110313,2905.07
20110314,2904.64
20110315,2904.27
20110316,2903.9
20110317,2903.54
20110318,2903.16
20110319,2902.78
20110320,2902.4
20110321,2902.02
20110322,2901.64
20110323,2901.26
20110324,2900.78
20110325,2900.32
20110326,2899.84
20110327,2899.3
20110328,2898.76
20110329,2898.76
20110330,2897.68
20110331,2897.14
20110401,2896.6
20110402,2896.06
20110403,2895.52
20110404,2895.01
20110405,2894.5
20110406,2893.98
20110407,2893.46
20110408,2892.94
20110409,2892.42
20110410,2891.9
20110411,2891.38
20110412,2890.86
20110413,2890.34
20110414,2889.82
20110415,2889.3
20110416,2888.79
20110417,2888.43
20110418,2888.07
20110419,2887.59
20110420,2887.08
20110421,2886.57
20110422,2886.06
20110423,2885.55
20110424,2885.04
20110425,2884.53
20110426,2884.02
20110427,2883.51
20110428,2883
20110429,2882.6
20110430,2882.2
20110501,2881.8
20110502,2881.4
20110503,2881
20110504,2880.6
20110505,2880.23
20110506,2879.85
20110507,2879.46
20110508,2879.07
20110509,2878.68
20110510,2878.29
20110511,2877.88
20110512,2877.44
20110513,2876.98
20110514,2876.52
20110515,2876.07
20110516,2875.62
20110517,2875.17
20110518,2874.7
20110519,2874.26
20110520,2873.84
20110521,2873.44
20110522,2873.06
20110523,2872.68
20110524,2872.3
20110525,2871.93
20110526,2871.57
20110527,2871.22
20110528,2870.92
20110529,2870.31
20110530,2869.7
20110531,2869.25
20110601,2868.99
20110602,2868.96
20110603,2868.94
20110604,2868.91
20110605,2868.83
20110606,2869
20110607,2869.95
20110608,2870.8
20110609,2871.5
20110610,2872.55
20110611,2873.69
20110612,2875.2
