Date,Simulated Outflow
20110101,122.5
20110102,64.64
20110103,63.78
20110104,37.23
20110105,45.96
20110106,62.59
20110107,60.5
20110108,57.02
20110109,50.43
20110110,54.07
20110111,60.92
20110112,39.47
20110113,50.71
20110114,45.78
20110115,47.62
20110116,46.82
20110117,45.49
20110118,44.46
20110119,39.39
20110120,41.03
20110121,41.09
20110122,39.78
20110123,38.1
20110124,37.82
20110125,36.74
20110126,36.08
20110127,35.21
20110128,33.65
20110129,33.12
20110130,32.22
20110131,31.34
20110201,30.07
20110202,29.44
20110203,28.78
20110204,27.85
20110205,26.95
20110206,26.38
20110207,21.95
20110208,13.86
20110209,12.75
20110210,12.19
20110211,11.4
20110212,45.62
20110213,42
20110214,42
20110215,42
20110216,42
20110217,61
20110218,69
20110219,70
20110220,93
20110221,90
20110222,89
20110223,92
20110224,99
20110225,99
20110226,99
20110227,99
20110228,99
20110301,99
20110302,99
20110303,99
20110304,99
20110305,99
20110306,99
20110307,99
20110308,99
20110309,99
20110310,99
20110311,99
20110312,99
20110313,95
20110314,95
20110315,81
20110316,82
20110317,79
20110318,82
20110319,83
20110320,83
20110321,83
20110322,80
20110323,80
20110324,103
20110325,97
20110326,97
20110327,97
20110328,97
20110329,97
20110330,97
20110331,97
20110401,97
20110402,97
20110403,97
20110404,92
20110405,92
20110406,93
20110407,93
20110408,93
20110409,93
20110410,93
20110411,93
20110412,93
20110413,93
20110414,94
20110415,94
20110416,93
20110417,66
20110418,66
20110419,66
20110420,66
20110421,66
20110422,66
20110423,66
20110424,66
20110425,66
20110426,66
20110427,66
20110428,66
20110429,52
20110430,52
20110501,52
20110502,52
20110503,52
20110504,52
20110505,49
20110506,50
20110507,52
20110508,52
20110509,52
20110510,52
20110511,52
20110512,52
20110513,55
20110514,55
20110515,55
20110516,55
20110517,55
20110518,55
20110519,52
20110520,52
20110521,52
20110522,52
20110523,52
20110524,52
20110525,52
20110526,52
20110527,52
20110528,45
20110529,57
20110530,59
20110531,48.31
20110601,4.129
20110602,2.853
20110603,27.73
20110604,9.126
20110605,4.969
20110606,3.286
20110607,2.648
20110608,2.498
20110609,2.405
20110610,7.759
20110611,5.92
20110612,5
20110613,5
20110614,5
20110615,5
20110616,5
20110617,5
20110618,17
20110619,28
20110620,28
20110621,18.34
20110622,7.485
20110623,8.755
20110624,9.463
20110625,10.43
20110626,14
20110627,14
20110628,14
20110629,26
20110630,7
20110701,5
20110702,5
20110703,5
20110704,5
20110705,5
20110706,5
20110707,5
20110708,5
20110709,5
20110710,5
20110711,5
20110712,5
20110713,24
20110714,16
20110715,14
20110716,27
20110717,28
20110718,28
20110719,28
20110720,28
20110721,28
20110722,28
20110723,28
20110724,28
20110725,28
20110726,28
20110727,28
20110728,28
20110729,28
20110730,28
20110731,28
20110801,28
20110802,28
20110803,28
20110804,60
20110805,118
20110806,92
20110807,69
20110808,88
20110809,131
20110810,150
20110811,155
20110812,169
20110813,213
20110814,186
20110815,169
20110816,178
20110817,198
20110818,165
20110819,147
20110820,149
20110821,149
20110822,149
20110823,150
20110824,152
20110825,166
20110826,173
20110827,173
20110828,173
20110829,173
20110830,173
20110831,134
20110901,95
20110902,95
20110903,127
20110904,352
20110905,475
20110906,458
20110907,355
20110908,264
20110909,223
20110910,252
20110911,202
20110912,197
20110913,165
20110914,161
20110915,162
20110916,129
20110917,143
20110918,160
20110919,160
20110920,160
20110921,160
20110922,157
20110923,159
20110924,160
20110925,146
20110926,147
20110927,147
20110928,147
20110929,134
20110930,147
20111001,147
20111002,146
20111003,143
20111004,92
20111005,118
20111006,146
20111007,146
20111008,142
20111009,135
20111010,135
20111011,132
20111012,139
20111013,141
20111014,141
20111015,141
20111016,141
20111017,141
20111018,142
20111019,143
20111020,143
20111021,143
20111022,141
20111023,127
20111024,129
20111025,123
20111026,143
20111027,140
20111028,142
20111029,143
20111030,143
20111031,143
20111101,140
20111102,140
20111103,133
20111104,143
20111105,135
20111106,141
20111107,143
20111108,143
20111109,140
20111110,140
20111111,142
20111112,142
20111113,142
20111114,142
20111115,143
20111116,143
20111117,143
20111118,143
20111119,143
20111120,144
20111121,138
20111122,142
20111123,143
20111124,143
20111125,143
20111126,143
20111127,143
20111128,143
20111129,143
20111130,143
20111201,143
20111202,143
20111203,143
20111204,143
20111205,143
20111206,122
20111207,80
20111208,109
20111209,138
20111210,144
20111211,143
20111212,144
20111213,144
20111214,144
20111215,143
20111216,143
20111217,144
20111218,129
20111219,97.99
20111220,66.03
20111221,64.7
20111222,63.44
20111223,62.08
20111224,60.82
20111225,59.61
20111226,58.37
20111227,57.08
20111228,55.91
20111229,54.69
20111230,16
20111231,18
20120101,122.9
20120102,2
20120103,2
20120104,2
20120105,2
20120106,2
20120107,2
20120108,2
20120109,2
20120110,2
20120111,2
20120112,2
20120113,2
20120114,2
20120115,2
20120116,2
20120117,2
20120118,2
20120119,2
20120120,2
20120121,2
20120122,2
20120123,2
20120124,2
20120125,2
20120126,2
20120127,2
20120128,2
20120129,2
20120130,2
20120131,2
20120201,2
20120202,2
20120203,2
20120204,2
20120205,2
20120206,2
20120207,2
20120208,2
20120209,2
20120210,2
20120211,2
20120212,2
20120213,2
20120214,2
20120215,2
20120216,2
20120217,2
20120218,2
20120219,2
20120220,2
20120221,2
20120222,2
20120223,2
20120224,2
20120225,2
20120226,2
20120227,2
20120228,2
20120229,2
20120301,2
20120302,2
20120303,2
20120304,7
20120305,57
20120306,61
20120307,72
20120308,103
20120309,0
20120310,0
20120311,0
20120312,0
20120313,0
20120314,0
20120315,0
20120316,132
20120317,133
20120318,135
20120319,129
20120320,127
20120321,59.93
20120322,1.543
20120323,1.508
20120324,1.538
20120325,1.493
20120326,1.473
20120327,1.411
20120328,1.391
20120329,1.417
20120330,1.416
20120331,1.382
20120401,1.305
20120402,1.401
20120403,1.314
20120404,1.316
20120405,1.191
20120406,1.337
20120407,1.24
20120408,1.123
20120409,1.204
20120410,1.24
20120411,1.149
20120412,1.156
20120413,1.17
20120414,1.161
20120415,1.062
20120416,1.119
20120417,1.34
20120418,1.06
20120419,1.439
20120420,1.152
20120421,1.426
20120422,1.26
20120423,1.145
20120424,1.278
20120425,1.359
20120426,1.471
20120427,1.492
20120428,2.837
20120429,1.97
20120430,1.574
20120501,1.712
20120502,1.473
20120503,1.418
20120504,1.399
20120505,1.343
20120506,1.321
20120507,1.293
20120508,1.229
20120509,1.573
20120510,1.332
20120511,1.354
20120512,34.17
20120513,9.914
20120514,4.146
20120515,2.44
20120516,1.942
20120517,1.783
20120518,1.479
20120519,1.44
20120520,1.421
20120521,1.384
20120522,1.32
20120523,1.206
20120524,1.241
20120525,1.172
20120526,1.173
20120527,1.088
20120528,0.9545
20120529,1.034
20120530,1.221
20120531,0.9284
20120601,0.9393
20120602,1.205
20120603,1.231
20120604,1.285
20120605,2.03
20120606,80.53
20120607,99
20120608,55.63
20120609,11.29
20120610,5.532
20120611,3.667
20120612,22.47
20120613,9.655
20120614,34
20120615,35
20120616,42
20120617,58
20120618,65
20120619,99
20120620,101
20120621,100
20120622,97
20120623,92
20120624,92
20120625,92
20120626,92
20120627,90
20120628,90
20120629,90
20120630,88
20120701,82
20120702,89
20120703,88
20120704,83
20120705,84
20120706,84
20120707,83
20120708,79
20120709,80
20120710,80
20120711,69
20120712,62
20120713,60
20120714,60
20120715,60
20120716,60
20120717,55
20120718,48
20120719,18
20120720,18
20120721,18
20120722,25
20120723,32
20120724,28
20120725,25
20120726,19
20120727,19
20120728,3
20120729,3
20120730,3
20120731,3
20120801,26
20120802,26
20120803,26
20120804,29
20120805,10
20120806,5
20120807,5
20120808,3
20120809,5
20120810,4
20120811,2
20120812,2
20120813,2
20120814,2
20120815,2
20120816,2
20120817,2
20120818,2
20120819,2
20120820,2
20120821,2
20120822,2
20120823,2
20120824,2
20120825,2
20120826,2
20120827,2
20120828,2
20120829,2
20120830,2
20120831,2
20120901,2
20120902,2
20120903,4
20120904,0
20120905,4
20120906,11
20120907,24
20120908,80.01
20120909,132.6
20120910,113.1
20120911,104.5
20120912,92.49
20120913,100.4
20120914,49.96
20120915,84.84
20120916,110.9
20120917,101
20120918,97.33
20120919,99.2
20120920,92.93
20120921,92.67
20120922,91.58
20120923,90.27
20120924,75.85
20120925,517.7
20120926,849
20120927,699
20120928,645
20120929,301
20120930,223
20121001,522
20121002,1161
20121003,1359
20121004,1357
20121005,644
20121006,266
20121007,212.8
20121008,73.51
20121009,72.41
20121010,71.08
20121011,69.58
20121012,68.19
20121013,66.97
20121014,65.62
20121015,64.49
20121016,63.33
20121017,61.84
20121018,60.65
20121019,59.43
20121020,58.48
20121021,57.75
20121022,56.47
20121023,55.41
20121024,54.17
20121025,53.14
20121026,52.25
20121027,51.04
20121028,50.07
20121029,49.05
20121030,48.09
20121031,47.03
20121101,125
20121102,125
20121103,125
20121104,125
20121105,125
20121106,123
20121107,60.69
20121108,48.11
20121109,47.21
20121110,46.67
20121111,46.36
20121112,46.1
20121113,45.88
20121114,45.56
20121115,45.19
20121116,44.72
20121117,44.39
20121118,43.91
20121119,43.45
20121120,42.91
20121121,42.41
20121122,41.87
20121123,41.27
20121124,40.72
20121125,40.1
20121126,39.53
20121127,38.88
20121128,38.25
20121129,37.65
20121130,37.01
20121201,36.4
20121202,35.72
20121203,35.14
20121204,34.61
20121205,33.98
20121206,33.35
20121207,32.6
20121208,31.89
20121209,31.32
20121210,30.69
20121211,29.97
20121212,29.45
20121213,28.85
20121214,28.23
20121215,27.64
20121216,27.07
20121217,26.49
20121218,25.45
20121219,24.75
20121220,23.53
20121221,22.13
20121222,15.33
20121223,12.51
20121224,11.7
20121225,11.54
20121226,9.234
20121227,7.991
20121228,7.44
20121229,6.517
20121230,6.924
20121231,6.886
20130101,7.101
20130102,7.045
20130103,7.118
20130104,6.383
20130105,5.074
20130106,5.261
20130107,3.726
20130108,4.014
20130109,4.2
20130110,4.291
20130111,4.47
20130112,4.572
20130113,4.422
20130114,3.199
20130115,3.396
20130116,3.53
20130117,3.613
20130118,2.509
20130119,2.269
20130120,2.456
20130121,2.587
20130122,1.956
20130123,1.615
20130124,1.583
20130125,1.533
20130126,1.536
20130127,1.579
20130128,1.634
20130129,1.661
20130130,1.663
20130131,1.412
20130201,1.42
20130202,1.4
20130203,1.388
20130204,1.344
20130205,1.297
20130206,1.376
20130207,1.348
20130208,1.487
20130209,8.739
20130210,7.98
20130211,3.816
20130212,3.169
20130213,3.25
20130214,3.439
20130215,3.655
20130216,9.919
20130217,5.977
20130218,5.542
20130219,5.463
20130220,5.699
20130221,5.88
20130222,6.145
20130223,6.372
20130224,6.56
20130225,6.703
20130226,6.826
20130227,6.982
20130228,7.072
20130301,7.197
20130302,7.257
20130303,7.251
20130304,7.3
20130305,7.341
20130306,7.438
20130307,7.387
20130308,99
20130309,66
20130310,24.2
20130311,11.09
20130312,33.96
20130313,15.16
20130314,11.55
20130315,10.62
20130316,10.42
20130317,2
20130318,2
20130319,2
20130320,2
20130321,2
20130322,2
20130323,4
20130324,4
20130325,4
20130326,4
20130327,4
20130328,4
20130329,4
20130330,4
20130331,4
20130401,4
20130402,4
20130403,4
20130404,4
20130405,5
20130406,5
20130407,5
20130408,5
20130409,5
20130410,5
20130411,5
20130412,5
20130413,5
20130414,5
20130415,5
20130416,5
20130417,5
20130418,4
20130419,5
20130420,4
20130421,4
20130422,4
20130423,4
20130424,8
20130425,11
20130426,11
20130427,11
20130428,11
20130429,11
20130430,11
20130501,11
20130502,11
20130503,11
20130504,8
20130505,8
20130506,8
20130507,8
20130508,4
20130509,2
20130510,2
20130511,2
20130512,2
20130513,2
20130514,2
20130515,2
20130516,4
20130517,4
20130518,7
20130519,21
20130520,21
20130521,13
20130522,14
20130523,12.58
20130524,1.335
20130525,1.301
20130526,1.264
20130527,1.478
20130528,1.449
20130529,1.64
20130530,1.493
20130531,10.39
20130601,21
20130602,21
20130603,21
20130604,21
20130605,15
20130606,16
20130607,16
20130608,12
20130609,9
20130610,11
20130611,11
20130612,10
20130613,9
20130614,9
20130615,9
20130616,8
20130617,2
20130618,2
20130619,2
20130620,2
20130621,2
20130622,2
20130623,2
20130624,2
20130625,2
20130626,2
20130627,2
20130628,2
20130629,2
20130630,2
20130701,2
20130702,2
20130703,2
20130704,2
20130705,2
20130706,2
20130707,2
20130708,2
20130709,2
20130710,2
20130711,2
20130712,2
20130713,2
20130714,2
20130715,2
20130716,2
20130717,2
20130718,2
20130719,2
20130720,2
20130721,2
20130722,2
20130723,2
20130724,2
20130725,2
20130726,2
20130727,2
20130728,2
20130729,2
20130730,7
20130731,14
20130801,14
20130802,14
20130803,14
20130804,166
20130805,138.6
20130806,109.1
20130807,129.9
20130808,116.5
20130809,117.1
20130810,113.2
20130811,117.9
20130812,119.6
20130813,119.2
20130814,121.7
20130815,120.5
20130816,120.2
20130817,121.2
20130818,121.5
20130819,123.4
20130820,124.9
20130821,134.4
20130822,127.1
20130823,122.9
20130824,119.3
20130825,104.1
20130826,119.6
20130827,118.3
20130828,115.2
20130829,115.5
20130830,117.5
20130831,114.1
20130901,162.6
20130902,168.5
20130903,138.7
20130904,117.7
20130905,113.8
20130906,124.8
20130907,141.6
20130908,97.16
20130909,152.6
20130910,117.2
20130911,112
20130912,109.9
20130913,307.4
20130914,142.7
20130915,159.8
20130916,166.7
20130917,202.3
20130918,85.7
20130919,284
20130920,153.7
20130921,123
20130922,106.8
20130923,108.4
20130924,109.3
20130925,158.2
20130926,135.9
20130927,30.23
20130928,106.8
20130929,111.3
20130930,105.6
20131001,227.2
20131002,229
20131003,110
20131004,434
20131005,536
20131006,556
20131007,712
20131008,626
20131009,321
20131010,148
20131011,225
20131012,136
20131013,196
20131014,198
20131015,71
20131016,75
20131017,107
20131018,96
20131019,127
20131020,139
20131021,123
20131022,118
20131023,165
20131024,147
20131025,118
20131026,119
20131027,120
20131028,114
20131029,114
20131030,114
20131031,115
20131101,204
20131102,327
20131103,328
20131104,221
20131105,255
20131106,144
20131107,149
20131108,291
20131109,230
20131110,153
20131111,122
20131112,120
20131113,125
20131114,125
20131115,125
20131116,125
20131117,125
20131118,125
20131119,125
20131120,125
20131121,125
20131122,125
20131123,127
20131124,127
20131125,122
20131126,122
20131127,122
20131128,122
20131129,122
20131130,104
20131201,121
20131202,121
20131203,123
20131204,123
20131205,123
20131206,106
20131207,106
20131208,123
20131209,123
20131210,123
20131211,123
20131212,123
20131213,123
20131214,123
20131215,123
20131216,123
20131217,123
20131218,123
20131219,123
20131220,123
20131221,72.02
20131222,32.95
20131223,32.26
20131224,31.63
20131225,30.95
20131226,30.33
20131227,29.63
20131228,29.06
20131229,28.46
20131230,27.82
20131231,27.25
20140101,26.63
20140102,25.89
20140103,25.2
20140104,24.67
20140105,19.23
20140106,13.33
20140107,12.84
20140108,12.39
20140109,9.957
20140110,8.803
20140111,7.629
20140112,7.61
20140113,7.725
20140114,6.301
20140115,5.625
20140116,5.835
20140117,6.035
20140118,6.164
20140119,6.244
20140120,4.992
20140121,4.762
20140122,4.796
20140123,4.708
20140124,4.374
20140125,4.403
20140126,4.188
20140127,4.35
20140128,3.981
20140129,3.901
20140130,3.652
20140131,3.268
20140201,3.035
20140202,2.734
20140203,2.302
20140204,2.477
20140205,2.452
20140206,1.816
20140207,1.748
20140208,1.744
20140209,1.769
20140210,1.789
20140211,1.733
20140212,1.678
20140213,1.694
20140214,1.639
20140215,1.66
20140216,1.635
20140217,1.615
20140218,1.625
20140219,1.555
20140220,1.479
20140221,1.556
20140222,1.72
20140223,1.485
20140224,1.477
20140225,1.48
20140226,1.433
20140227,1.434
20140228,1.39
20140301,1.356
20140302,1.575
20140303,1.393
20140304,1.541
20140305,1.325
20140306,1.43
20140307,1.28
20140308,1.46
20140309,1.537
20140310,2.276
20140311,1.588
20140312,1.442
20140313,1.334
20140314,1.343
20140315,1.23
20140316,1.239
20140317,1.197
20140318,1.107
20140319,1.197
20140320,1.086
20140321,1.165
20140322,1.123
20140323,1.11
20140324,1.113
20140325,1.087
20140326,1.133
20140327,1.075
20140328,1.037
20140329,1.071
20140330,1.022
20140331,0.9664
20140401,1.014
20140402,1.162
20140403,1.154
20140404,0.974
20140405,0.9624
20140406,0.8817
20140407,0.8422
20140408,0.9086
20140409,1.135
20140410,1.236
20140411,1.146
20140412,1.168
20140413,0.9017
20140414,1.236
20140415,1.22
20140416,1.265
20140417,1.259
20140418,1.342
20140419,5
20140420,5
20140421,5
20140422,5
20140423,5
20140424,5
20140425,5
20140426,5
20140427,5
20140428,9
20140429,12
20140430,12
20140501,15
20140502,18
20140503,21
20140504,21
20140505,21
20140506,21
20140507,21
20140508,11
20140509,21
20140510,11
20140511,11
20140512,11
20140513,11
20140514,8
20140515,8
20140516,8
20140517,8
20140518,8
20140519,8
20140520,8
20140521,8
20140522,8
20140523,8
20140524,8
20140525,8
20140526,8
20140527,12
20140528,14
20140529,14
20140530,14
20140531,14
20140601,14
20140602,14
20140603,14
20140604,14
20140605,14
20140606,14
20140607,14
20140608,14
20140609,14
20140610,14
20140611,14
20140612,14
20140613,14
20140614,14
20140615,14
20140616,14
20140617,14
20140618,14
20140619,14
20140620,14
20140621,14
20140622,14
20140623,14
20140624,14
20140625,14
20140626,14
20140627,2
20140628,2
20140629,2
20140630,2
20140701,2
20140702,2
20140703,2
20140704,2
20140705,2
20140706,2
20140707,2
20140708,2
20140709,2
20140710,2
20140711,2
20140712,2
20140713,2
20140714,2
20140715,2
20140716,2
20140717,2
20140718,2
20140719,2
20140720,2
20140721,2
20140722,2
20140723,2
20140724,2
20140725,2
20140726,2
20140727,2
20140728,2
20140729,2
20140730,2
20140731,2
20140801,2
20140802,2
20140803,2
20140804,2
20140805,2
20140806,2
20140807,2
20140808,2
20140809,2
20140810,2
20140811,2
20140812,2
20140813,2
20140814,2
20140815,2
20140816,2
20140817,2
20140818,2
20140819,2
20140820,2
20140821,2
20140822,2
20140823,2
20140824,2
20140825,2
20140826,2
20140827,2
20140828,47.99
20140829,108
20140830,107.5
20140831,106.6
20140901,137.2
20140902,116.8
20140903,108.8
20140904,122.9
20140905,110.7
20140906,119.4
20140907,107.2
20140908,101.7
20140909,106.9
20140910,103.7
20140911,100.9
