Date,Simulated Storage
20110101,23.35005764
20110102,23.35005764
20110103,23.35005764
20110104,23.4277499
20110105,23.47365897
20110106,23.46306457
20110107,23.45600164
20110108,23.45600164
20110109,23.4701275
20110110,23.4701275
20110111,23.44540724
20110112,23.48425337
20110113,23.48425337
20110114,23.4913163
20110115,23.4913163
20110116,23.4913163
20110117,23.4913163
20110118,23.4913163
20110119,23.50544217
20110120,23.50897364
20110121,23.50897364
20110122,23.50897364
20110123,23.50897364
20110124,23.50897364
20110125,23.50897364
20110126,23.50897364
20110127,23.50897364
20110128,23.50897364
20110129,23.50897364
20110130,23.50897364
20110131,23.50897364
20110201,23.50897364
20110202,23.50897364
20110203,23.50897364
20110204,23.50897364
20110205,23.50897364
20110206,23.50897364
20110207,23.50897364
20110208,23.50897364
20110209,23.50897364
20110210,23.50897364
20110211,23.50544217
20110212,23.39243524
20110213,23.28295977
20110214,23.16642137
20110215,23.04988297
20110216,22.93334457
20110217,22.7603027
20110218,22.56254057
20110219,22.36124697
20110220,22.08579257
20110221,21.8279955
20110222,21.56666697
20110223,21.2982755
20110224,21.00869523
20110225,20.72264643
20110226,20.4295347
20110227,20.1328915
20110228,19.8362483
20110301,19.53607363
20110302,19.2429619
20110303,18.94278723
20110304,18.64261256
20110305,18.34596936
20110306,18.0457947
20110307,17.74562003
20110308,17.44544536
20110309,17.14173923
20110310,16.84156456
20110311,16.54138989
20110312,16.24121523
20110313,15.95163496
20110314,15.66205469
20110315,15.41485203
20110316,15.16764936
20110317,14.92750962
20110318,14.67677549
20110319,14.42604136
20110320,14.17177576
20110321,13.92104162
20110322,13.67737042
20110323,13.43369922
20110324,13.12293015
20110325,12.83334989
20110326,12.54023815
20110327,12.25065789
20110328,11.96107762
20110329,11.66796589
20110330,11.37132269
20110331,11.07821095
20110401,10.78156775
20110402,10.48492455
20110403,10.19181282
20110404,9.912826949
20110405,9.633841082
20110406,9.351323749
20110407,9.065274948
20110408,8.782757614
20110409,8.50024028
20110410,8.228317347
20110411,7.956394413
20110412,7.673877079
20110413,7.394891212
20110414,7.112373878
20110415,6.829856544
20110416,6.554402144
20110417,6.363702944
20110418,6.169472277
20110419,5.97524161
20110420,5.805731209
