Date,Level
20110101,122.59
20110102,122.68
20110103,122.75
20110104,122.79
20110105,122.8
20110106,122.83
20110107,122.84
20110108,122.86
20110109,122.85
20110110,122.83
20110111,122.8
20110112,122.61
20110113,122.61
20110114,122.37
20110115,122.1
20110116,121.86
20110117,121.65
20110118,121.48
20110119,121.28
20110120,121.09
20110121,120.9
20110122,120.7
20110123,120.5
20110124,120.32
20110125,120.09
20110126,119.64
20110127,119.64
20110128,119.44
20110129,119.21
20110130,119
20110131,118.81
20110201,118.6
20110202,118.34
20110203,118.08
20110204,117.93
20110205,117.88
20110206,117.82
20110207,117.77
20110208,117.7
20110209,117.63
20110210,117.56
20110211,117.48
20110212,117.4
20110213,117.23
20110214,116.96
20110215,116.66
20110216,116.37
20110217,116.06
20110218,115.75
20110219,115.43
20110220,115.11
20110221,114.78
20110222,114.45
20110223,114.14
20110224,113.93
20110225,113.7
20110226,113.49
20110227,113.26
20110228,113
20110301,112.69
20110302,112.37
20110303,112.05
20110304,111.73
20110305,111.73
20110306,111.62
20110307,111.61
20110308,111.61
20110309,111.62
20110310,111.63
20110311,111.64
20110312,111.64
20110313,111.59
20110314,111.39
20110315,111.05
20110316,110.7
20110317,110.35
20110318,110
20110319,109.71
20110320,109.4
20110321,109.04
20110322,108.73
20110323,108.42
20110324,108.09
20110325,107.8
20110326,107.5
20110327,107.23
20110328,106.95
20110329,106.64
20110330,106.34
20110331,106
20110401,105.65
20110402,105.3
20110403,104.92
20110404,104.52
20110405,104.12
20110406,103.71
20110407,103.3
20110408,102.9
20110409,102.52
20110410,102.45
20110411,102.39
20110412,102.34
20110413,102.29
20110414,102.27
20110415,102.26
20110416,102.26
20110417,102.3
20110418,102.36
20110419,102.25
20110420,101.93
20110421,101.63
20110422,101.5
20110423,101.7
20110424,102
20110425,102.35
20110426,102.55
20110427,102.65
20110428,102.75
20110429,102.83
20110430,102.9
20110501,102.72
20110502,102.55
20110503,102.37
20110504,102.13
20110505,101.85
20110506,101.54
20110507,101.14
20110508,100.7
20110509,100.23
20110510,99.75
20110511,99.26
20110512,98.77
20110513,98.25
20110514,97.72
20110515,97.22
20110516,96.7
20110517,96.21
20110518,95.71
20110519,95.21
20110520,95
20110521,94.7
20110522,94.29
20110523,93.85
20110524,93.37
20110525,92.87
20110526,92.63
20110527,92.41
20110528,92.28
20110529,92.12
20110530,91.94
20110531,91.93
20110601,91.95
20110602,91.97
20110603,92
20110604,92.16
20110605,92.3
20110606,92.44
20110607,92.7
20110608,93.2
20110609,93.65
20110610,94
20110611,94.32
20110612,94.62
20110613,95
20110614,95.6
20110615,96
20110616,96.3
20110617,96.65
20110618,96.92
20110619,97.23
20110620,98.25
20110621,98.85
20110622,99
20110623,99.05
20110624,99.1
20110625,99.07
20110626,98.93
20110627,99
20110628,99.5
20110629,100.33
20110630,101.15
20110701,101.42
20110702,101.45
20110703,101.35
20110704,101.36
20110705,101.42
20110706,101.36
20110707,101.29
20110708,101.34
20110709,101.46
20110710,101.53
20110711,101.55
20110712,101.42
20110713,101.15
20110714,100.92
20110715,101
20110716,101.65
20110717,102.82
20110718,104.4
20110719,106.42
20110720,108.37
20110721,110.05
20110722,111.15
20110723,112.05
20110724,112.95
20110725,113.95
20110726,115.26
20110727,116.23
20110728,116.67
20110729,116.86
20110730,117.1
20110731,117.23
20110801,117.3
20110802,117.6
20110803,117.75
20110804,118.47
20110805,119.5
20110806,120.52
20110807,121.35
20110808,122
20110809,122.42
20110810,122.6
20110811,123.06
20110812,123.35
20110813,123.53
20110814,123.85
20110815,124.2
20110816,124.6
20110817,124.8
20110818,124.65
20110819,124.45
20110820,124.23
20110821,123.97
20110822,123.87
20110823,123.94
20110824,123.9
20110825,123.85
20110826,123.82
20110827,123.74
20110828,123.66
20110829,123.62
20110830,123.5
20110831,123.6
20110901,124
20110902,124.25
20110903,124.14
20110904,124.25
20110905,124.15
20110906,124.04
20110907,123.77
20110908,123.5
20110909,123.6
20110910,123.67
20110911,123.68
20110912,123.75
20110913,123.88
20110914,123.86
20110915,123.78
20110916,123.7
20110917,123.78
20110918,123.95
20110919,124
20110920,124.05
20110921,124.09
20110922,124.03
20110923,123.93
20110924,123.8
20110925,123.65
20110926,123.48
20110927,123.26
20110928,123
20110929,122.69
20110930,122.41
20111001,122.13
20111002,122.05
20111003,122.06
20111004,122
20111005,121.85
20111006,121.63
20111007,121.41
20111008,121.19
20111009,120.97
20111010,120.95
20111011,121
20111012,121.39
20111013,122
20111014,122.34
20111015,122.55
20111016,122.8
20111017,123
20111018,123.07
20111019,123.02
20111020,122.92
20111021,122.9
20111022,122.96
20111023,122.91
20111024,122.93
20111025,123.25
20111026,123.63
20111027,123.85
20111028,123.93
20111029,123.89
20111030,123.81
20111031,123.75
20111101,123.7
20111102,123.65
20111103,123.9
20111104,124.73
20111105,124.64
20111106,124.73
20111107,124.78
20111108,124.8
20111109,124.8
20111110,124.75
20111111,124.61
20111112,124.45
20111113,124.29
20111114,124.13
20111115,123.97
20111116,123.8
20111117,123.61
20111118,123.42
20111119,123.22
20111120,123.02
20111121,122.78
20111122,122.57
20111123,122.4
20111124,122.2
20111125,122.02
20111126,121.83
20111127,121.7
20111128,121.64
20111129,121.76
20111130,121.66
20111201,121.76
20111202,121.67
20111203,121.57
20111204,121.47
20111205,121.32
20111206,121.26
20111207,121.14
20111208,121
20111209,120.88
20111210,120.75
20111211,120.64
20111212,120.53
20111213,120.4
20111214,120.3
20111215,120.21
20111216,120.11
20111217,120
20111218,119.87
20111219,119.74
20111220,119.61
20111221,119.45
20111222,122.57
20111223,119.13
20111224,119.05
20111225,118.92
20111226,118.78
20111227,118.65
20111228,118.53
20111229,118.41
20111230,118.27
20111231,118.17
20120101,118.33
20120102,
20120103,
20120104,
20120105,
20120106,
20120107,
20120108,
20120109,
20120110,
20120111,
20120112,
20120113,
20120114,
20120115,
20120116,
20120117,
20120118,
20120119,
20120120,
20120121,
20120122,
20120123,
20120124,
20120125,
20120126,
20120127,
20120128,
20120129,
20120130,
20120131,
20120201,
20120202,
20120203,
20120204,
20120205,
20120206,
20120207,
20120208,
20120209,
20120210,
20120211,
20120212,
20120213,
20120214,
20120215,
20120216,
20120217,
20120218,
20120219,
20120220,
20120221,
20120222,
20120223,
20120224,
20120225,
20120226,
20120227,
20120228,
20120229,
20120301,
20120302,
20120303,
20120304,
20120305,
20120306,
20120307,
20120308,
20120309,
20120310,
20120311,
20120312,
20120313,
20120314,
20120315,
20120316,
20120317,
20120318,
20120319,
20120320,
20120321,
20120322,
20120323,
20120324,
20120325,
20120326,
20120327,
20120328,
20120329,
20120330,
20120331,
20120401,
20120402,
