Date,Observed Outflow
20110101,56.64
20110102,42.1968
20110103,42.22512
20110104,42.22512
20110105,42.22512
20110106,42.22512
20110107,42.22512
20110108,42.22512
20110109,42.22512
20110110,42.22512
20110111,42.22512
20110112,120.98304
20110113,120.98304
20110114,146.78256
20110115,146.24448
20110116,145.08336
20110117,144.54528
20110118,144.12048
20110119,143.1576
20110120,142.98768
20110121,141.99648
20110122,141.54336
20110123,141.09024
20110124,140.07072
20110125,139.92912
20110126,138.51312
20110127,138.51312
20110128,130.78176
20110129,137.18208
20110130,136.7856
20110131,135.99264
20110201,135.82272
20110202,124.72128
20110203,114.1296
20110204,74.73648
20110205,31.06704
20110206,31.06704
20110207,31.06704
20110208,33.72912
20110209,35.28672
20110210,35.28672
20110211,34.8336
20110212,34.4088
20110213,70.6584
20110214,112.06224
20110215,124.80624
20110216,124.26816
20110217,123.70176
20110218,124.63632
20110219,123.84336
20110220,125.1744
20110221,124.86288
20110222,124.23984
20110223,123.92832
20110224,123.58848
20110225,123.27696
20110226,122.96544
20110227,122.6256
20110228,122.39904
20110301,122.17248
20110302,121.83264
20110303,121.4928
20110304,121.23792
20110305,121.23792
20110306,28.71648
20110307,28.71648
20110308,25.88448
20110309,25.88448
20110310,25.88448
20110311,27.30048
20110312,27.30048
20110313,41.46048
20110314,80.2872
20110315,119.05728
20110316,120.2184
20110317,119.73696
20110318,119.28384
20110319,119.00064
20110320,118.71744
20110321,118.49088
20110322,112.54368
20110323,112.1472
20110324,111.97728
20110325,111.77904
20110326,111.41088
20110327,111.24096
20110328,82.75104
20110329,0
20110330,116.36688
20110331,116.02704
20110401,115.80048
20110402,115.60224
20110403,115.34736
20110404,115.20576
20110405,115.06416
20110406,114.86592
20110407,114.63936
20110408,114.44112
20110409,114.29952
20110410,31.86
20110411,31.77504
20110412,31.77504
20110413,31.77504
20110414,31.74672
20110415,31.74672
20110416,31.74672
20110417,31.74672
20110418,31.77504
20110419,67.968
20110420,108.38064
20110421,108.324
20110422,108.29568
20110423,74.42496
20110424,16.1424
20110425,16.17072
