Date,Soil Moisture
20110101,123
20110102,123
20110103,123
20110104,123
20110105,123
20110106,123
20110107,123
20110108,123
20110109,123
20110110,123
20110111,123
20110112,123
20110113,123
20110114,123
20110115,123
20110116,123
20110117,123
20110118,123
20110119,123
20110120,123
20110121,123
20110122,123
20110123,123
20110124,123
20110125,123
20110126,123
20110127,123
20110128,123
20110129,123
20110130,123
20110131,123
20110201,123
20110202,123
20110203,123
20110204,123
20110205,123
20110206,123
20110207,123
20110208,123
20110209,123
20110210,123
20110211,123
20110212,123
20110213,123
20110214,123
20110215,123
20110216,123
20110217,123
20110218,123
20110219,123
20110220,123
20110221,122
20110222,122
20110223,122
20110224,123
20110225,123
20110226,123
20110227,122
20110228,122
20110301,122
20110302,122
20110303,121
20110304,121
20110305,121
20110306,121
20110307,120
20110308,120
20110309,120
20110310,119
20110311,119
20110312,118
20110313,118
20110314,117
20110315,117
20110316,116
20110317,115
20110318,114
20110319,114
20110320,112
20110321,112
20110322,111
20110323,110
20110324,110
20110325,109
20110326,115
20110327,114
20110328,115
20110329,113
20110330,112
20110331,110
20110401,107
20110402,105
20110403,106
20110404,103
20110405,101
20110406,98.3
20110407,95.3
20110408,92.6
20110409,89.5
20110410,90.9
20110411,95.7
20110412,94.7
20110413,91.3
20110414,91
20110415,93.9
20110416,94.9
20110417,97.7
20110418,95
20110419,97.6
20110420,104
20110421,114
20110422,125
20110423,129
20110424,131
20110425,126
20110426,128
20110427,122
20110428,117
20110429,122
20110430,118
20110501,121
20110502,121
20110503,117
20110504,118
20110505,115
20110506,112
20110507,109
20110508,105
20110509,102
20110510,98.4
20110511,94.2
20110512,96
20110513,92.9
20110514,92.5
20110515,97.1
20110516,100
20110517,98.4
20110518,112
20110519,111
20110520,115
20110521,111
20110522,107
20110523,104
20110524,108
20110525,112
20110526,117
20110527,120
20110528,120
20110529,120
20110530,120
20110531,124
20110601,123
20110602,125
20110603,128
20110604,132
20110605,132
20110606,132
20110607,131
20110608,131
20110609,130
20110610,131
20110611,129
20110612,131
20110613,131
20110614,132
20110615,132
20110616,132
20110617,133
20110618,135
20110619,134
20110620,130
20110621,128
20110622,125
20110623,130
20110624,132
20110625,134
20110626,136
20110627,138
20110628,138
20110629,134
20110630,131
20110701,127
20110702,133
20110703,128
20110704,127
20110705,130
20110706,131
20110707,132
20110708,130
20110709,130
20110710,129
20110711,130
20110712,130
20110713,132
20110714,134
20110715,136
20110716,134
20110717,135
20110718,137
20110719,137
20110720,137
20110721,135
20110722,135
20110723,133
20110724,135
20110725,136
20110726,135
20110727,136
20110728,132
20110729,131
20110730,132
20110731,133
20110801,132
20110802,132
20110803,135
20110804,137
20110805,137
20110806,138
20110807,137
20110808,137
20110809,136
20110810,135
20110811,133
20110812,134
20110813,135
20110814,131
20110815,130
20110816,128
20110817,127
20110818,132
20110819,132
20110820,131
20110821,134
20110822,130
20110823,131
20110824,131
20110825,131
20110826,130
20110827,133
20110828,133
20110829,131
20110830,134
20110831,135
20110901,136
20110902,138
20110903,138
20110904,138
20110905,134
20110906,131
20110907,131
20110908,131
20110909,131
20110910,129
20110911,130
20110912,129
20110913,129
20110914,129
20110915,130
20110916,132
20110917,130
20110918,128
20110919,130
20110920,128
20110921,127
20110922,125
20110923,124
20110924,123
20110925,123
20110926,123
20110927,123
20110928,123
20110929,123
20110930,123
20111001,126
20111002,127
20111003,126
20111004,124
20111005,124
20111006,123
20111007,123
20111008,123
20111009,124
20111010,126
20111011,129
20111012,130
20111013,132
20111014,131
20111015,132
20111016,132
20111017,127
20111018,126
20111019,124
20111020,124
20111021,125
20111022,125
20111023,124
20111024,130
20111025,131
20111026,132
20111027,128
20111028,130
20111029,127
20111030,129
20111031,127
20111101,126
20111102,129
20111103,130
20111104,133
20111105,132
20111106,131
20111107,131
20111108,127
20111109,125
20111110,124
20111111,123
20111112,123
20111113,123
20111114,122
20111115,122
20111116,122
20111117,122
20111118,122
20111119,122
20111120,122
20111121,122
20111122,122
20111123,122
20111124,122
20111125,122
20111126,123
20111127,125
20111128,124
20111129,130
20111130,127
20111201,125
20111202,124
20111203,124
20111204,123
20111205,123
20111206,123
20111207,123
20111208,123
20111209,123
20111210,123
20111211,123
20111212,123
20111213,123
20111214,123
20111215,123
20111216,123
20111217,123
20111218,123
20111219,123
20111220,123
20111221,123
20111222,123
20111223,123
20111224,123
20111225,123
20111226,123
20111227,123
20111228,123
20111229,123
20111230,123
20111231,123
20120101,123
20120102,123
20120103,123
20120104,123
20120105,123
20120106,123
20120107,123
20120108,123
20120109,123
20120110,123
20120111,123
20120112,123
20120113,123
20120114,123
20120115,123
20120116,123
20120117,123
20120118,123
20120119,123
20120120,123
20120121,123
20120122,123
20120123,123
20120124,123
20120125,123
20120126,123
20120127,123
20120128,123
20120129,123
20120130,123
20120131,123
20120201,123
20120202,123
20120203,123
20120204,123
20120205,123
20120206,123
20120207,123
20120208,123
20120209,123
20120210,123
20120211,123
20120212,123
20120213,123
20120214,123
20120215,123
20120216,123
20120217,123
20120218,123
20120219,123
20120220,123
20120221,123
20120222,123
20120223,123
20120224,123
20120225,123
20120226,123
20120227,123
20120228,123
20120229,123
20120301,122
20120302,122
20120303,122
20120304,122
20120305,122
20120306,121
20120307,121
20120308,121
20120309,120
20120310,120
20120311,119
20120312,119
20120313,118
20120314,119
20120315,118
20120316,118
20120317,117
20120318,117
20120319,116
20120320,115
20120321,114
20120322,113
20120323,112
20120324,111
20120325,110
20120326,109
20120327,108
20120328,106
20120329,106
20120330,104
20120331,104
20120401,102
20120402,101
20120403,98.8
20120404,96.7
20120405,94.1
20120406,91.3
20120407,89.5
20120408,86.4
20120409,83.4
20120410,80.4
20120411,77
20120412,73.8
20120413,70.6
20120414,67.8
20120415,64.1
20120416,60.8
20120417,62.7
20120418,58.8
20120419,61.8
20120420,58.4
20120421,62
20120422,60.3
20120423,59.3
20120424,58.3
20120425,60.9
20120426,65.8
20120427,68.7
20120428,77.3
20120429,75.2
20120430,70.9
20120501,70.3
20120502,67
20120503,66.4
20120504,67.8
20120505,64.1
20120506,60.6
20120507,57
20120508,53.6
20120509,55.2
20120510,52.1
20120511,52.2
20120512,83.8
20120513,82.9
20120514,79.2
20120515,78.3
20120516,80.9
20120517,80.3
20120518,76.1
20120519,72.1
20120520,68.5
20120521,64.9
20120522,64.4
20120523,60.1
20120524,56.5
20120525,53
20120526,49.4
20120527,45.4
20120528,40.5
20120529,36.7
20120530,36.8
20120531,33
20120601,31
20120602,36
20120603,36.9
20120604,45.5
20120605,70.8
20120606,98.7
20120607,116
20120608,122
20120609,124
20120610,125
20120611,126
20120612,130
20120613,130
20120614,132
20120615,130
20120616,133
20120617,135
20120618,138
20120619,139
20120620,140
20120621,136
20120622,135
20120623,131
20120624,129
20120625,128
20120626,125
20120627,129
20120628,135
20120629,139
20120630,135
20120701,133
20120702,135
20120703,136
20120704,131
20120705,129
20120706,126
20120707,126
20120708,127
20120709,128
20120710,131
20120711,129
20120712,131
20120713,128
20120714,129
20120715,131
20120716,130
20120717,129
20120718,130
20120719,130
20120720,128
20120721,128
20120722,132
20120723,132
20120724,133
20120725,129
20120726,133
20120727,135
20120728,135
20120729,134
20120730,130
20120731,127
20120801,127
20120802,126
20120803,125
20120804,126
20120805,128
20120806,134
20120807,137
20120808,138
20120809,138
20120810,137
20120811,137
20120812,138
20120813,134
20120814,130
20120815,127
20120816,129
20120817,128
20120818,131
20120819,131
20120820,128
20120821,126
20120822,125
20120823,124
20120824,127
20120825,129
20120826,133
20120827,133
20120828,134
20120829,135
20120830,135
20120831,136
20120901,136
20120902,133
20120903,133
20120904,135
20120905,132
20120906,129
20120907,130
20120908,131
20120909,131
20120910,132
20120911,128
20120912,130
20120913,128
20120914,131
20120915,131
20120916,130
20120917,131
20120918,130
20120919,131
20120920,127
20120921,126
20120922,125
20120923,124
20120924,124
20120925,124
20120926,123
20120927,122
20120928,128
20120929,126
20120930,125
20121001,129
20121002,127
20121003,128
20121004,126
20121005,124
20121006,123
20121007,123
20121008,123
20121009,129
20121010,126
20121011,124
20121012,123
20121013,123
20121014,122
20121015,129
20121016,129
20121017,126
20121018,125
20121019,124
20121020,126
20121021,127
20121022,125
20121023,125
20121024,124
20121025,124
20121026,124
20121027,123
20121028,123
20121029,123
20121030,124
20121031,123
20121101,129
20121102,133
20121103,131
20121104,127
20121105,132
20121106,128
20121107,125
20121108,124
20121109,123
20121110,123
20121111,123
20121112,123
20121113,123
20121114,123
20121115,123
20121116,123
20121117,123
20121118,123
20121119,123
20121120,123
20121121,123
20121122,123
20121123,123
20121124,123
20121125,123
20121126,123
20121127,123
20121128,123
20121129,123
20121130,123
20121201,123
20121202,123
20121203,123
20121204,123
20121205,126
20121206,125
20121207,124
20121208,124
20121209,123
20121210,123
20121211,123
20121212,123
20121213,123
20121214,123
20121215,123
20121216,123
20121217,123
20121218,123
20121219,123
20121220,123
20121221,123
20121222,123
20121223,123
20121224,123
20121225,123
20121226,123
20121227,123
20121228,123
20121229,123
20121230,124
20121231,123
20130101,123
20130102,123
20130103,123
20130104,123
20130105,123
20130106,123
20130107,123
20130108,123
20130109,123
20130110,123
20130111,123
20130112,123
20130113,123
20130114,123
20130115,123
20130116,123
20130117,123
20130118,123
20130119,123
20130120,123
20130121,123
20130122,123
20130123,123
20130124,123
20130125,123
20130126,123
20130127,123
20130128,123
20130129,123
20130130,123
20130131,123
20130201,123
20130202,123
20130203,123
20130204,123
20130205,123
20130206,123
20130207,123
20130208,123
20130209,123
20130210,123
20130211,123
20130212,123
20130213,123
20130214,123
20130215,123
20130216,125
20130217,124
20130218,123
20130219,122
20130220,122
20130221,122
20130222,122
20130223,122
20130224,122
20130225,122
20130226,122
20130227,122
20130228,122
20130301,122
20130302,122
20130303,121
20130304,121
20130305,121
20130306,121
20130307,121
20130308,125
20130309,123
20130310,123
20130311,122
20130312,125
20130313,123
20130314,122
20130315,121
20130316,120
20130317,122
20130318,121
20130319,124
20130320,123
20130321,122
20130322,121
20130323,121
20130324,120
20130325,119
20130326,118
20130327,119
20130328,118
20130329,118
20130330,117
20130331,116
20130401,115
20130402,114
20130403,114
20130404,114
20130405,112
20130406,110
20130407,108
20130408,106
20130409,103
20130410,104
20130411,101
20130412,98.2
20130413,95.8
20130414,92.9
20130415,90.4
20130416,90.9
20130417,87.6
20130418,84
20130419,80.6
20130420,77.3
20130421,72.7
20130422,68.2
20130423,64.4
20130424,70.2
20130425,66.4
20130426,69.4
20130427,77.3
20130428,76.1
20130429,82.8
20130430,81.5
20130501,78.3
20130502,75
20130503,71.5
20130504,70.3
20130505,73.9
20130506,75.8
20130507,77.8
20130508,73.9
20130509,73.3
20130510,73.3
20130511,81.1
20130512,87.7
20130513,88.3
20130514,85.1
20130515,81.9
20130516,79.3
20130517,76.1
20130518,79
20130519,82.7
20130520,77.6
20130521,94.4
20130522,93.1
20130523,89.9
20130524,89.8
20130525,85.5
20130526,84.9
20130527,88.4
20130528,90.2
20130529,94
20130530,92.4
