Date,Evapotranspiration
20110101,168900
20110102,126200
20110103,154600
20110104,156000
20110105,147200
20110106,148300
20110107,194100
20110108,139900
20110109,150100
20110110,153900
20110111,140800
20110112,152700
20110113,129800
20110114,168100
20110115,163600
20110116,141200
20110117,148900
20110118,137100
20110119,140300
20110120,155400
20110121,153800
20110122,165100
20110123,209500
20110124,156100
20110125,166700
20110126,144600
20110127,141400
20110128,182500
20110129,153600
20110130,156100
20110131,159600
20110201,183400
20110202,170700
20110203,170900
20110204,172100
20110205,184900
20110206,158200
20110207,184100
20110208,206800
20110209,174700
20110210,159900
20110211,182500
20110212,164800
20110213,178500
20110214,230900
20110215,172400
20110216,198800
20110217,186500
20110218,174000
20110219,174800
20110220,186000
20110221,84770
20110222,154800
20110223,154700
20110224,73460
20110225,90010
20110226,182200
20110227,90950
20110228,164100
20110301,183200
20110302,152000
20110303,191700
20110304,170100
20110305,167400
20110306,170900
20110307,169800
20110308,189500
20110309,182800
20110310,197700
20110311,139700
20110312,148900
20110313,172500
20110314,182600
20110315,174300
20110316,177700
20110317,161400
20110318,159600
20110319,164200
20110320,148400
20110321,57100
20110322,195400
20110323,148800
20110324,92320
20110325,146000
20110326,71310
20110327,47280
20110328,58030
20110329,118100
20110330,167700
20110331,127500
20110401,177100
20110402,179800
20110403,27660
20110404,170800
20110405,125600
20110406,41990
20110407,183900
20110408,130700
20110409,181500
20110410,154200
20110411,32880
20110412,66710
20110413,151100
20110414,54870
20110415,63430
20110416,36340
20110417,35410
20110418,138000
20110419,17090
20110420,36260
20110421,41220
20110422,24130
20110423,19010
20110424,25770
20110425,59250
20110426,55250
20110427,166700
20110428,162500
20110429,52170
20110430,150100
20110501,36080
20110502,112200
20110503,152500
20110504,26390
20110505,117300
20110506,125000
20110507,136900
20110508,172900
20110509,107400
20110510,139700
20110511,164800
20110512,15400
20110513,127000
20110514,34620
20110515,41990
20110516,46920
20110517,176400
20110518,83520
20110519,31820
20110520,96560
20110521,137000
20110522,38770
20110523,132700
20110524,156400
20110525,46620
20110526,26840
20110527,16860
20110528,6675
20110529,24030
20110530,14700
20110531,64460
20110601,30160
20110602,95420
20110603,84120
20110604,22720
20110605,68430
20110606,64430
20110607,91890
20110608,41310
20110609,41720
20110610,28100
20110611,90200
20110612,67880
20110613,15310
20110614,60940
20110615,66140
20110616,31730
20110617,57940
20110618,95820
20110619,7796
20110620,36750
20110621,20140
20110622,259400
20110623,37270
20110624,35620
20110625,21710
20110626,36240
20110627,20410
20110628,50600
20110629,7558
20110630,35740
20110701,90690
20110702,57100
20110703,71710
20110704,37940
20110705,5396
20110706,51370
20110707,102700
20110708,72720
20110709,26170
20110710,8337
20110711,53230
20110712,31520
20110713,49370
20110714,62930
20110715,16420
20110716,136800
20110717,108700
20110718,39830
20110719,72170
20110720,63550
20110721,53760
20110722,69370
20110723,64360
20110724,74350
20110725,31390
20110726,33500
20110727,47850
20110728,51260
20110729,19270
20110730,22160
20110731,42050
20110801,54480
20110802,65130
20110803,45980
20110804,39670
20110805,38400
20110806,58820
20110807,61590
20110808,79770
20110809,29810
20110810,48950
20110811,48580
20110812,4083
20110813,61590
20110814,24020
20110815,22720
20110816,82120
20110817,71240
20110818,22780
20110819,58590
20110820,21950
20110821,4805
20110822,38050
20110823,8015
20110824,14750
20110825,47950
20110826,25150
20110827,73780
20110828,52710
20110829,43700
20110830,16580
20110831,0
20110901,62490
20110902,58270
20110903,34320
20110904,35940
20110905,58850
20110906,37470
20110907,30410
20110908,8133
20110909,2130
20110910,40240
20110911,61550
20110912,75850
20110913,69540
20110914,38560
20110915,46930
20110916,68150
20110917,3769
20110918,12500
20110919,63180
20110920,50300
20110921,60330
20110922,45050
20110923,78500
20110924,101700
20110925,121900
20110926,93920
20110927,106100
20110928,137600
20110929,95500
20110930,120900
20111001,4122
20111002,43980
20111003,40210
20111004,174300
20111005,147700
20111006,149900
20111007,140400
20111008,59430
20111009,62020
20111010,60310
20111011,66250
20111012,47090
20111013,49270
20111014,39770
20111015,36260
20111016,25340
20111017,79870
20111018,59990
20111019,68950
20111020,34530
20111021,27490
20111022,55950
20111023,153000
20111024,60150
20111025,57750
20111026,39710
20111027,59570
20111028,92980
20111029,197200
20111030,54200
20111031,52200
20111101,13200
