Date,Level
20110101,2278.22
20110102,2278.29
20110103,2278.37
20110104,2278.43
20110105,2278.49
20110106,2278.55
20110107,2278.61
20110108,2278.67
20110109,2278.73
20110110,2278.79
20110111,2278.84
20110112,2278.93
20110113,2278.93
20110114,2278.96
20110115,2278.99
20110116,2279.01
20110117,2279.03
20110118,2279.06
20110119,2279.09
20110120,2279.12
20110121,2279.14
20110122,2279.16
20110123,2279.18
20110124,2279.2
20110125,2279.22
20110126,2279.24
20110127,2279.24
20110128,2279.13
20110129,2278.99
20110130,2278.89
20110131,2278.79
20110201,2278.69
20110202,2278.59
20110203,2278.49
20110204,2278.48
20110205,2278.48
20110206,2278.48
20110207,2278.48
20110208,2278.48
20110209,2278.48
20110210,2278.48
20110211,2278.42
20110212,2278.31
20110213,2278.2
20110214,2278.09
20110215,2277.98
20110216,2277.87
20110217,2277.76
20110218,2277.65
20110219,2277.55
20110220,2277.45
20110221,2277.35
20110222,2277.25
20110223,2277.15
20110224,2277.05
20110225,2276.92
20110226,2276.69
20110227,2276.45
20110228,2276.26
20110301,2276.07
20110302,2275.82
20110303,2275.55
20110304,2275.28
20110305,2275.28
20110306,2274.7
20110307,2274.4
20110308,2274.11
20110309,2273.82
20110310,2273.53
20110311,2273.25
20110312,2272.97
20110313,2272.7
20110314,2272.43
20110315,2272.16
20110316,2271.88
20110317,2271.59
20110318,2271.3
20110319,2271.01
20110320,2270.73
20110321,2270.47
20110322,2270.21
20110323,2269.95
20110324,2269.78
20110325,2269.61
20110326,2269.59
20110327,2269.57
20110328,2269.55
20110329,2269.55
20110330,2269.51
20110331,2269.43
20110401,2269.31
20110402,2269.19
20110403,2268.93
20110404,2268.71
20110405,2268.5
20110406,2268.25
20110407,2267.97
20110408,2267.78
20110409,2267.49
20110410,2267.17
20110411,2837.2
20110412,2266.52
20110413,2266.19
20110414,2265.9
20110415,2265.61
20110416,2265.32
20110417,2265.03
20110418,2264.74
20110419,2264.57
20110420,2264.43
20110421,2264.43
20110422,2264.43
20110423,2264.79
20110424,2265.75
20110425,2266.21
20110426,2266.64
20110427,2266.75
20110428,2266.81
20110429,2266.7
20110430,2266.58
20110501,2266.5
20110502,2266.4
20110503,2266.28
20110504,2266.15
20110505,2266.05
20110506,2265.7
20110507,2265.39
20110508,2265.06
20110509,2264.7
20110510,2264.34
20110511,2263.97
20110512,2263.59
20110513,2263.21
20110514,2262.83
20110515,2262.47
20110516,2262.14
20110517,2261.79
20110518,2261.43
20110519,2261.3
20110520,2261.38
20110521,2261.38
20110522,2261.38
20110523,2261.38
20110524,2261.38
20110525,2261.38
20110526,2261.38
20110527,2261.38
20110528,2261.43
20110529,2261.38
20110530,2261.28
20110531,2260.94
20110601,2260.63
20110602,2260.35
20110603,2260.56
20110604,2261.91
20110605,2262.94
20110606,2263.96
20110607,2264.53
20110608,2264.86
20110609,2265.16
20110610,2265.5
20110611,2265.8
20110612,2266.38
20110613,2266.98
20110614,2267.65
20110615,2268.6
20110616,2269.36
20110617,2269.8
20110618,2270.9
20110619,2273.52
20110620,2276.05
20110621,2277.43
20110622,2278.05
20110623,2278.35
20110624,2278.57
20110625,2278.87
20110626,2279.44
20110627,2280.08
20110628,2280.97
20110629,2281.58
20110630,2281.33
20110701,2281.13
20110702,2280.97
20110703,2280.75
20110704,2280.58
20110705,2280.5
20110706,2280.46
20110707,2280.51
20110708,2280.51
20110709,
20110710,
20110711,
20110712,
20110713,
20110714,
20110715,
20110716,2281.04
20110717,2281.2
20110718,2281.04
20110719,2280.43
20110720,2280.48
20110721,2280.31
20110722,2280.33
20110723,2280.31
20110724,2280.31
20110725,2280.33
20110726,2280.62
20110727,2280.58
20110728,2280.41
20110729,2280.32
20110730,2280.13
20110731,2279.94
20110801,2279.87
20110802,2279.9
20110803,2280.23
20110804,2280.69
20110805,2281.15
20110806,2281.87
20110807,2282.2
20110808,2282.53
20110809,2282.72
20110810,2282.98
20110811,2283.01
20110812,2283
20110813,2282.99
20110814,2283.2
20110815,2283.23
20110816,2283.01
20110817,2282.76
20110818,2282.81
20110819,2283.15
20110820,2283.09
20110821,2283.05
20110822,2283.4
20110823,2283.32
20110824,2283.22
20110825,2283.02
20110826,2282.84
20110827,2282.69
20110828,2282.81
20110829,2282.85
20110830,2283.02
20110831,2283.53
20110901,2283.55
20110902,2281.99
20110903,2282.94
20110904,2283.33
20110905,2283.08
20110906,2283.86
20110907,2284
20110908,2284
20110909,2284
20110910,2284
20110911,2284
20110912,2284
20110913,2283.86
20110914,2283.51
20110915,2283.25
20110916,2283.09
20110917,2283.25
20110918,2283.17
20110919,2282.94
20110920,2282.76
20110921,2282.56
20110922,2282.32
20110923,2282.18
20110924,2282
20110925,2281.8
20110926,2281.6
20110927,2281.36
20110928,2281.08
20110929,2280.84
