Date,Observed Storage
20110101,16.04
20110102,16.08
20110103,16.12
20110104,16.16
20110105,16.19
20110106,16.22
20110107,16.26
20110108,16.29
20110109,16.33
20110110,16.36
20110111,16.39
20110112,16.44
20110113,16.44
20110114,16.45
20110115,16.47
20110116,16.48
20110117,16.49
20110118,16.51
20110119,16.53
20110120,16.54
20110121,16.56
20110122,16.57
20110123,16.58
20110124,16.59
20110125,16.6
20110126,16.61
20110127,16.61
20110128,16.55
20110129,16.47
20110130,16.41
20110131,16.36
20110201,16.3
20110202,16.25
20110203,16.19
20110204,16.19
20110205,16.19
20110206,16.19
20110207,16.19
20110208,16.19
20110209,16.19
20110210,16.19
20110211,16.15
20110212,16.09
20110213,16.03
20110214,15.97
20110215,15.91
20110216,15.85
20110217,15.79
20110218,15.73
20110219,15.67
20110220,15.61
20110221,15.56
20110222,15.5
20110223,15.45
20110224,15.39
20110225,15.32
20110226,15.2
20110227,15.06
20110228,14.96
20110301,14.86
20110302,14.72
20110303,14.57
20110304,14.43
20110305,14.43
20110306,14.11
20110307,13.95
20110308,13.8
20110309,13.64
20110310,13.49
20110311,13.34
20110312,13.19
20110313,13.05
20110314,12.91
20110315,12.76
20110316,12.62
20110317,12.47
20110318,12.33
20110319,12.18
20110320,12.04
20110321,11.91
20110322,11.79
20110323,11.66
20110324,11.58
20110325,11.49
20110326,11.48
20110327,11.47
20110328,11.46
20110329,11.46
20110330,11.45
20110331,11.41
20110401,11.35
20110402,11.29
20110403,11.17
20110404,11.06
20110405,10.96
20110406,10.85
20110407,10.71
20110408,10.63
20110409,10.49
20110410,10.34
20110411,3.88
20110412,10.05
20110413,9.9
20110414,9.77
20110415,9.64
20110416,9.51
20110417,9.38
20110418,9.26
20110419,9.18
20110420,9.12
20110421,9.12
20110422,9.12
20110423,9.28
20110424,9.7
20110425,9.91
20110426,10.1
20110427,10.15
20110428,10.18
20110429,10.13
20110430,10.07
20110501,10.04
20110502,9.99
20110503,9.94
20110504,9.88
20110505,9.84
20110506,9.68
20110507,9.54
20110508,9.4
20110509,9.24
20110510,9.08
20110511,8.92
20110512,8.76
20110513,8.6
20110514,8.44
20110515,8.29
20110516,8.15
20110517,8.01
20110518,7.87
20110519,7.82
20110520,7.85
20110521,7.85
20110522,7.85
20110523,7.85
20110524,7.85
20110525,7.85
20110526,7.85
20110527,7.85
20110528,7.87
20110529,7.85
20110530,7.81
20110531,7.68
20110601,7.56
20110602,7.46
20110603,7.54
20110604,8.06
20110605,8.48
20110606,8.92
20110607,9.16
20110608,9.31
20110609,9.44
20110610,9.59
20110611,9.72
20110612,9.98
20110613,10.26
20110614,10.57
20110615,11.01
20110616,11.37
20110617,11.59
20110618,12.13
20110619,13.48
20110620,14.85
20110621,15.6
20110622,15.95
20110623,16.11
20110624,16.24
20110625,16.4
20110626,16.73
20110627,17.09
20110628,17.62
20110629,17.99
20110630,17.84
20110701,17.72
20110702,17.62
20110703,17.49
20110704,17.39
20110705,17.34
20110706,17.32
20110707,17.35
20110708,17.35
20110709,
20110710,
20110711,
20110712,
20110713,
20110714,
20110715,
20110716,17.66
20110717,17.76
20110718,17.66
20110719,17.3
20110720,17.33
20110721,17.23
20110722,17.24
20110723,17.23
20110724,17.23
20110725,17.24
20110726,17.41
20110727,17.39
20110728,17.29
20110729,17.23
20110730,17.12
20110731,17.01
20110801,16.97
20110802,16.99
20110803,17.18
20110804,17.45
20110805,17.73
20110806,18.16
20110807,18.37
20110808,18.57
20110809,18.69
20110810,18.85
20110811,18.87
20110812,18.87
20110813,18.86
