Date,Simulated Inflow
20110101,39.44
20110102,38.71
20110103,37.79
20110104,36.95
20110105,36.15
20110106,35.34
20110107,34.41
20110108,33.78
20110109,32.98
20110110,32.21
20110111,31.49
20110112,30.73
20110113,30.07
20110114,29.25
20110115,28.56
20110116,27.94
20110117,27.25
20110118,26.62
20110119,25.97
20110120,25.29
20110121,24.68
20110122,24.04
20110123,23.32
20110124,22.88
20110125,22.28
20110126,21.51
20110127,20.81
20110128,18.78
20110129,17.82
20110130,17.18
20110131,16.47
20110201,15.61
20110202,15.08
20110203,12.72
20110204,10.29
20110205,9.548
20110206,8.356
20110207,6.016
20110208,4.282
20110209,4.488
20110210,4.631
20110211,4.337
20110212,4.23
20110213,3.798
20110214,2.683
20110215,2.982
20110216,3.029
20110217,3.172
20110218,3.156
20110219,2.869
20110220,2.469
20110221,2.865
20110222,2.763
20110223,2.849
20110224,3.267
20110225,3.306
20110226,3.098
20110227,3.406
20110228,3.075
20110301,1.804
20110302,1.842
20110303,1.364
20110304,1.431
20110305,1.376
20110306,1.239
20110307,1.174
20110308,1.014
20110309,1.012
20110310,0.9449
20110311,1.103
20110312,1.056
20110313,0.961
20110314,0.9095
20110315,0.9162
20110316,0.8863
20110317,0.9196
20110318,0.9066
20110319,0.8733
20110320,0.9069
20110321,1.198
20110322,0.7233
20110323,0.8605
20110324,1.033
20110325,0.8368
20110326,31.97
20110327,6.256
20110328,2.531
20110329,1.582
20110330,1.206
20110331,1.25
20110401,1.024
20110402,0.9662
20110403,8.337
20110404,2.14
20110405,1.521
20110406,1.632
20110407,1.065
20110408,1.187
20110409,0.9549
20110410,0.9986
20110411,1.38
20110412,1.221
20110413,0.8792
20110414,1.362
20110415,1.35
20110416,1.418
20110417,1.372
20110418,0.9472
20110419,3.878
20110420,2.027
20110421,4.791
20110422,197.8
20110423,55.01
20110424,114.5
20110425,84.81
20110426,64.93
20110427,18.78
20110428,10.31
20110429,11.46
20110430,8.697
20110501,18.21
20110502,10.72
20110503,9.775
20110504,10.7
20110505,10.4
20110506,10.58
20110507,10.74
20110508,10.8
20110509,11.19
20110510,11.21
20110511,11.24
20110512,11.87
20110513,11.54
20110514,11.93
20110515,12.95
20110516,12.25
20110517,11.69
20110518,13.07
20110519,12.61
20110520,19.18
20110521,13.29
20110522,12.94
20110523,12.37
20110524,12.14
20110525,57.57
20110526,20.69
20110527,14.94
20110528,18.76
20110529,169.4
20110530,45.73
20110531,44.88
20110601,97.94
20110602,637.6
20110603,425.3
20110604,329.2
20110605,191.5
20110606,270.2
20110607,137.6
20110608,73.15
20110609,49.02
20110610,126.9
20110611,56.78
20110612,73.74
20110613,137.8
20110614,174.9
20110615,147.8
20110616,74.38
20110617,119.6
20110618,336.2
20110619,115.4
20110620,75.23
20110621,66.8
20110622,63.89
20110623,74.12
20110624,69.37
20110625,295.2
20110626,564.4
20110627,303
20110628,183.4
20110629,103.2
20110630,86.19
20110701,81.87
20110702,86.03
20110703,82.49
20110704,82.63
20110705,99.15
20110706,122.6
20110707,143.6
20110708,174.2
20110709,106
20110710,94.01
20110711,162.8
20110712,137.8
20110713,106.7
20110714,105
20110715,200.5
20110716,241.9
20110717,593.3
20110718,553.4
20110719,381.1
20110720,197.3
20110721,136.2
20110722,169.1
20110723,307.3
20110724,183.8
20110725,168.9
20110726,171
20110727,134.5
20110728,121.4
20110729,121.4
20110730,341.9
20110731,270.4
20110801,156.1
20110802,136.6
20110803,247.2
20110804,290.8
20110805,274.4
20110806,451.1
20110807,490.5
20110808,350.7
20110809,207
20110810,184.5
20110811,205.5
20110812,154.3
20110813,217.8
20110814,156
20110815,145.1
20110816,143.4
20110817,141.9
20110818,269
20110819,168.5
20110820,157.1
20110821,221.7
20110822,158.7
20110823,149.4
20110824,144.9
20110825,143.4
20110826,143.8
20110827,146.7
