Date,Simulated Outflow
20110101,38.49
20110102,37.25
20110103,36
20110104,35.14
20110105,34.45
20110106,33.62
20110107,32.17
20110108,32.16
20110109,31.24
20110110,30.42
20110111,29.86
20110112,28.96
20110113,28.56
20110114,27.3
20110115,26.67
20110116,26.31
20110117,25.53
20110118,25.04
20110119,24.35
20110120,23.49
20110121,22.9
20110122,22.13
20110123,20.89
20110124,21.08
20110125,20.36
20110126,19.83
20110127,19.17
20110128,39.66
20110129,28
20110130,20
20110131,19
20110201,19
20110202,19
20110203,19
20110204,3
20110205,1
20110206,1
20110207,1
20110208,1
20110209,1
20110210,1
20110211,12
20110212,21
20110213,21
20110214,21
20110215,21
20110216,21
20110217,21
20110218,21
20110219,19
20110220,18
20110221,18
20110222,18
20110223,18
20110224,18
20110225,24
20110226,48
20110227,50
20110228,36
20110301,34
20110302,44
20110303,47
20110304,47
20110305,47
20110306,53
20110307,53
20110308,50
20110309,50
20110310,50
20110311,48
20110312,47
20110313,45
20110314,45
20110315,45
20110316,46
20110317,46
20110318,46
20110319,46
20110320,43
20110321,40
20110322,40
20110323,40
20110324,25
20110325,25
20110326,1
20110327,1
20110328,1
20110329,1
20110330,1
20110331,10
20110401,16
20110402,16
20110403,38
20110404,31
20110405,29
20110406,30
20110407,41
20110408,42
20110409,46
20110410,46
20110411,9
20110412,46
20110413,46
20110414,41
20110415,41
20110416,41
20110417,41
20110418,41
20110419,41
20110420,41
20110421,40
20110422,20
20110423,4
20110424,2
20110425,2
20110426,2
20110427,3
20110428,3
20110429,21
20110430,19
20110501,18
20110502,18
20110503,18
20110504,18
20110505,18
20110506,52
20110507,47
20110508,49
20110509,52
20110510,52
20110511,52
20110512,52
20110513,52
20110514,52
20110515,47
20110516,47
20110517,46
20110518,46
20110519,16
20110520,2
20110521,2
20110522,2
20110523,2
20110524,2
20110525,2
20110526,2
20110527,2
20110528,6
20110529,11
20110530,12
20110531,46
20110601,42
20110602,35
20110603,24
20110604,29
20110605,35
20110606,35
20110607,120.9
20110608,77.53
20110609,46.06
20110610,126.4
20110611,52.98
20110612,79.22
20110613,147.6
20110614,185.1
20110615,167.8
20110616,84.12
20110617,127.2
20110618,348
20110619,117.6
20110620,81.45
20110621,60
20110622,55.88
20110623,78.49
20110624,72.18
20110625,311.8
20110626,588.8
20110627,341
20110628,226.3
20110629,278.7
20110630,339
20110701,197
20110702,141
20110703,141
20110704,113
20110705,74
20110706,56
20110707,42
20110708,55
20110709,55
20110710,55
20110711,55
20110712,55
20110713,55
20110714,85.18
20110715,211.1
20110716,331.8
20110717,836.3
20110718,871.9
20110719,790
20110720,585
20110721,510
20110722,440
20110723,440
20110724,440
20110725,440
20110726,440
20110727,440
20110728,286
20110729,161
20110730,156
20110731,91
20110801,71
20110802,44
20110803,43
20110804,57
20110805,114
20110806,185
20110807,435
20110808,362
20110809,326
20110810,235
20110811,241
20110812,194
20110813,185
20110814,185
20110815,185
20110816,185
20110817,185
20110818,83
20110819,71
20110820,140
20110821,102
20110822,99
20110823,141
20110824,142
20110825,142
20110826,142
20110827,142
20110828,156
20110829,171
20110830,171
20110831,237
20110901,562
20110902,1112
20110903,522
20110904,669
20110905,719
20110906,223
20110907,282
20110908,299
20110909,204
20110910,200
20110911,200
20110912,200
20110913,200
20110914,200
20110915,200
20110916,200
20110917,200
20110918,146
20110919,144
20110920,117
20110921,115
20110922,115
