date,inflow,std
20110101,4.02144,0
20110102,6.76848,0
20110103,4.70112,0
20110104,3.34176,0
20110105,3.6816,0
20110106,4.72944,0
20110107,3.34176,0
20110108,3.70992,0
20110109,3.17184,0
20110110,4.5312,0
20110111,4.87104,0
20110112,2.832,0
20110113,2.832,0
20110114,2.832,0
20110115,2.832,0
20110116,3.17184,0
20110117,2.832,0
20110118,3.51168,0
20110119,2.832,0
20110120,3.17184,0
20110121,2.832,0
20110122,1.81248,0
20110123,2.832,0
20110124,2.832,0
20110125,2.15232,0
20110126,2.09568,0
20110127,2.09568,0
20110128,1.81248,0
20110129,2.832,0
20110130,2.15232,0
20110131,1.81248,0
20110201,1.81248,0
20110202,1.81248,0
20110203,1.81248,0
20110204,1.47264,0
20110205,1.81248,0
20110206,1.47264,0
20110207,1.47264,0
20110208,1.81248,0
20110209,1.81248,0
20110210,1.47264,0
20110211,1.1328,0
20110212,1.47264,0
20110213,1.10448,0
20110214,1.16112,0
20110215,1.1328,0
20110216,1.47264,0
20110217,1.81248,0
20110218,0.79296,0
20110219,1.47264,0
20110220,1.47264,0
20110221,1.1328,0
20110222,1.47264,0
20110223,1.1328,0
20110224,1.1328,0
20110225,2.832,0
20110226,7.24992,0
20110227,1.1328,0
20110228,0.79296,0
20110301,1.47264,0
20110302,1.1328,0
20110303,0.62304,0
20110304,0.96288,0
20110305,0.96288,0
20110306,0.96288,0
20110307,0.62304,0
20110308,0.62304,0
20110309,0.65136,0
20110310,0.82128,0
20110311,0.82128,0
20110312,0.82128,0
20110313,0.82128,0
20110314,0.82128,0
20110315,0.87792,0
20110316,0.96288,0
20110317,1.01952,0
20110318,0.90624,0
20110319,0.5664,0
20110320,0.5664,0
20110321,0.39648,0
20110322,0.76464,0
20110323,0.90624,0
20110324,0.90624,0
20110325,0.90624,0
20110326,0.90624,0
20110327,0.90624,0
20110328,1.07616,0
20110329,1.07616,0
20110330,0.65136,0
20110331,1.416,0
20110401,0.96288,0
20110402,1.61424,0
20110403,1.35936,0
20110404,0.67968,0
20110405,0.67968,0
20110406,0.79296,0
20110407,1.07616,0
20110408,0.4248,0
20110409,0.76464,0
20110410,0.48144,0
20110411,0.2832,0
20110412,0.76464,0
20110413,0.67968,0
20110414,2.49216,0
20110415,1.78416,0
20110416,1.24608,0
20110417,1.92576,0
20110418,1.07616,0
20110419,1.24608,0
20110420,1.44432,0
20110421,2.124,0
20110422,3.85152,0
20110423,3.17184,0
20110424,2.63376,0
20110425,4.5312,0
20110426,2.124,0
20110427,1.10448,0
20110428,0.76464,0
20110429,0.76464,0
20110430,0.5664,0
20110501,3.31344,0
20110502,1.78416,0
20110503,1.10448,0
20110504,0.76464,0
20110505,0.76464,0
20110506,0.76464,0
20110507,0.76464,0
20110508,0.5664,0
20110509,0.76464,0
20110510,0.76464,0
20110511,0.76464,0
20110512,0.76464,0
20110513,0.76464,0
20110514,6.11712,0
20110515,2.03904,0
20110516,1.416,0
20110517,0.96288,0
20110518,2.9736,0
20110519,2.832,0
20110520,2.18064,0
20110521,1.04784,0
20110522,1.04784,0
20110523,0.76464,0
20110524,0.5664,0
20110525,0.93456,0
20110526,2.124,0
20110527,0.76464,0
20110528,0.4248,0
20110529,2.46384,0
20110530,0.76464,0
20110531,0.4248,0
20110601,0.4248,0
20110602,0.76464,0
20110603,1.78416,0
20110604,4.87104,0
20110605,2.832,0
20110606,6.2304,0
20110607,5.89056,0
20110608,5.55072,0
20110609,8.94912,0
20110610,5.21088,0
20110611,6.2304,0
20110612,7.9296,0
20110613,15.77424,0
20110614,16.79376,0
20110615,27.69696,0
20110616,18.15312,0
20110617,15.77424,0
20110618,38.94,0
20110619,42.67824,0
20110620,19.88064,0
20110621,10.67664,0
20110622,10.95984,0
20110623,19.42752,0
20110624,39.84624,0
20110625,57.348,0
20110626,144.91344,0
20110627,113.39328,0
20110628,191.47152,0
20110629,118.49088,0
20110630,68.87424,0
20110701,77.14368,0
20110702,78.24816,0
20110703,66.75024,0
20110704,41.60208,0
20110705,42.87648,0
20110706,53.97792,0
20110707,75.01968,0
20110708,56.44176,0
20110709,62.5872,0
20110710,53.29824,0
20110711,46.78464,0
20110712,35.99472,0
20110713,48.20064,0
20110714,37.72224,0
20110715,126.4488,0
20110716,171.67584,0
20110717,227.46624,0
20110718,173.7432,0
20110719,282.0672,0
20110720,224.77584,0
20110721,188.63952,0
20110722,176.32032,0
20110723,170.25984,0
20110724,207.8688,0
20110725,231.85584,0
20110726,134.52,0
20110727,99.60144,0
20110728,119.34048,0
20110729,75.6144,0
20110730,36.816,0
20110731,98.49696,0
20110801,72.95232,0
20110802,99.65808,0
20110803,175.81056,0
20110804,198.72144,0
20110805,240.8616,0
20110806,251.4816,0
20110807,255.75792,0
20110808,296.9352,0
20110809,230.89296,0
20110810,152.24832,0
20110811,173.6016,0
20110812,155.59008,0
20110813,135.02976,0
20110814,123.41856,0
20110815,89.66112,0
20110816,91.7568,0
20110817,77.79504,0
20110818,69.5256,0
20110819,68.42112,0
20110820,64.0032,0
20110821,73.97184,0
20110822,96.1464,0
20110823,66.35376,0
20110824,39.7896,0
20110825,56.64,0
20110826,50.94768,0
20110827,61.22784,0
20110828,71.62128,0
20110829,73.46208,0
20110830,94.50384,0
20110831,129.19584,0
20110901,120.95472,0
20110902,168.7872,0
20110903,213.58944,0
20110904,180.22848,0
20110905,204.64032,0
20110906,171.02448,0
20110907,107.70096,0
20110908,92.04,0
20110909,81.16512,0
20110910,78.24816,0
20110911,83.20416,0
20110912,70.00704,0
20110913,69.8088,0
20110914,70.2336,0
20110915,64.5696,0
20110916,119.39712,0
20110917,104.24592,0
20110918,81.90144,0
20110919,74.65152,0
20110920,68.84592,0
20110921,55.96032,0
20110922,50.52288,0
20110923,44.37744,0
20110924,34.38048,0
20110925,26.22432,0
20110926,20.6736,0
20110927,16.73712,0
20110928,14.49984,0
20110929,13.11216,0
20110930,9.79872,0
20111001,7.3632,0
20111002,6.2304,0
20111003,4.02144,0
20111004,2.91696,0
20111005,2.43552,0
20111006,2.09568,0
20111007,0.79296,0
20111008,7.788,0
20111009,16.284,0
20111010,13.36704,0
20111011,20.6736,0
20111012,16.51056,0
20111013,36.84432,0
20111014,18.60624,0
20111015,18.60624,0
20111016,17.89824,0
20111017,20.30544,0
20111018,9.7704,0
20111019,8.496,0
20111020,2.86032,0
20111021,4.75776,0
20111022,6.5136,0
20111023,2.86032,0
20111024,21.55152,0
20111025,14.4432,0
20111026,23.70384,0
20111027,10.25184,0
20111028,6.82512,0
20111029,7.56144,0
20111030,6.9384,0
20111031,1.5576,0
20111101,1.5576,0
20111102,1.52928,0
20111103,26.79072,0
20111104,53.1,0
20111105,35.85312,0
20111106,20.47536,0
20111107,28.91472,0
20111108,26.0544,0
20111109,6.03216,0
20111110,3.34176,0
20111111,2.35056,0
20111112,1.52928,0
20111113,0.708,0
20111114,1.30272,0
20111115,1.30272,0
20111116,0.708,0
20111117,0.65136,0
20111118,1.33104,0
20111119,0.65136,0
20111120,0.45312,0
20111121,0.31152,0
20111122,0.50976,0
20111123,0.39648,0
20111124,0.48144,0
20111125,0.39648,0
20111126,0.48144,0
20111127,0.39648,0
20111128,0.48144,0
20111129,13.08384,0
20111130,12.744,0
20111201,13.08384,0
20111202,12.40416,0
20111203,11.328,0
20111204,11.29968,0
20111205,11.328,0
20111206,11.328,0
20111207,11.29968,0
20111208,11.24304,0
20111209,10.9032,0
20111210,10.9032,0
20111211,10.81824,0
20111212,10.98816,0
20111213,10.87488,0
20111214,10.87488,0
20111215,10.73328,0
20111216,8.9208,0
20111217,6.82512,0
20111218,3.22848,0
20111219,3.14352,0
20111220,2.832,0
20111221,2.71872,0
