date,inflow,std
20110101,3.74,0
20110102,3.76,0
20110103,3.77,0
20110104,3.78,0
20110105,3.79,0
20110106,3.81,0
20110107,3.82,0
20110108,3.83,0
20110109,3.84,0
20110110,3.85,0
20110111,3.86,0
20110112,3.88,0
20110113,3.88,0
20110114,3.89,0
20110115,3.89,0
20110116,3.9,0
20110117,3.91,0
20110118,3.92,0
20110119,3.93,0
20110120,3.93,0
20110121,3.94,0
20110122,3.95,0
20110123,3.95,0
20110124,3.96,0
20110125,3.97,0
20110126,3.98,0
20110127,3.98,0
20110128,3.98,0
20110129,3.99,0
20110130,3.99,0
20110131,4,0
20110201,4,0
20110202,4,0
20110203,4.01,0
20110204,4.01,0
20110205,4.02,0
20110206,4.02,0
20110207,4.02,0
20110208,4.03,0
20110209,4.03,0
20110210,4.03,0
20110211,4.04,0
20110212,4.04,0
20110213,4.04,0
20110214,4.04,0
20110215,4.05,0
20110216,4.05,0
20110217,4.05,0
20110218,4.05,0
20110219,4.06,0
20110220,4.06,0
20110221,4.06,0
20110222,4.07,0
20110223,4.07,0
20110224,4.07,0
20110225,4.08,0
20110226,4.1,0
20110227,4.1,0
20110228,4.1,0
20110301,4.1,0
20110302,4.11,0
20110303,4.11,0
20110304,4.11,0
20110305,4.11,0
20110306,4.11,0
20110307,4.11,0
20110308,4.11,0
20110309,4.11,0
20110310,4.11,0
20110311,4.11,0
20110312,4.11,0
20110313,4.11,0
20110314,4.11,0
20110315,4.11,0
20110316,4.11,0
20110317,4.11,0
20110318,4.1,0
20110319,4.1,0
20110320,4.09,0
20110321,4.09,0
20110322,4.09,0
20110323,4.09,0
20110324,4.09,0
20110325,4.09,0
20110326,4.08,0
20110327,4.08,0
20110328,4.08,0
20110329,4.08,0
20110330,4.08,0
20110331,4.08,0
20110401,4.08,0
20110402,4.07,0
20110403,4.05,0
20110404,4.04,0
20110405,4.02,0
20110406,4,0
20110407,3.98,0
20110408,3.95,0
20110409,3.92,0
20110410,3.91,0
20110411,3.88,0
20110412,3.86,0
20110413,3.83,0
20110414,3.81,0
20110415,3.79,0
20110416,3.76,0
20110417,3.74,0
20110418,3.73,0
20110419,3.73,0
20110420,3.74,0
20110421,3.74,0
20110422,3.76,0
20110423,3.77,0
20110424,3.77,0
20110425,3.79,0
20110426,3.79,0
20110427,3.79,0
20110428,3.79,0
20110429,3.79,0
20110430,3.79,0
20110501,3.8,0
20110502,3.81,0
20110503,3.81,0
20110504,3.81,0
20110505,3.81,0
20110506,3.81,0
20110507,3.81,0
20110508,3.81,0
20110509,3.81,0
20110510,3.81,0
20110511,3.81,0
20110512,3.8,0
20110513,3.8,0
20110514,3.81,0
20110515,3.81,0
20110516,3.79,0
20110517,3.78,0
20110518,3.78,0
20110519,3.78,0
20110520,3.78,0
20110521,3.78,0
20110522,3.78,0
20110523,3.78,0
20110524,3.78,0
20110525,3.78,0
20110526,3.78,0
20110527,3.79,0
20110528,3.79,0
20110529,3.79,0
20110530,3.79,0
20110531,6.34,0
20110601,3.8,0
20110602,3.79,0
20110603,3.8,0
20110604,3.81,0
20110605,3.82,0
20110606,3.84,0
20110607,3.85,0
20110608,3.87,0
20110609,3.89,0
20110610,3.91,0
20110611,3.93,0
20110612,3.95,0
20110613,4,0
20110614,4.05,0
20110615,4.13,0
20110616,4.18,0
20110617,4.23,0
20110618,4.35,0
20110619,4.47,0
20110620,4.53,0
20110621,4.56,0
20110622,4.6,0
20110623,4.65,0
20110624,4.77,0
20110625,4.95,0
20110626,5.39,0
20110627,5.73,0
20110628,6.32,0
20110629,6.68,0
20110630,6.93,0
20110701,7.16,0
20110702,7.4,0
20110703,7.5,0
20110704,7.47,0
20110705,7.47,0
20110706,7.5,0
20110707,7.52,0
20110708,7.49,0
20110709,7.5,0
20110710,7.5,0
20110711,7.54,0
20110712,7.54,0
20110713,7.57,0
20110714,7.55,0
20110715,7.57,0
20110716,7.52,0
20110717,7.62,0
20110718,7.42,0
20110719,7.67,0
20110720,7.56,0
20110721,7.67,0
20110722,7.65,0
20110723,7.61,0
20110724,7.7,0
20110725,7.68,0
20110726,7.5,0
20110727,7.43,0
20110728,7.69,0
20110729,7.74,0
20110730,7.67,0
20110731,7.81,0
20110801,7.57,0
20110802,7.66,0
20110803,7.88,0
20110804,7.82,0
20110805,7.88,0
20110806,7.98,0
20110807,7.62,0
20110808,7.55,0
20110809,7.33,0
20110810,7.41,0
20110811,7.67,0
20110812,7.87,0
20110813,8.02,0
20110814,7.93,0
20110815,7.78,0
20110816,7.87,0
20110817,7.97,0
20110818,8.04,0
20110819,8.1,0
20110820,8.16,0
20110821,8.24,0
20110822,8.39,0
20110823,8.45,0
20110824,8.44,0
20110825,8.44,0
20110826,8.42,0
20110827,8.44,0
20110828,8.42,0
20110829,8.41,0
20110830,8.37,0
20110831,8.44,0
20110901,8.33,0
20110902,8.12,0
20110903,8.29,0
20110904,8.12,0
20110905,8.23,0
20110906,8.23,0
20110907,8.26,0
20110908,8.26,0
20110909,8.25,0
20110910,8.31,0
20110911,8.36,0
20110912,8.34,0
20110913,8.35,0
20110914,8.36,0
20110915,8.36,0
20110916,8.34,0
20110917,8.34,0
20110918,8.33,0
20110919,8.33,0
20110920,8.33,0
20110921,8.34,0
20110922,8.33,0
20110923,8.32,0
20110924,8.28,0
20110925,8.22,0
20110926,8.14,0
20110927,8.06,0
20110928,7.97,0
20110929,7.88,0
20110930,7.77,0
20111001,7.65,0
20111002,7.53,0
20111003,7.4,0
20111004,7.27,0
20111005,7.13,0
20111006,6.99,0
20111007,6.83,0
20111008,6.72,0
20111009,6.64,0
20111010,6.55,0
20111011,6.48,0
20111012,6.41,0
20111013,6.45,0
20111014,6.46,0
20111015,6.47,0
20111016,6.48,0
20111017,6.48,0
20111018,6.45,0
20111019,6.42,0
20111020,6.34,0
20111021,6.26,0
20111022,6.19,0
20111023,6.11,0
20111024,6.1,0
20111025,6.1,0
20111026,6.12,0
20111027,6.11,0
20111028,6.07,0
20111029,6.04,0
20111030,6,0
20111031,5.93,0
20111101,5.85,0
20111102,5.75,0
20111103,5.77,0
20111104,5.89,0
20111105,5.98,0
20111106,6.01,0
20111107,6.05,0
20111108,6.07,0
20111109,6.02,0
20111110,5.94,0
20111111,5.85,0
20111112,5.75,0
20111113,5.64,0
20111114,5.52,0
20111115,5.39,0
20111116,5.26,0
20111117,5.13,0
20111118,4.99,0
20111119,4.86,0
20111120,4.7,0
20111121,4.56,0
20111122,4.48,0
20111123,4.41,0
20111124,4.33,0
20111125,4.24,0
20111126,4.16,0
20111127,4.08,0
20111128,3.99,0
20111129,3.84,0
20111130,3.92,0
20111201,3.77,0
20111202,3.69,0
20111203,3.61,0
20111204,3.53,0
20111205,3.43,0
20111206,3.44,0
20111207,3.4,0
20111208,3.35,0
20111209,3.3,0
20111210,3.25,0
20111211,3.2,0
20111212,3.16,0
20111213,3.11,0
20111214,3.07,0
20111215,3.01,0
20111216,2.9,0
20111217,2.79,0
20111218,2.68,0
20111219,2.59,0
20111220,2.5,0
20111221,2.4,0
20111222,4.48,0
20111223,2.2,0
20111224,2.14,0
20111225,2.09,0
20111226,2.05,0
20111227,2,0
20111228,1.96,0
20111229,1.91,0
20111230,1.82,0
20111231,1.72,0
20120101,1.76,0
20120102,,0
20120103,,0
20120104,,0
20120105,,0
20120106,,0
20120107,,0
20120108,,0
20120109,,0
20120110,,0
20120111,,0
20120112,,0
20120113,,0
20120114,,0
20120115,,0
20120116,,0
20120117,,0
20120118,,0
20120119,,0
20120120,,0
20120121,,0
20120122,,0
20120123,,0
20120124,,0
20120125,,0
20120126,,0
20120127,,0
20120128,,0
20120129,,0
20120130,,0
20120131,,0
20120201,,0
20120202,,0
20120203,,0
20120204,,0
20120205,,0
20120206,,0
20120207,,0
20120208,,0
20120209,,0
20120210,,0
20120211,,0
20120212,,0
20120213,,0
20120214,,0
20120215,,0
20120216,,0
20120217,,0
20120218,,0
20120219,,0
20120220,,0
20120221,,0
20120222,,0
20120223,,0
20120224,,0
20120225,,0
20120226,,0
20120227,,0
20120228,,0
20120229,,0
20120301,,0
20120302,,0
20120303,,0
20120304,,0
20120305,,0
20120306,,0
20120307,,0
20120308,,0
20120309,,0
20120310,,0
20120311,,0
20120312,,0
20120313,,0
20120314,,0
20120315,,0
20120316,,0
20120317,,0
20120318,,0
20120319,,0
20120320,,0
20120321,,0
20120322,,0
20120323,,0
20120324,,0
20120325,,0
20120326,,0
20120327,,0
20120328,,0
20120329,,0
20120330,,0
20120331,,0
20120401,,0
20120402,,0
20120403,,0
20120404,,0
20120405,,0
20120406,,0
20120407,,0
20120408,,0
20120409,,0
20120410,,0
20120411,,0
20120412,,0
20120413,,0
20120414,,0
20120415,,0
20120416,,0
20120417,,0
20120418,,0
20120419,,0
