Date,Level
20110101,2835.9
20110102,2836.09
20110103,2836.22
20110104,2836.31
20110105,2836.41
20110106,2836.54
20110107,2836.63
20110108,2836.73
20110109,2836.81
20110110,2836.93
20110111,2837.06
20110112,2837.23
20110113,2837.23
20110114,2837.3
20110115,2837.37
20110116,2837.45
20110117,2837.52
20110118,2837.61
20110119,2837.68
20110120,2837.76
20110121,2837.83
20110122,2837.87
20110123,2837.94
20110124,2838.01
20110125,2838.06
20110126,2838.16
20110127,2838.16
20110128,2838.2
20110129,2838.27
20110130,2838.32
20110131,2838.36
20110201,2838.4
20110202,2838.44
20110203,2838.48
20110204,2838.51
20110205,2838.55
20110206,2838.58
20110207,2838.61
20110208,2838.65
20110209,2838.69
20110210,2838.72
20110211,2838.74
20110212,2838.77
20110213,2838.79
20110214,2838.81
20110215,2838.83
20110216,2838.86
20110217,2838.9
20110218,2838.91
20110219,2838.94
20110220,2838.97
20110221,2838.99
20110222,2839.02
20110223,2839.04
20110224,2839.06
20110225,2839.13
20110226,2839.33
20110227,2839.35
20110228,2839.36
20110301,2839.39
20110302,2839.41
20110303,2839.41
20110304,2839.42
20110305,2839.42
20110306,2839.43
20110307,2839.43
20110308,2839.43
20110309,2839.44
20110310,2839.43
20110311,2839.43
20110312,2839.43
20110313,2839.43
20110314,2839.43
20110315,2839.43
20110316,2839.44
20110317,2839.41
20110318,2839.39
20110319,2839.36
20110320,2839.33
20110321,2839.3
20110322,2839.28
20110323,2839.26
20110324,2839.24
20110325,2839.22
20110326,2839.2
20110327,2839.18
20110328,2839.16
20110329,2839.16
20110330,2839.14
20110331,2839.13
20110401,2839.12
20110402,2839.05
20110403,2838.91
20110404,2838.75
20110405,2838.59
20110406,2838.35
20110407,2838.16
20110408,2837.91
20110409,2837.67
20110410,2837.5
20110411,2837.2
20110412,2837.08
20110413,2836.75
20110414,2836.54
20110415,2836.33
20110416,2836.12
20110417,2835.91
20110418,2835.8
20110419,2835.82
20110420,2835.85
20110421,2835.9
20110422,2836.07
20110423,2836.15
20110424,2836.21
20110425,2836.33
20110426,2836.38
20110427,2836.4
20110428,2836.41
20110429,2836.42
20110430,2836.42
20110501,2836.5
20110502,2836.54
20110503,2836.56
20110504,2836.57
20110505,2836.58
20110506,2836.59
20110507,2836.6
20110508,2836.6
20110509,2836.57
20110510,2836.55
20110511,2836.52
20110512,2836.49
20110513,2836.46
20110514,2836.56
20110515,2836.54
20110516,2836.42
20110517,2836.29
20110518,2836.24
20110519,2836.23
20110520,2836.24
20110521,2836.24
20110522,2836.24
20110523,2836.26
20110524,2836.26
20110525,2836.27
20110526,2836.32
20110527,2836.33
20110528,2836.33
20110529,2836.39
20110530,2836.4
20110531,2836.4
20110601,2836.46
20110602,2836.41
20110603,2836.45
20110604,2836.58
20110605,2836.65
20110606,2836.82
20110607,2836.98
20110608,2837.13
20110609,2837.38
20110610,2837.52
20110611,2837.69
20110612,2837.91
20110613,2838.36
20110614,2838.84
20110615,2839.64
20110616,2840.16
20110617,2840.61
20110618,2841.74
20110619,2842.95
20110620,2843.52
20110621,2843.82
20110622,2844.06
20110623,2844.32
20110624,2844.86
20110625,2845.64
20110626,2847.62
20110627,2849.17
20110628,2851.79
20110629,2853.41
20110630,2854.35
20110701,2855.04
20110702,2855.74
20110703,2856.03
20110704,2855.94
20110705,2855.94
20110706,2856.04
20110707,2856.1
20110708,2856
20110709,2856.05
20110710,2856.04
20110711,2856.15
20110712,2856.15
20110713,2856.26
20110714,2856.19
20110715,2856.26
20110716,2856.1
20110717,2856.39
20110718,2855.81
20110719,2856.56
20110720,2856.23
20110721,2856.55
20110722,2856.5
20110723,2856.37
20110724,2856.63
20110725,2856.57
20110726,2856.03
20110727,2855.85
20110728,2856.61
20110729,2856.75
20110730,2856.54
20110731,2856.95
20110801,2856.24
20110802,2856.52
20110803,2857.16
20110804,2856.98
20110805,2857.18
20110806,2857.45
20110807,2856.4
20110808,2856.18
20110809,2855.54
20110810,2855.79
20110811,2856.56
20110812,2857.14
20110813,2857.57
20110814,2857.32
20110815,2856.87
20110816,2857.14
20110817,2857.44
20110818,2857.64
20110819,2857.83
20110820,2857.98
20110821,2858.22
20110822,2858.66
20110823,2858.86
20110824,2858.83
20110825,2858.81
20110826,2858.75
20110827,2858.81
20110828,2858.75
20110829,2858.73
20110830,2858.6
20110831,2858.81
20110901,2858.51
20110902,2857.88
20110903,2858.37
20110904,2857.87
20110905,2858.19
20110906,2858.21
20110907,2858.29
20110908,2858.3
20110909,2858.26
20110910,2858.44
20110911,2858.58
20110912,2858.54
20110913,2858.56
20110914,2858.58
20110915,2858.58
20110916,2858.52
20110917,2858.52
20110918,2858.51
20110919,2858.51
20110920,2858.51
20110921,2858.52
20110922,2858.51
20110923,2858.47
20110924,2858.34
20110925,2858.16
20110926,2857.93
20110927,2857.69
20110928,2857.43
20110929,2857.16
20110930,2856.84
20111001,2856.49
20111002,2856.13
20111003,2855.75
20111004,2855.36
20111005,2854.94
20111006,2854.53
20111007,2854.07
20111008,2853.62
20111009,2853.25
20111010,2852.84
20111011,2852.53
20111012,2852.19
20111013,2852.38
20111014,2852.43
20111015,2852.48
20111016,2852.52
20111017,2852.52
20111018,2852.41
20111019,2852.24
20111020,2851.9
20111021,2851.52
20111022,2851.22
20111023,2850.87
20111024,2850.82
20111025,2850.8
20111026,2850.92
20111027,2850.84
20111028,2850.69
20111029,2850.55
20111030,2850.35
20111031,2850.05
20111101,2849.68
20111102,2849.24
20111103,2849.34
20111104,2849.87
20111105,2850.27
20111106,2850.41
20111107,2850.59
20111108,2850.69
20111109,2850.44
20111110,2850.09
20111111,2849.69
20111112,2849.24
20111113,2848.74
20111114,2848.19
20111115,2847.64
20111116,2847.06
20111117,2846.46
20111118,2845.85
20111119,2845.25
20111120,2844.55
20111121,2843.8
20111122,2843.06
20111123,2842.3
20111124,2841.53
20111125,2840.75
20111126,2839.94
20111127,2839.14
20111128,2838.32
20111129,2836.89
20111130,2837.6
20111201,2836.18
20111202,2835.45
20111203,2834.66
20111204,2833.82
20111205,2833.54
20111206,2832.04
20111207,2831.1
20111208,2830.15
20111209,2829.18
20111210,2828.21
20111211,2827.32
20111212,2826.44
20111213,2825.58
20111214,2824.72
20111215,2823.71
20111216,2822.57
20111217,2821.36
20111218,2820.1
20111219,2819.1
20111220,2818.09
20111221,2817
20111222,2843.06
20111223,2814.83
20111224,2814.12
20111225,2813.49
20111226,2812.82
20111227,2812.16
20111228,2811.52
20111229,2810.85
20111230,2810.18
20111231,2809.45
20120101,2808.74
20120102,0
20120103,0
20120104,0
20120105,0
20120106,0
20120107,0
20120108,0
20120109,0
20120110,0
20120111,0
20120112,0
20120113,0
20120114,0
20120115,0
20120116,0
20120117,0
20120118,0
20120119,0
20120120,0
20120121,0
20120122,0
20120123,0
20120124,0
20120125,0
20120126,0
20120127,0
20120128,0
20120129,0
20120130,0
20120131,0
20120201,0
20120202,0
20120203,0
20120204,0
20120205,0
20120206,0
20120207,0
20120208,0
20120209,0
20120210,0
20120211,0
20120212,0
20120213,0
20120214,0
20120215,0
20120216,0
20120217,0
20120218,0
20120219,0
20120220,0
20120221,0
20120222,0
20120223,0
20120224,0
20120225,0
20120226,0
20120227,0
20120228,0
20120229,0
20120301,0
20120302,0
20120303,0
20120304,0
20120305,0
20120306,0
20120307,0
20120308,0
20120309,0
20120310,0
20120311,0
20120312,0
20120313,0
20120314,0
20120315,0
20120316,0
20120317,0
20120318,0
20120319,0
20120320,0
20120321,0
20120322,0
20120323,0
20120324,0
20120325,0
20120326,0
20120327,0
20120328,0
20120329,0
20120330,0
20120331,0
20120401,0
20120402,0
20120403,0
20120404,0
20120405,0
20120406,0
20120407,0
20120408,0
20120409,0
20120410,0
20120411,0
20120412,0
20120413,0
20120414,0
20120415,0
20120416,0
20120417,0
20120418,0
20120419,0
20120420,0
20120421,0
20120422,0
20120423,0
20120424,0
20120425,0
20120426,0
20120427,0
20120428,0
20120429,0
20120430,0
20120501,0
20120502,0
20120503,0
20120504,0
20120505,0
20120506,0
20120507,0
20120508,0
20120509,0
20120510,0
20120511,0
20120512,0
20120513,0
20120514,0
20120515,0
20120516,0
20120517,0
20120518,0
20120519,0
20120520,0
20120521,0
20120522,0
20120523,0
20120524,0
20120525,0
20120526,0
20120527,0
20120528,0
20120529,0
20120530,0
20120531,2809.5
20120601,2809
20120602,2808
20120603,2808
20120604,2807
20120605,2806
20120606,2806
20120607,2805
20120608,2805
20120609,2804.27
20120610,2804
20120611,2804
20120612,2803
20120613,2803
20120614,0
20120615,2802
20120616,2802
20120617,2802
20120618,2802.48
20120619,2805.5
20120620,2807.3
20120621,2808.27
20120622,2809.01
20120623,2809.75
20120624,2810.22
20120625,2810.54
20120626,2810.83
20120627,2811.09
20120628,2811.44
20120629,2811.89
20120630,2812.56
20120701,2813.28
20120702,2814.11
20120703,2816.12
20120704,2817.38
20120705,2818.58
20120706,2819.44
