Date,Evapotranspiration,,
20110101,181500,,
20110102,134300,,
20110103,164400,,
20110104,172500,,
20110105,160100,,
20110106,157100,,
20110107,210700,,
20110108,143400,,
20110109,161800,,
20110110,164600,,
20110111,153200,,
20110112,166200,,
20110113,127700,,
20110114,181500,,
20110115,177400,,
20110116,147400,,
20110117,159800,,
20110118,151100,,
20110119,147000,,
20110120,167700,,
20110121,156500,,
20110122,176200,,
20110123,226300,,
20110124,169900,,
20110125,176900,,
20110126,153200,,
20110127,147500,,
20110128,196300,,
20110129,167100,,
20110130,168300,,
20110131,169500,,
20110201,201600,,
20110202,187200,,
20110203,175600,,
20110204,186800,,
20110205,196100,,
20110206,169400,,
20110207,195900,,
20110208,219900,,
20110209,182700,,
20110210,171700,,
20110211,195100,,
20110212,173500,,
20110213,191000,,
20110214,247800,,
20110215,182100,,
20110216,216500,,
20110217,202600,,
20110218,185500,,
20110219,176700,,
20110220,198300,,
20110221,85250,,
20110222,158900,,
20110223,153400,,
20110224,192800,,
20110225,85560,,
20110226,178300,,
20110227,191300,,
20110228,157900,,
20110301,174300,,
20110302,143800,,
20110303,183200,,
20110304,162100,,
20110305,150800,,
20110306,155200,,
20110307,151800,,
20110308,177700,,
20110309,167700,,
20110310,172300,,
20110311,124700,,
20110312,128700,,
20110313,149100,,
20110314,154500,,
20110315,147500,,
20110316,147300,,
20110317,135500,,
20110318,131000,,
20110319,135000,,
20110320,118400,,
20110321,137300,,
20110322,162300,,
20110323,119000,,
20110324,70000,,
20110325,40630,,
20110326,134800,,
20110327,35160,,
20110328,41440,,
20110329,81950,,
20110330,118100,,
20110331,83740,,
20110401,125500,,
20110402,130500,,
20110403,104900,,
20110404,112900,,
20110405,88410,,
20110406,105000,,
20110407,117400,,
20110408,77640,,
20110409,114300,,
20110410,25400,,
20110411,21670,,
20110412,36830,,
20110413,78900,,
20110414,28590,,
20110415,32300,,
20110416,19130,,
20110417,18890,,
20110418,28160,,
20110419,10860,,
20110420,18130,,
20110421,19780,,
20110422,13340,,
20110423,10860,,
20110424,11890,,
20110425,57820,,
20110426,20350,,
20110427,61540,,
20110428,56010,,
20110429,52890,,
20110430,47980,,
20110501,11340,,
20110502,4648,,
20110503,39610,,
20110504,29580,,
20110505,31650,,
20110506,28540,,
20110507,33180,,
20110508,35930,,
20110509,21500,,
20110510,27130,,
20110511,28520,,
20110512,3785,,
20110513,22620,,
20110514,6257,,
20110515,6845,,
20110516,6869,,
20110517,22250,,
20110518,9665,,
20110519,4803,,
20110520,11420,,
20110521,15420,,
20110522,14540,,
20110523,11690,,
20110524,5910,,
20110525,4123,,
20110526,2324,,
20110527,1371,,
20110528,128.5,,
20110529,1187,,
20110530,538.7,,
20110531,735.2,,
20110601,0,,
20110602,0,,
20110603,0,,
20110604,0,,
20110605,0,,
20110606,0,,
20110607,0,,
20110608,0,,
20110609,0,,
20110610,0,,
20110611,0,,
20110612,0,,
20110613,17.27,,
20110614,63.15,,
20110615,37.55,,
20110616,149.2,,
20110617,460.5,,
20110618,794.9,,
20110619,83.15,,
20110620,321.2,,
20110621,511.4,,
20110622,0,,
20110623,0,,
20110624,0,,
20110625,0,,
20110626,0,,
20110627,53.8,,
20110628,879.6,,
20110629,12.26,,
20110630,765.2,,
20110701,2023,,
20110702,1475,,
20110703,13620,,
20110704,9085,,
20110705,1236,,
20110706,12690,,
20110707,23430,,
20110708,17740,,
20110709,6804,,
20110710,3632,,
20110711,13660,,
20110712,8123,,
20110713,13080,,
20110714,15740,,
20110715,5586,,
20110716,35210,,
20110717,29540,,
20110718,18220,,
20110719,37380,,
20110720,36020,,
20110721,33950,,
20110722,44660,,
20110723,44450,,
20110724,51460,,
20110725,25140,,
20110726,26180,,
20110727,39070,,
20110728,47230,,
20110729,20210,,
20110730,23090,,
20110731,41530,,
20110801,52320,,
20110802,61720,,
20110803,47610,,
20110804,39920,,
20110805,41470,,
20110806,54770,,
20110807,59070,,
20110808,73280,,
20110809,29830,,
20110810,48910,,
20110811,46230,,
20110812,4501,,
20110813,59680,,
20110814,29670,,
20110815,23740,,
20110816,73340,,
20110817,67270,,
20110818,22630,,
20110819,46750,,
20110820,20680,,
20110821,1754,,
20110822,32040,,
20110823,11230,,
20110824,15410,,
20110825,36020,,
20110826,20190,,
20110827,51440,,
20110828,36520,,
20110829,33750,,
20110830,15080,,
20110831,5608,,
20110901,42480,,
20110902,38230,,
20110903,29110,,
20110904,32030,,
20110905,44870,,
20110906,32870,,
20110907,25510,,
20110908,10330,,
20110909,6080,,
20110910,26590,,
20110911,35610,,
20110912,40430,,
20110913,37150,,
20110914,21700,,
20110915,23250,,
20110916,32640,,
20110917,2406,,
20110918,8670,,
20110919,27670,,
20110920,22880,,
20110921,25140,,
20110922,18960,,
20110923,29830,,
20110924,41900,,
20110925,44900,,
20110926,44930,,
20110927,42180,,
20110928,47850,,
20110929,32120,,
20110930,44260,,
20111001,992,,
20111002,11300,,
20111003,11400,,
20111004,46120,,
20111005,40250,,
20111006,38180,,
20111007,35530,,
20111008,36780,,
20111009,13470,,
20111010,12820,,
20111011,13260,,
20111012,10850,,
20111013,11990,,
20111014,9800,,
20111015,8677,,
20111016,9409,,
20111017,26780,,
20111018,21030,,
20111019,49770,,
20111020,51010,,
20111021,10840,,
20111022,17730,,
20111023,44100,,
20111024,17650,,
20111025,16610,,
20111026,12180,,
20111027,16990,,
20111028,24550,,
20111029,26370,,
20111030,16100,,
20111031,14750,,
20111101,4717,,
20111102,15290,,
20111103,15080,,
20111104,2767,,
20111105,10610,,
20111106,20000,,
20111107,26410,,
20111108,40840,,
20111109,51930,,
20111110,47150,,
20111111,47820,,
20111112,45170,,
20111113,45540,,
20111114,40770,,
20111115,46750,,
20111116,44040,,
20111117,40560,,
20111118,32820,,
20111119,41630,,
20111120,39150,,
20111121,32800,,
20111122,37440,,
20111123,31610,,
20111124,30920,,
20111125,33750,,
20111126,7482,,
20111127,13160,,
20111128,7966,,
20111129,7910,,
20111130,29400,,
20111201,21740,,
20111202,24190,,
20111203,22990,,
20111204,24430,,
20111205,20480,,
20111206,21590,,
20111207,21690,,
20111208,16920,,
20111209,17310,,
20111210,17630,,
20111211,15510,,
20111212,13640,,
20111213,11200,,
20111214,9074,,
20111215,9656,,
20111216,7047,,
20111217,4751,,
20111218,2457,,
20111219,1072,,
20111220,0,,
20111221,0,,
20111222,0,,
20111223,0,,
20111224,0,,
20111225,0,,
20111226,0,,
20111227,0,,
20111228,0,,
20111229,0,,
20111230,0,,
20111231,1261,,
20120101,2193,,
20120102,0,,
20120103,1688,,
20120104,3034,,
20120105,4837,,
20120106,5975,,
20120107,6484,,
20120108,7500,,
20120109,9330,,
20120110,10670,,
20120111,12730,,
20120112,13670,,
20120113,14050,,
20120114,13450,,
20120115,16370,,
20120116,17520,,
20120117,16100,,
20120118,20170,,
20120119,19940,,
20120120,19890,,
20120121,18270,,
20120122,21530,,
20120123,20150,,
20120124,22730,,
20120125,26050,,
20120126,21140,,
20120127,23780,,
20120128,22110,,
20120129,23260,,
20120130,21940,,
20120131,20830,,
20120201,26360,,
20120202,30990,,
20120203,33040,,
20120204,32710,,
20120205,31650,,
20120206,25860,,
20120207,26900,,
20120208,30330,,
20120209,27510,,
20120210,25540,,
20120211,30950,,
20120212,34610,,
20120213,31660,,
20120214,27430,,
20120215,31080,,
20120216,28780,,
20120217,27050,,
20120218,29490,,
20120219,29300,,
20120220,27350,,
20120221,25390,,
20120222,36820,,
20120223,31360,,
20120224,30830,,
20120225,29120,,
20120226,32770,,
20120227,32730,,
20120228,28080,,
20120229,40210,,
20120301,31890,,
20120302,32470,,
