Date,Observed Storage
20110101,31.6
20110102,31.5
20110103,31.39
20110104,31.34
20110105,31.34
20110106,31.33
20110107,31.3
20110108,31.27
20110109,31.27
20110110,31.26
20110111,31.23
20110112,31.21
20110113,31.21
20110114,31.2
20110115,31.18
20110116,31.16
20110117,31.15
20110118,31.12
20110119,31.11
20110120,31.1
20110121,31.1
20110122,31.09
20110123,31.08
20110124,31.07
20110125,31.06
20110126,31.04
20110127,31.04
20110128,31.04
20110129,31.03
20110130,31.02
20110131,31.01
20110201,31
20110202,30.99
20110203,30.99
20110204,30.98
20110205,30.97
20110206,30.96
20110207,30.95
20110208,30.94
20110209,30.93
20110210,30.93
20110211,30.92
20110212,30.79
20110213,30.66
20110214,30.53
20110215,30.41
20110216,30.28
20110217,30.09
20110218,29.88
20110219,29.67
20110220,29.38
20110221,29.11
20110222,28.84
20110223,28.56
20110224,28.26
20110225,27.96
20110226,27.66
20110227,27.36
20110228,27.06
20110301,26.76
20110302,26.46
20110303,26.16
20110304,25.86
20110305,25.86
20110306,25.25
20110307,24.95
20110308,24.64
20110309,24.33
20110310,24.02
20110311,23.72
20110312,23.41
20110313,23.12
20110314,22.82
20110315,22.56
20110316,22.31
20110317,22.06
20110318,21.8
20110319,21.55
20110320,21.29
20110321,21.03
20110322,20.78
20110323,20.52
20110324,20.2
20110325,19.9
20110326,19.59
20110327,19.29
20110328,18.99
20110329,18.99
20110330,18.38
20110331,18.07
20110401,17.77
20110402,17.46
20110403,17.16
20110404,16.87
20110405,16.59
20110406,16.29
20110407,16
20110408,15.71
20110409,15.41
20110410,15.12
20110411,14.83
20110412,14.54
20110413,14.24
20110414,13.95
20110415,13.66
20110416,13.37
20110417,13.17
20110418,12.96
20110419,12.76
20110420,12.55
20110421,12.34
20110422,12.13
20110423,11.93
20110424,11.72
20110425,11.51
20110426,11.3
20110427,11.1
20110428,10.89
20110429,10.73
20110430,10.56
20110501,10.4
20110502,10.24
20110503,10.07
20110504,9.91
20110505,9.76
20110506,9.61
20110507,9.45
20110508,9.29
20110509,9.13
20110510,8.97
20110511,8.81
20110512,8.65
20110513,8.48
20110514,8.32
20110515,8.15
20110516,7.99
20110517,7.83
20110518,7.67
20110519,7.54
20110520,7.41
20110521,7.28
20110522,7.17
20110523,7.06
20110524,6.95
20110525,6.84
20110526,6.74
20110527,6.63
20110528,6.56
20110529,6.45
20110530,6.34
20110531,6.25
20110601,6.21
20110602,6.19
20110603,6.19
20110604,6.18
20110605,6.15
20110606,6.21
20110607,6.38
20110608,6.53
20110609,6.71
20110610,7.02
20110611,7.36
20110612,7.84
20110613,8.65
20110614,9.25
20110615,9.69
20110616,10.16
20110617,10.56
20110618,10.97
20110619,11.3
20110620,11.46
20110621,11.6
20110622,11.68
20110623,11.74
20110624,11.91
20110625,12.07
20110626,12.2
20110627,12.49
20110628,13.08
20110629,13.45
20110630,13.75
20110701,13.95
20110702,14.19
20110703,14.49
20110704,14.67
20110705,14.91
20110706,15.17
20110707,15.39
20110708,15.63
20110709,15.78
20110710,15.82
20110711,16.04
20110712,16.26
20110713,16.32
20110714,16.41
20110715,16.67
20110716,17.08
20110717,17.78
20110718,19.29
20110719,20.71
20110720,22.33
20110721,22.33
20110722,24.45
20110723,25.18
20110724,26.14
20110725,27.15
20110726,27.66
20110727,28.27
20110728,28.43
20110729,28.62
20110730,28.73
20110731,29.2
20110801,29.44
20110802,29.79
20110803,30.18
20110804,31.04
20110805,31.75
20110806,32.3
20110807,33.26
20110808,33.98
20110809,34.47
20110810,34.66
20110811,34.78
20110812,34.94
20110813,35.26
20110814,35.27
20110815,35.27
20110816,35.17
20110817,34.89
20110818,34.69
20110819,34.52
20110820,34.38
20110821,34.34
20110822,34.45
20110823,34.29
20110824,34.1
20110825,33.84
20110826,33.58
20110827,33.32
20110828,33.24
20110829,33.2
20110830,33.38
20110831,33.83
20110901,34.35
20110902,35.18
20110903,36.27
20110904,36.7
20110905,36.8
20110906,36.6
20110907,36.53
20110908,36.58
20110909,36.66
20110910,36.58
20110911,36.58
20110912,36.49
20110913,36.48
20110914,36.51
20110915,36.49
20110916,36.57
20110917,36.66
20110918,36.58
20110919,36.49
20110920,36.39
20110921,36.23
20110922,36.07
20110923,35.87
20110924,35.62
20110925,35.37
20110926,35.12
20110927,34.86
20110928,34.59
20110929,34.42
20110930,34.17
20111001,33.94
20111002,33.69
20111003,33.54
20111004,33.5
20111005,33.24
20111006,33.03
20111007,32.77
20111008,32.52
20111009,32.28
20111010,32.09
20111011,32.09
20111012,32.04
20111013,31.95
20111014,31.86
20111015,31.75
20111016,31.75
20111017,31.8
20111018,31.78
20111019,31.69
20111020,31.53
20111021,31.36
20111022,31.12
20111023,30.92
20111024,30.71
20111025,30.54
20111026,30.48
20111027,30.37
20111028,30.2
20111029,30.03
20111030,29.84
20111031,29.64
20111101,29.39
20111102,29.2
20111103,29.12
20111104,29.25
20111105,29.42
20111106,29.58
20111107,30.09
20111108,30.42
20111109,30.37
20111110,30.23
20111111,29.98
20111112,29.68
20111113,29.46
20111114,29.2
20111115,28.86
20111116,28.55
20111117,28.23
20111118,27.91
20111119,27.58
20111120,27.24
20111121,26.93
20111122,26.59
20111123,26.25
20111124,25.91
20111125,25.55
20111126,25.2
20111127,24.85
20111128,24.5
20111129,23.98
20111130,24.23
20111201,23.72
20111202,23.47
20111203,23.2
20111204,22.92
20111205,22.91
20111206,22.35
20111207,22.17
20111208,21.89
20111209,21.53
20111210,21.14
20111211,20.75
20111212,20.36
20111213,19.96
20111214,19.55
20111215,19.15
20111216,18.73
20111217,18.3
20111218,17.93
