date,inflow,std
20110101,16.1424,0
20110102,16.1424,0
20110103,17.9832,0
20110104,14.32992,0
20110105,14.32992,0
20110106,14.32992,0
20110107,14.32992,0
20110108,14.32992,0
20110109,14.32992,0
20110110,14.32992,0
20110111,12.51744,0
20110112,10.67664,0
20110113,10.67664,0
20110114,8.86416,0
20110115,8.86416,0
20110116,7.08,0
20110117,7.13664,0
20110118,8.97744,0
20110119,8.97744,0
20110120,9.00576,0
20110121,7.13664,0
20110122,7.13664,0
20110123,7.13664,0
20110124,7.13664,0
20110125,7.13664,0
20110126,5.26752,0
20110127,5.26752,0
20110128,6.372,0
20110129,4.19136,0
20110130,4.248,0
20110131,3.54,0
20110201,3.54,0
20110202,3.62496,0
20110203,3.62496,0
20110204,3.93648,0
20110205,3.48336,0
20110206,3.48336,0
20110207,3.48336,0
20110208,3.48336,0
20110209,3.48336,0
20110210,3.48336,0
20110211,3.37008,0
20110212,3.22848,0
20110213,3.22848,0
20110214,3.76656,0
20110215,3.79488,0
20110216,3.90816,0
20110217,3.90816,0
20110218,3.90816,0
20110219,3.2568,0
20110220,2.88864,0
20110221,2.88864,0
20110222,2.86032,0
20110223,2.86032,0
20110224,2.86032,0
20110225,3.22848,0
20110226,9.65712,0
20110227,9.7704,0
20110228,4.8144,0
20110301,3.87984,0
20110302,3.03024,0
20110303,2.88864,0
20110304,2.88864,0
20110305,2.88864,0
20110306,3.59664,0
20110307,3.59664,0
20110308,2.88864,0
20110309,2.77536,0
20110310,2.88864,0
20110311,2.91696,0
20110312,1.9824,0
20110313,2.35056,0
20110314,2.32224,0
20110315,2.32224,0
20110316,2.35056,0
20110317,1.52928,0
20110318,1.50096,0
20110319,1.47264,0
20110320,1.30272,0
20110321,1.72752,0
20110322,1.72752,0
20110323,1.89744,0
20110324,1.33104,0
20110325,1.30272,0
20110326,1.24608,0
20110327,1.24608,0
20110328,1.24608,0
20110329,1.24608,0
20110330,1.21776,0
20110331,1.10448,0
20110401,0.9912,0
20110402,1.95408,0
20110403,1.2744,0
20110404,1.35936,0
20110405,1.10448,0
20110406,1.2744,0
20110407,1.64256,0
20110408,17.92656,0
20110409,6.5136,0
20110410,1.95408,0
20110411,0.2832,0
20110412,1.5576,0
20110413,1.52928,0
20110414,2.06736,0
20110415,2.57712,0
20110416,2.57712,0
20110417,2.5488,0
20110418,3.08688,0
20110419,20.30544,0
20110420,24.61008,0
20110421,44.34912,0
20110422,24.52512,0
20110423,59.6136,0
20110424,145.22496,0
20110425,73.68864,0
20110426,69.97872,0
20110427,23.13744,0
20110428,15.74592,0
20110429,8.80752,0
20110430,5.21088,0
20110501,9.99696,0
20110502,7.27824,0
20110503,4.33296,0
20110504,3.3984,0
20110505,7.84464,0
20110506,5.83392,0
20110507,5.89056,0
20110508,5.06928,0
20110509,4.87104,0
20110510,4.98432,0
20110511,3.62496,0
20110512,3.34176,0
20110513,3.31344,0
20110514,4.1064,0
20110515,3.1152,0
20110516,6.17376,0
20110517,4.16304,0
20110518,3.6816,0
20110519,2.9736,0
20110520,16.22736,0
20110521,5.9472,0
20110522,5.9472,0
20110523,5.9472,0
20110524,5.9472,0
20110525,5.9472,0
20110526,5.9472,0
20110527,5.9472,0
20110528,16.5672,0
20110529,8.75088,0
20110530,3.03024,0
20110531,6.85344,0
20110601,6.9384,0
20110602,3.34176,0
20110603,53.55312,0
20110604,204.0456,0
20110605,175.75392,0
20110606,180.00192,0
20110607,119.34048,0
20110608,85.15824,0
20110609,75.55776,0
20110610,71.6496,0
20110611,60.6048,0
20110612,102.40512,0
20110613,105.97344,0
20110614,118.68912,0
20110615,175.52736,0
20110616,155.84496,0
20110617,106.6248,0
20110618,208.77504,0
20110619,475.54944,0
20110620,484.92336,0
20110621,276.51648,0
20110622,135.7944,0
20110623,78.13488,0
20110624,63.52176,0
20110625,78.13488,0
20110626,129.33744,0
20110627,170.54304,0
20110628,259.128,0
20110629,380.45088,0
20110630,294.27312,0
20110701,161.93376,0
20110702,113.22336,0
20110703,102.03696,0
20110704,83.4024,0
20110705,62.53056,0
20110706,51.9672,0
20110707,55.30896,0
20110708,58.56576,0
20110709,,0
20110710,,0
20110711,,0
20110712,,0
20110713,,0
20110714,,0
20110715,,0
20110716,247.63008,0
20110717,389.34336,0
20110718,625.164,0
20110719,675.12048,0
20110720,598.03344,0
20110721,480.98688,0
20110722,447.05952,0
20110723,439.29984,0
20110724,443.17968,0
20110725,447.05952,0
20110726,499.47984,0
20110727,435.44832,0
20110728,260.06256,0
20110729,149.92608,0
20110730,126.36384,0
20110731,61.3128,0
20110801,65.19264,0
20110802,56.72496,0
20110803,113.28,0
20110804,153.43776,0
20110805,210.67248,0
20110806,334.09104,0
20110807,508.71216,0
20110808,436.58112,0
20110809,372.46464,0
20110810,296.00064,0
20110811,254.7384,0
20110812,199.17456,0
20110813,189.80064,0
20110814,236.52864,0
20110815,198.26832,0
20110816,145.02672,0
20110817,140.41056,0
20110818,72.32928,0
20110819,149.58624,0
20110820,134.26512,0
20110821,100.73424,0
20110822,180.28512,0
20110823,131.20656,0
20110824,128.11968,0
20110825,106.79472,0
20110826,112.26048,0
20110827,118.54752,0
20110828,188.1864,0
20110829,185.9208,0
20110830,212.76816,0
20110831,353.292,0
20110901,573.16848,0
20110902,794.46096,0
20110903,724.76544,0
20110904,758.4096,0
20110905,672.65664,0
20110906,396.48,0
