Date,Soil Moisture
20110101,116
20110102,116
20110103,116
20110104,116
20110105,116
20110106,116
20110107,116
20110108,116
20110109,116
20110110,116
20110111,116
20110112,116
20110113,116
20110114,116
20110115,116
20110116,116
20110117,116
20110118,116
20110119,116
20110120,116
20110121,116
20110122,116
20110123,116
20110124,116
20110125,116
20110126,116
20110127,116
20110128,116
20110129,116
20110130,116
20110131,116
20110201,116
20110202,116
20110203,116
20110204,116
20110205,116
20110206,116
20110207,116
20110208,116
20110209,116
20110210,116
20110211,116
20110212,116
20110213,116
20110214,116
20110215,116
20110216,116
20110217,116
20110218,116
20110219,116
20110220,116
20110221,117
20110222,117
20110223,117
20110224,116
20110225,116
20110226,116
20110227,117
20110228,117
20110301,116
20110302,115
20110303,115
20110304,114
20110305,113
20110306,112
20110307,111
20110308,110
20110309,109
20110310,107
20110311,106
20110312,105
20110313,103
20110314,102
20110315,100
20110316,98.7
20110317,97.1
20110318,95.3
20110319,93.6
20110320,91.6
20110321,91.7
20110322,89.9
20110323,88
20110324,87.2
20110325,85.6
20110326,99.1
20110327,98.8
20110328,98.1
20110329,95.8
20110330,93.6
20110331,91.1
20110401,88.2
20110402,85.5
20110403,95.3
20110404,92
20110405,89.9
20110406,89.4
20110407,86
20110408,83.2
20110409,80
20110410,77.4
20110411,77.7
20110412,76.3
20110413,73
20110414,77.2
20110415,77
20110416,77.4
20110417,77.2
20110418,75
20110419,84.6
20110420,87.5
20110421,94.8
20110422,114
20110423,119
20110424,124
20110425,125
20110426,125
20110427,118
20110428,112
20110429,117
20110430,113
20110501,118
20110502,115
20110503,112
20110504,115
20110505,113
20110506,110
20110507,108
20110508,105
20110509,102
20110510,98.9
20110511,95.3
20110512,95.4
20110513,93
20110514,92.9
20110515,99
20110516,98
20110517,94.5
20110518,99.3
20110519,102
20110520,107
20110521,103
20110522,104
20110523,101
20110524,97.4
20110525,109
20110526,111
20110527,112
20110528,117
20110529,124
20110530,122
20110531,122
20110601,125
20110602,128
20110603,128
20110604,130
20110605,128
20110606,129
20110607,126
20110608,125
20110609,124
20110610,126
20110611,122
20110612,123
20110613,126
20110614,127
20110615,127
20110616,125
20110617,125
20110618,128
20110619,125
20110620,122
20110621,122
20110622,116
20110623,120
20110624,121
20110625,127
20110626,130
20110627,130
20110628,128
20110629,125
20110630,121
20110701,119
20110702,120
20110703,118
20110704,119
20110705,122
20110706,124
20110707,124
20110708,126
20110709,122
20110710,120
20110711,124
20110712,125
20110713,124
20110714,123
20110715,127
20110716,126
20110717,129
20110718,131
20110719,130
20110720,127
20110721,125
20110722,125
20110723,127
20110724,126
20110725,126
20110726,126
20110727,124
20110728,121
20110729,122
20110730,127
20110731,128
20110801,124
20110802,123
20110803,126
20110804,127
20110805,128
20110806,129
20110807,130
20110808,128
20110809,127
20110810,126
20110811,126
20110812,125
20110813,126
20110814,123
20110815,120
20110816,120
20110817,118
20110818,125
20110819,123
20110820,123
20110821,127
20110822,121
20110823,122
20110824,121
20110825,119
20110826,121
20110827,121
20110828,120
20110829,121
20110830,126
20110831,129
20110901,131
20110902,131
20110903,131
20110904,129
20110905,125
20110906,123
20110907,123
20110908,123
20110909,123
20110910,125
20110911,125
20110912,122
20110913,126
20110914,127
20110915,125
20110916,125
20110917,122
20110918,120
20110919,119
20110920,120
20110921,120
20110922,118
20110923,117
20110924,117
20110925,116
20110926,116
20110927,116
20110928,116
20110929,116
20110930,116
20111001,117
20111002,119
20111003,118
20111004,117
20111005,116
20111006,116
20111007,116
20111008,117
20111009,117
20111010,122
20111011,126
20111012,121
20111013,124
20111014,120
20111015,125
20111016,122
20111017,120
20111018,118
20111019,118
20111020,118
20111021,118
20111022,121
20111023,119
20111024,124
20111025,124
20111026,123
20111027,120
20111028,125
20111029,121
20111030,122
20111031,120
20111101,119
20111102,122
20111103,125
20111104,128
20111105,122
20111106,123
20111107,126
20111108,122
20111109,119
20111110,118
20111111,117
20111112,117
20111113,116
20111114,116
20111115,116
20111116,116
20111117,116
20111118,116
20111119,116
20111120,116
20111121,116
20111122,116
20111123,116
20111124,116
20111125,116
20111126,117
20111127,118
20111128,119
20111129,122
20111130,119
20111201,118
20111202,117
20111203,117
20111204,116
20111205,116
20111206,116
20111207,116
20111208,116
20111209,116
20111210,116
20111211,116
20111212,116
20111213,116
20111214,116
20111215,116
20111216,116
20111217,116
20111218,116
20111219,116
20111220,116
20111221,116
20111222,116
20111223,116
20111224,116
20111225,116
20111226,116
20111227,116
20111228,116
20111229,116
20111230,116
20111231,116
20120101,116
20120102,116
20120103,116
20120104,116
20120105,116
20120106,116
20120107,116
20120108,116
20120109,116
20120110,116
20120111,116
20120112,116
20120113,116
20120114,116
20120115,116
20120116,116
20120117,116
20120118,116
20120119,116
20120120,116
20120121,116
20120122,116
20120123,116
20120124,116
20120125,116
20120126,116
20120127,116
20120128,116
20120129,116
20120130,116
20120131,116
20120201,116
20120202,116
20120203,116
20120204,116
20120205,116
20120206,116
20120207,116
20120208,116
20120209,116
20120210,116
20120211,116
20120212,116
20120213,116
20120214,116
20120215,116
20120216,116
20120217,116
20120218,116
20120219,116
20120220,116
20120221,116
20120222,116
20120223,116
20120224,116
20120225,116
20120226,116
20120227,116
20120228,115
20120229,115
20120301,114
20120302,113
20120303,113
20120304,112
20120305,111
20120306,110
20120307,109
20120308,108
20120309,107
20120310,106
20120311,105
20120312,104
20120313,102
20120314,103
20120315,101
20120316,99.1
20120317,98.6
20120318,96.8
20120319,94.9
20120320,93.4
20120321,91.9
20120322,90.1
20120323,88.3
20120324,86.9
20120325,85.3
20120326,83.4
20120327,81.6
20120328,79.6
20120329,79.8
20120330,78.1
20120331,75.8
20120401,73.2
