Date,Evapotranspiration
20110101,0.565
20110102,0
20110103,0
20110104,0
20110105,0
20110106,0
20110107,0
20110108,0
20110109,0
20110110,0
20110111,0
20110112,0
20110113,0
20110114,0
20110115,0
20110116,0
20110117,0
20110118,0
20110119,0
20110120,0
20110121,0
20110122,0
20110123,0
20110124,0
20110125,0
20110126,0
20110127,0
20110128,0
20110129,0
20110130,0
20110131,0
20110201,0
20110202,0
20110203,0
20110204,0
20110205,0
20110206,0
20110207,0
20110208,0
20110209,0
20110210,0
20110211,0
20110212,0
20110213,0
20110214,0
20110215,0
20110216,0
20110217,0
20110218,0
20110219,0
20110220,0
20110221,1.34
20110222,0.00898
20110223,0
20110224,0.145
20110225,2.22
20110226,0.292
20110227,0.392
20110228,0.255
20110301,0.203
20110302,0.255
20110303,0.197
20110304,0.221
20110305,0.34
20110306,0.307
20110307,0.328
20110308,0.25
20110309,0.303
20110310,0.424
20110311,0.508
20110312,0.589
20110313,0.49
20110314,0.545
20110315,0.556
20110316,0.663
20110317,0.685
20110318,0.802
20110319,0.846
20110320,1.13
20110321,0.881
20110322,0.857
20110323,1.17
20110324,0.68
20110325,1.03
20110326,0.939
20110327,0.691
20110328,1.3
20110329,2.03
20110330,1.6
20110331,2.22
20110401,2.16
20110402,2.12
20110403,0.306
20110404,2.6
20110405,2.1
20110406,2.64
20110407,2.97
20110408,2.78
20110409,3.05
20110410,1.1
20110411,0.823
20110412,1.86
20110413,3.36
20110414,1.51
20110415,1.5
20110416,1.04
20110417,0.952
20110418,2.76
20110419,0.53
20110420,0.697
20110421,1.2
20110422,1.07
20110423,0.765
20110424,1.04
20110425,2.35
20110426,1.96
20110427,3.85
20110428,3.94
20110429,1.18
20110430,3.8
20110501,1.03
20110502,0.408
20110503,3.53
20110504,0.844
20110505,2.66
20110506,3.15
20110507,2.96
20110508,3.93
20110509,2.97
20110510,3.51
20110511,4.19
20110512,0.546
20110513,3.12
20110514,0.923
20110515,1.06
20110516,1.39
20110517,1.97
20110518,2.48
20110519,0.869
