date,inflow,std
20110101,57.46128,0
20110102,87.33888,0
20110103,78.61632,0
20110104,65.44752,0
20110105,52.30704,0
20110106,61.05792,0
20110107,52.30704,0
20110108,56.69664,0
20110109,43.52784,0
20110110,39.13824,0
20110111,34.77696,0
20110112,43.3296,0
20110113,43.3296,0
20110114,47.20944,0
20110115,33.53088,0
20110116,46.75632,0
20110117,59.55696,0
20110118,76.29408,0
20110119,62.4456,0
20110120,66.58032,0
20110121,66.46704,0
20110122,62.61552,0
20110123,62.1624,0
20110124,69.5256,0
20110125,48.39888,0
20110126,53.07168,0
20110127,53.07168,0
20110128,60.85968,0
20110129,47.63424,0
20110130,55.45056,0
20110131,64.48464,0
20110201,56.27184,0
20110202,24.69504,0
20110203,14.16,0
20110204,19.90896,0
20110205,16.1424,0
20110206,12.23424,0
20110207,16.1424,0
20110208,10.93152,0
20110209,12.51744,0
20110210,12.51744,0
20110211,8.12784,0
20110212,7.70304,0
20110213,8.60928,0
20110214,11.10144,0
20110215,14.27328,0
20110216,17.58672,0
20110217,9.3456,0
20110218,12.40416,0
20110219,8.3544,0
20110220,9.68544,0
20110221,7.47648,0
20110222,7.75968,0
20110223,14.78304,0
20110224,51.62736,0
20110225,45.22704,0
20110226,52.08048,0
20110227,44.57568,0
20110228,33.61584,0
20110301,17.9832,0
20110302,14.16,0
20110303,14.16,0
20110304,16.0008,0
20110305,16.0008,0
20110306,39.95952,0
20110307,29.48112,0
20110308,26.904,0
20110309,33.72912,0
20110310,33.72912,0
20110311,35.1168,0
20110312,31.7184,0
20110313,28.80144,0
20110314,16.39728,0
20110315,7.3632,0
20110316,7.41984,0
20110317,7.6464,0
20110318,7.19328,0
20110319,29.11296,0
20110320,22.31616,0
20110321,5.8056,0
20110322,18.15312,0
20110323,18.06816,0
20110324,11.52624,0
20110325,25.54464,0
20110326,22.71264,0
20110327,31.83168,0
20110328,28.91472,0
20110329,0,0
20110330,17.7,0
20110331,17.36016,0
20110401,16.62384,0
20110402,17.89824,0
20110403,9.3456,0
20110404,5.49408,0
20110405,5.35248,0
20110406,4.248,0
20110407,4.87104,0
20110408,8.12784,0
20110409,15.49104,0
20110410,17.86992,0
20110411,20.532,0
20110412,23.27904,0
20110413,23.27904,0
20110414,31.46352,0
20110415,34.18224,0
20110416,36.92928,0
20110417,47.88912,0
20110418,53.3832,0
20110419,43.3296,0
20110420,26.70576,0
20110421,33.58752,0
20110422,78.92784,0
20110423,133.13232,0
20110424,101.55552,0
20110425,117.41472,0
20110426,79.35264,0
20110427,52.1088,0
20110428,52.1088,0
20110429,46.64304,0
20110430,43.92432,0
20110501,48.68208,0
20110502,51.4008,0
20110503,59.81184,0
20110504,53.63808,0
20110505,50.49456,0
20110506,43.21632,0
20110507,24.6384,0
20110508,15.68928,0
20110509,8.58096,0
20110510,8.83584,0
20110511,7.53312,0
20110512,8.72256,0
20110513,5.29584,0
20110514,4.41792,0
20110515,12.99888,0
20110516,9.85536,0
20110517,17.8416,0
20110518,16.992,0
20110519,18.03984,0
20110520,84.02544,0
20110521,60.83136,0
20110522,34.43712,0
20110523,28.37664,0
20110524,23.87376,0
20110525,20.02224,0
20110526,34.692,0
20110527,33.58752,0
20110528,56.66832,0
20110529,50.29632,0
20110530,46.35984,0
20110531,31.88832,0
20110601,36.98592,0
20110602,32.93616,0
20110603,29.1696,0
20110604,50.94768,0
20110605,46.78464,0
20110606,46.81296,0
20110607,72.04608,0
20110608,123.73008,0
20110609,114.86592,0
20110610,93.34272,0
20110611,89.0664,0
20110612,88.98144,0
20110613,106.79472,0
20110614,159.46992,0
20110615,156.43968,0
20110616,204.78192,0
20110617,206.19792,0
20110618,188.58288,0
20110619,211.2672,0
20110620,384.444,0
20110621,289.1472,0
20110622,186.99696,0
20110623,116.84832,0
20110624,84.87504,0
20110625,93.8808,0
20110626,115.03584,0
20110627,205.20672,0
20110628,325.19856,0
20110629,381.78192,0
20110630,357.08688,0
20110701,215.26032,0
20110702,154.71216,0
20110703,120.02016,0
20110704,149.33136,0
20110705,158.42208,0
20110706,126.42048,0
20110707,123.70176,0
20110708,155.73168,0
20110709,174.4512,0
20110710,161.1408,0
20110711,147.8304,0
20110712,122.08752,0
20110713,131.09328,0
20110714,122.56896,0
20110715,145.08336,0
20110716,281.52912,0
20110717,427.97184,0
20110718,558.3288,0
20110719,712.92768,0
20110720,749.40384,0
20110721,718.95984,0
20110722,549.91776,0
20110723,454.64928,0
20110724,421.91136,0
20110725,466.51536,0
20110726,593.47392,0
20110727,479.91072,0
20110728,310.9536,0
20110729,279.0936,0
20110730,298.66272,0
20110731,266.71776,0
20110801,243.21216,0
20110802,334.26096,0
20110803,276.20496,0
20110804,504.69072,0
20110805,639.55056,0
20110806,709.21776,0
20110807,900.12288,0
20110808,854.47104,0
20110809,768.06672,0
20110810,522.56064,0
20110811,445.53024,0
20110812,374.73024,0
20110813,326.01984,0
20110814,390.07968,0
20110815,405.74064,0
20110816,430.37904,0
20110817,339.18864,0
20110818,179.09568,0
20110819,156.07152,0
20110820,146.2728,0
20110821,128.09136,0
20110822,201.69504,0
20110823,277.8192,0
20110824,256.91904,0
20110825,282.492,0
20110826,321.51696,0
20110827,299.0592,0
20110828,298.80432,0
20110829,316.58928,0
20110830,280.16976,0
20110831,378.6384,0
20110901,513.49824,0
20110902,663.70752,0
20110903,939.74256,0
20110904,1096.35216,0
20110905,1303.03152,0
20110906,1114.61856,0
20110907,878.42976,0
20110908,641.98608,0
20110909,506.7864,0
20110910,427.09392,0
20110911,399.36864,0
20110912,426.47088,0
20110913,453.79968,0
20110914,392.60016,0
20110915,365.44128,0
20110916,365.07312,0
20110917,436.75104,0
20110918,279.06528,0
20110919,225.34224,0
20110920,225.852,0
20110921,221.3208,0
20110922,175.584,0
20110923,157.884,0
20110924,144.68688,0
20110925,135.70944,0
20110926,126.36384,0
20110927,102.8016,0
20110928,85.69632,0
20110929,63.8616,0
20110930,76.63392,0
20111001,75.55776,0
20111002,164.56752,0
20111003,204.01728,0
20111004,173.00688,0
20111005,133.75536,0
20111006,103.67952,0
20111007,101.30064,0
20111008,98.32704,0
20111009,102.54672,0
20111010,187.22352,0
20111011,216.61968,0
20111012,363.94032,0
20111013,459.46368,0
20111014,348.36432,0
20111015,292.06416,0
20111016,310.6704,0
20111017,288.80736,0
20111018,233.66832,0
20111019,180.28512,0
20111020,157.43088,0
20111021,192.2928,0
20111022,227.38128,0
20111023,179.18064,0
20111024,209.8512,0
20111025,344.20128,0
20111026,372.35136,0
20111027,301.15488,0
20111028,238.65264,0
20111029,184.90128,0
20111030,168.41904,0
20111031,177.39648,0
20111101,181.87104,0
20111102,180.51168,0
20111103,305.74272,0
20111104,576.56688,0
20111105,508.17408,0
20111106,330.23952,0
20111107,247.14864,0
20111108,188.41296,0
20111109,256.63584,0
20111110,242.136,0
20111111,139.0512,0
20111112,129.90384,0
20111113,129.87552,0
20111114,129.87552,0
20111115,130.1304,0
20111116,126.76032,0
20111117,117.8112,0
20111118,117.41472,0
20111119,111.75072,0
20111120,111.75072,0
20111121,94.70208,0
20111122,107.70096,0
20111123,124.15488,0
20111124,110.64624,0
20111125,110.90112,0
20111126,106.96464,0
20111127,132.5376,0
20111128,162.5568,0
20111129,231.17616,0
20111130,196.88064,0
20111201,187.87488,0
20111202,149.69952,0
20111203,145.39488,0
20111204,145.11168,0
20111205,144.54528,0
20111206,139.95744,0
20111207,135.6528,0
20111208,126.78864,0
20111209,135.53952,0
20111210,131.31984,0
20111211,136.84224,0
20111212,136.84224,0
20111213,127.60992,0
20111214,139.87248,0
20111215,144.06384,0
20111216,139.87248,0
20111217,135.42624,0
20111218,127.38336,0
20111219,127.35504,0
20111220,126.93024,0
20111221,114.35616,0
20111222,107.70096,0
20111223,113.59152,0
20111224,140.7504,0
20111225,120.27504,0
20111226,116.42352,0
20111227,114.72432,0
20111228,118.71744,0
20111229,118.0944,0
20111230,109.82496,0
20111231,82.60944,0
20120101,139.44768,0
20120102,,0
20120103,,0
20120104,,0
20120105,,0
20120106,,0
20120107,,0
20120108,,0
20120109,,0
20120110,,0
20120111,,0
20120112,,0
20120113,,0
20120114,,0
20120115,,0
20120116,,0
20120117,,0
