Date,Simulated Inflow
20110101,294.2
20110102,230.9
20110103,225.6
20110104,195.3
20110105,200.7
20110106,213.7
20110107,207
20110108,201.3
20110109,191.2
20110110,191.3
20110111,195.3
20110112,170.3
20110113,179
20110114,170
20110115,168.9
20110116,165.6
20110117,161.2
20110118,157.6
20110119,149.6
20110120,148.1
20110121,145.5
20110122,141.3
20110123,135.8
20110124,134.4
20110125,130.5
20110126,128
20110127,124.7
20110128,119.9
20110129,117.7
20110130,114.4
20110131,111.3
20110201,106.6
20110202,103.6
20110203,100.7
20110204,97.79
20110205,94.82
20110206,92.83
20110207,86.3
20110208,76.2
20110209,73.61
20110210,71.66
20110211,66.04
20110212,78.2
20110213,72.84
20110214,69.41
20110215,69.09
20110216,67.34
20110217,81.44
20110218,86.42
20110219,85.63
20110220,106.2
20110221,104
20110222,101.9
20110223,105.1
20110224,113.5
20110225,115.5
20110226,113.9
20110227,115.2
20110228,114.1
20110301,113.7
20110302,113.1
20110303,109.7
20110304,108.8
20110305,108.3
20110306,107.5
20110307,107.1
20110308,105.3
20110309,105.1
20110310,103.5
20110311,104.8
20110312,105
20110313,101
20110314,100
20110315,84.87
20110316,85.42
20110317,83.72
20110318,86.58
20110319,87.24
20110320,87.52
20110321,86.81
20110322,83.15
20110323,83.81
20110324,107.9
20110325,101
20110326,117.8
20110327,113
20110328,110
20110329,107
20110330,104.5
20110331,104.2
20110401,100.9
20110402,103.2
20110403,107.6
20110404,99.57
20110405,100.1
20110406,103.3
20110407,101.7
20110408,103.5
20110409,102.5
20110410,102
20110411,106.8
20110412,101
20110413,106.1
20110414,106.8
20110415,105.6
20110416,106.1
20110417,78.08
20110418,71.98
20110419,70.3
20110420,80.15
20110421,140.5
20110422,546.8
20110423,425.3
20110424,366.2
20110425,265.6
20110426,292
20110427,216.3
20110428,176.3
20110429,157.8
20110430,130.8
20110501,117.4
20110502,106.6
20110503,96.45
20110504,93.04
20110505,84.69
20110506,82.92
20110507,82.94
20110508,81.14
20110509,82.3
20110510,81.24
20110511,80.48
20110512,82.81
20110513,83.65
20110514,86.2
20110515,86.45
20110516,88.41
20110517,87.49
20110518,343.8
20110519,214.7
20110520,173.9
20110521,143
20110522,124.2
20110523,111.4
20110524,108.8
20110525,106.5
20110526,101.6
20110527,97.78
20110528,86.27
20110529,94.43
20110530,94.01
20110531,121.5
20110601,59.2
20110602,90.17
20110603,249.3
20110604,278.8
20110605,289.7
20110606,280.2
20110607,224
20110608,198.4
20110609,162
20110610,182.2
20110611,142.7
20110612,322.9
20110613,231.3
20110614,262.9
20110615,325.9
20110616,263.8
20110617,431.1
20110618,1301
20110619,707.1
20110620,467.2
20110621,353.1
20110622,276.4
20110623,564.4
20110624,480.6
20110625,668.2
20110626,1099
20110627,1486
20110628,1396
20110629,820
20110630,583
20110701,461.4
20110702,1024
20110703,656.6
20110704,514.2
20110705,471.8
20110706,428.9
20110707,632.6
20110708,463.8
20110709,403.9
20110710,364.4
20110711,357.2
20110712,341.2
20110713,457
20110714,650.1
20110715,1041
20110716,1033
20110717,1535
20110718,1515
20110719,1599
20110720,1495
20110721,1107
20110722,1094
20110723,925.8
20110724,1188
20110725,1307
20110726,1068
20110727,1142
20110728,790.4
20110729,694.5
20110730,639.7
20110731,761.3
20110801,745.2
20110802,692.9
20110803,1219
20110804,1572
20110805,1488
20110806,1994
20110807,1849
20110808,1792
20110809,1599
20110810,1231
20110811,1055
20110812,1021
20110813,1134
20110814,1012
20110815,904.8
20110816,770
20110817,749.6
20110818,865.6
20110819,813.4
20110820,747.5
20110821,929.1
20110822,794.7
20110823,752.9
20110824,739.9
20110825,733.8
20110826,719.5
20110827,925.9
20110828,873.9
20110829,805.5
20110830,976.6
20110831,1021
20110901,1264
20110902,2021
20110903,2111
20110904,2104
20110905,1727
20110906,1510
20110907,1244
20110908,1046
20110909,942.3
20110910,895.2
20110911,871.2
20110912,832
20110913,811.2
20110914,773.8
20110915,811.1
20110916,911.9
20110917,871.1
20110918,788.1
20110919,836.2
20110920,774.6
20110921,729.2
20110922,701.2
20110923,684.9
20110924,674.2
20110925,646.4
20110926,640
20110927,630.3
20110928,623.6
20110929,603.6
20110930,612.5
20111001,613.5
20111002,609.4
20111003,599.3
20111004,536.6
20111005,556.9
20111006,578.9
20111007,574.8
20111008,564.7
20111009,553.5
20111010,560.2
20111011,620.7
20111012,628.8
20111013,715.7
20111014,632.6
20111015,724.6
20111016,651.8
20111017,601.4
20111018,570.1
20111019,551.9
20111020,539.5
20111021,533.8
20111022,516.8
20111023,492.5
20111024,871.3
20111025,720.1
20111026,729.1
20111027,630.9
20111028,729.8
20111029,626.9
20111030,630.5
20111031,578.3
20111101,546.4
20111102,584.4
20111103,622.6
20111104,685.6
20111105,604.1
20111106,571.7
20111107,641.5
20111108,574.9
20111109,540.5
20111110,522.3
20111111,510.3
20111112,499.9
20111113,493.1
20111114,485.2
20111115,481.5
20111116,475.7
20111117,476
20111118,466.7
20111119,461.7
20111120,463.6
20111121,453.5
20111122,435
20111123,432.2
20111124,429.1
20111125,424.9
20111126,423.5
20111127,421.7
20111128,417.4
20111129,621.2
20111130,522.1
20111201,481.9
20111202,457.5
20111203,441.7
20111204,427.7
20111205,419.1
20111206,377.9
20111207,330.3
20111208,353.6
20111209,377.2
20111210,378.2
20111211,371.6
20111212,368.5
20111213,364.5
20111214,360.6
20111215,361.4
20111216,368.7
20111217,365.9
20111218,345.4
20111219,302.8
20111220,267.1
20111221,264.1
20111222,250.7
20111223,252.4
20111224,237.7
20111225,227.9
20111226,220.2
20111227,218.4
20111228,214.3
20111229,209.9
20111230,278.9
20111231,279
20120101,269.8
20120102,144.5
20120103,140.8
20120104,136
20120105,132.8
20120106,130.1
20120107,127.6
20120108,125.2
20120109,121.4
20120110,118.7
20120111,113.9
20120112,108.5
20120113,106.2
20120114,104.1
20120115,101.3
