"Value","Landuse"
0,AGRL
1,AGRL
2,AGRL
3,AGRL
4,AGRL
5,AGRL
6,AGRL
7,AGRL
8,AGRL
9,AGRL
10,AGRL
11,AGRL
12,AGRL
13,AGRL
14,AGRL
15,AGRL
16,AGRL
17,AGRL
18,AGRL
19,AGRL
20,AGRL
21,AGRL
22,AGRL
23,AGRL
24,AGRL
25,AGRL
26,AGRL
27,AGRL
28,AGRL
29,AGRL
30,AGRL
31,FRSD
32,FRSD
33,FRSD
34,FRSD
35,FRSD
36,FRSD
37,FRSD
38,FRSD
39,FRSD
40,FRSD
41,FRSD
42,FRSD
43,FRSD
44,FRSD
45,FRSD
46,FRSD
47,FRSD
48,FRSD
49,FRSD
50,FRSD
51,FRSD
52,FRSD
53,FRSD
54,FRSD
55,FRSD
56,FRSD
57,FRSD
58,FRSD
59,FRSD
60,FRSD
61,FRSE
62,FRSE
63,FRSE
64,FRSE
65,FRSE
66,FRSE
67,FRSE
68,FRSE
69,FRSE
70,FRSE
71,FRSE
72,FRSE
73,FRSE
74,FRSE
75,FRSE
76,FRSE
77,FRSE
78,FRSE
79,FRSE
80,FRSE
81,FRST
82,FRST
83,FRST
84,FRST
85,FRST
86,FRST
87,FRST
88,FRST
89,FRST
90,FRST
91,FRST
92,FRST
93,FRST
94,FRST
95,FRST
96,FRST
97,FRST
98,FRST
99,FRST
100,FRST
101,RNGE
102,RNGE
103,RNGE
104,RNGE
105,RNGE
106,RNGE
107,RNGE
108,RNGE
109,RNGE
110,RNGE
111,RNGE
112,RNGE
113,RNGE
114,RNGE
115,RNGE
116,RNGE
117,RNGE
118,RNGE
119,RNGE
120,RNGE
121,RNGE
122,RNGE
123,RNGE
124,RNGE
125,RNGE
126,RNGE
127,RNGE
128,RNGE
129,RNGE
130,RNGE
131,RNGE
132,RNGE
133,RNGE
134,RNGE
135,RNGE
136,RNGE
137,RNGE
138,RNGE
139,RNGE
140,RNGE
141,RNGE
142,RNGE
143,RNGE
144,RNGE
145,RNGE
146,RNGE
147,RNGE
148,RNGE
149,RNGE
150,RNGE
151,WETL
152,WETL
153,WETL
154,WETL
155,WETL
156,WETL
157,WETL
158,WETL
159,WETL
160,WETL
161,WETL
162,WETL
163,WETL
164,WETL
165,WETL
166,WETL
167,WETL
168,WETL
169,WETL
170,WETL
171,WETL
172,WETL
173,WETL
174,WETL
175,WETL
176,WETL
177,WETL
178,WETL
179,WETL
180,WETL
181,URBN
182,URBN
183,URBN
184,URBN
185,URBN
186,URBN
187,URBN
188,URBN
189,URBN
190,URBN
191,BARR
192,BARR
193,BARR
194,BARR
195,BARR
196,BARR
197,BARR
198,BARR
199,BARR
200,BARR
201,WATR
202,WATR
203,WATR
204,WATR
205,WATR
206,WATR
207,WATR
208,WATR
209,WATR
210,WATR
211,WATR
212,WATR
213,WATR
214,WATR
215,WATR
216,WATR
217,WATR
218,WATR
219,WATR
220,WATR
221,WATR
222,WATR
223,WATR
224,WATR
225,WATR
226,WATR
227,WATR
228,WATR
229,WATR
230,WATR
231,WATR
232,WATR
233,WATR
234,WATR
235,WATR
236,WATR
237,WATR
238,WATR
239,WATR
240,WATR
241,WATR
242,WATR
243,WATR
244,WATR
245,WATR
246,WATR
247,WATR
248,WATR
249,WATR
250,WATR
251,WATR
252,WATR
253,WATR
254,WATR
255,WATR
