,observed data from cwc,,,,simulations from SWAT hydrological model,,,,,,,
date,storage,reservoir level,observed inflow,observed outflow,simulated inflow,simulated outflow,precipitation,simulated evapotranspiration,simulated storage,precipitation,Evapotranspiration,Soil Moisture
 (mm/dd/yyyy),TMC,ft,cumecs,cumecs,cumecs,cumecs,cubic meter,cubic meter,TMC,mm/day,mm/day,mm/day
1/1/2011,46.42,122.59,57.46128,56.64,294.2,349.6,5272,60910,23.35005764,0.103058916,0.565,123
1/2/2011,46.54,122.68,87.33888,42.1968,230.9,215.6,0,113100,23.39243524,0,0,123
1/3/2011,46.64,122.75,78.61632,42.22512,225.6,224,0,138900,23.39243524,0,0,123
1/4/2011,46.69,122.79,65.44752,42.22512,195.3,193.7,0,137800,23.39243524,0,0,123
1/5/2011,46.7,122.8,52.30704,42.22512,200.7,199.2,0,130300,23.39243524,0,0,123
1/6/2011,46.74,122.83,61.05792,42.22512,213.7,212.1,0,134600,23.39243524,0,0,123
1/7/2011,46.76,122.84,52.30704,42.22512,207,205,0,172700,23.39243524,0,0,123
1/8/2011,46.78,122.86,56.69664,42.22512,201.3,199.8,0,129900,23.39243524,0,0,123
1/9/2011,46.77,122.85,43.52784,42.22512,191.2,189.6,0,135100,23.39243524,0,0,123
1/10/2011,46.74,122.83,39.13824,42.22512,191.3,189.7,0,139700,23.39243524,0,0,123
1/11/2011,46.7,122.8,34.77696,42.22512,195.3,193.8,0,126300,23.39243524,0,0,123
1/12/2011,46.45,122.61,43.3296,120.98304,170.3,246.8,0,135800,23.1522955,0,0,123
1/13/2011,46.45,122.61,43.3296,120.98304,179,177.6,0,120100,23.1522955,0,0,123
1/14/2011,46.13,122.37,47.20944,146.78256,170,194.3,0,147900,23.07460324,0,0,123
1/15/2011,45.77,122.1,33.53088,146.24448,168.9,167.2,0,143600,23.07460324,0,0,123
1/16/2011,45.45,121.86,46.75632,145.08336,165.6,163.1,0,127500,23.0781347,0,0,123
1/17/2011,45.17,121.65,59.55696,144.54528,161.2,158.6,0,132700,23.08166617,0,0,123
1/18/2011,44.95,121.48,76.29408,144.12048,157.6,156.2,0,120500,23.08166617,0,0,123
1/19/2011,44.69,121.28,62.4456,143.1576,149.6,147.1,0,126600,23.08166617,0,0,123
1/20/2011,44.44,121.09,66.58032,142.98768,148.1,145.5,0,138400,23.08519764,0,0,123
1/21/2011,44.2,120.9,66.46704,141.99648,145.5,143.8,0,141700,23.08519764,0,0,123
1/22/2011,43.94,120.7,62.61552,141.54336,141.3,141,0,147400,23.08166617,0,0,123
1/23/2011,43.68,120.5,62.1624,141.09024,135.8,141,0,185700,23.06047737,0,0,123
1/24/2011,43.45,120.32,69.5256,140.07072,134.4,140,0,138300,23.03928857,0,0,123
1/25/2011,43.16,120.09,48.39888,139.92912,130.5,139,0,149800,23.00750537,0,0,123
1/26/2011,42.59,119.64,53.07168,138.51312,128,138,0,130100,22.9721907,0,0,123
1/27/2011,42.59,119.64,53.07168,138.51312,124.7,138,0,128500,22.92628164,0,0,123
1/28/2011,42.34,119.44,60.85968,130.78176,119.9,130,0,160200,22.89096697,0,0,123
1/29/2011,42.05,119.21,47.63424,137.18208,117.7,137,0,134300,22.82740057,0,0,123
1/30/2011,41.79,119,55.45056,136.7856,114.4,136,0,137200,22.75677124,0,0,123
1/31/2011,41.56,118.81,64.48464,135.99264,111.3,135,0,141800,22.67907897,0,0,123
2/1/2011,41.3,118.6,56.27184,135.82272,106.6,135,0,163700,22.58726084,0,0,123
2/2/2011,40.98,118.34,24.69504,124.72128,103.6,124,0,152800,22.5166315,0,0,123
2/3/2011,40.66,118.08,14.16,114.1296,100.7,114,0,158100,22.47072244,0,0,123
2/4/2011,40.48,117.93,19.90896,74.73648,97.79,74,0,155200,22.5378203,0,0,123
2/5/2011,40.42,117.88,16.1424,31.06704,94.82,31,0,167500,22.7285195,0,0,123
2/6/2011,40.35,117.82,12.23424,31.06704,92.83,31,0,144300,22.91215577,0,0,123
2/7/2011,40.29,117.77,16.1424,31.06704,86.3,31,0,168500,23.07460324,0,0,123
2/8/2011,40.21,117.7,10.93152,33.72912,76.2,33,0,189700,23.19820457,0,0,123
2/9/2011,40.12,117.63,12.51744,35.28672,73.61,35,0,163000,23.3112115,0,0,123
2/10/2011,40.04,117.56,12.51744,35.28672,71.66,36.72,0,147200,23.41362404,0,0,123
2/11/2011,39.94,117.48,8.12784,34.8336,66.04,63.09,0,168800,23.4171555,0,0,123
2/12/2011,39.85,117.4,7.70304,34.4088,78.2,76.41,0,154900,23.4171555,0,0,123
2/13/2011,39.64,117.23,8.60928,70.6584,72.84,106.9,0,166000,23.30768004,0,0,123
2/14/2011,39.32,116.96,11.10144,112.06224,69.41,112,0,214000,23.16995284,0,0,123
2/15/2011,38.97,116.66,14.27328,124.80624,69.09,124,0,160200,22.99691097,0,0,123
2/16/2011,38.63,116.37,17.58672,124.26816,67.34,124,0,180900,22.81680617,0,0,123
2/17/2011,38.27,116.06,9.3456,123.70176,81.44,123,0,169600,22.68261044,0,0,123
2/18/2011,37.91,115.75,12.40416,124.63632,86.42,124,0,160200,22.56254057,0,0,123
2/19/2011,37.55,115.43,8.3544,123.84336,85.63,123,0,164300,22.4424707,0,0,123
2/20/2011,37.18,115.11,9.68544,125.1744,106.2,125,0,168700,22.3789043,0,0,123
2/21/2011,36.81,114.78,7.47648,124.86288,104,124,45370,77550,22.31886937,0.89495746,1.34,122
2/22/2011,36.44,114.45,7.75968,124.23984,101.9,124,0,141600,22.24470857,0,0.00898,122
2/23/2011,36.09,114.14,14.78304,123.92832,105.1,123,0,142800,22.18467364,0,0,122
2/24/2011,35.86,113.93,51.62736,123.58848,113.5,123,20010,66960,22.1564219,0.421262053,0.145,123
2/25/2011,35.61,113.7,45.22704,123.27696,115.5,123,204800,82360,22.1352331,4.059319139,2.22,123
2/26/2011,35.38,113.49,52.08048,122.96544,113.9,122,0,168100,22.10698137,0,0.292,123
2/27/2011,35.13,113.26,44.57568,122.6256,115.2,122,14960,83570,22.0822611,0.311455804,0.392,122
2/28/2011,34.85,113,33.61584,122.39904,114.1,122,0,151400,22.05400937,0,0.255,122
3/1/2011,34.51,112.69,17.9832,122.17248,113.7,122,0,172300,22.02222617,0,0.203,122
3/2/2011,34.17,112.37,14.16,121.83264,113.1,121,0,145800,21.99397444,0,0.255,122
3/3/2011,33.83,112.05,14.16,121.4928,109.7,121,0,181300,21.95159684,0,0.197,121
