Date,inflow,precipitation,evaporation,sim_inflow
1/1/2011,27.78192,0,181500,68.62
1/2/2011,24.04368,0,134300,67.2
1/3/2011,22.14624,0,164400,65.69
1/4/2011,19.6824,0,172500,64.23
1/5/2011,18.71952,0,160100,62.82
1/6/2011,15.97248,0,157100,61.41
1/7/2011,16.02912,0,210700,59.94
1/8/2011,16.02912,0,143400,58.68
1/9/2011,17.36016,0,161800,57.3
1/10/2011,17.33184,0,164600,55.98
1/11/2011,19.37088,0,153200,54.69
1/12/2011,13.28208,0,166200,53.39
1/13/2011,13.28208,0,127700,52.19
1/14/2011,10.3368,0,181500,50.88
1/15/2011,7.53312,0,177400,49.67
1/16/2011,7.53312,0,147400,48.53
1/17/2011,7.61808,0,159800,47.34
1/18/2011,4.8144,0,151100,46.21
1/19/2011,5.91888,0,147000,45.1
1/20/2011,4.72944,0,167700,43.97
1/21/2011,4.72944,0,156500,42.91
1/22/2011,5.29584,0,176200,41.82
1/23/2011,4.72944,0,226300,40.71
1/24/2011,4.78608,0,169900,39.79
1/25/2011,4.84272,0,176900,38.79
1/26/2011,4.84272,0,153200,37.85
1/27/2011,4.84272,0,147500,36.92
1/28/2011,4.84272,0,196300,35.92
1/29/2011,4.84272,0,167100,35.05
1/30/2011,4.84272,0,168300,34.17
1/31/2011,4.78608,0,169500,33.3
2/1/2011,4.78608,0,201600,32.41
2/2/2011,4.75776,0,187200,31.6
2/3/2011,4.84272,0,175600,30.81
2/4/2011,4.89936,0,186800,30.01
2/5/2011,4.89936,0,196100,29.22
2/6/2011,4.956,0,169400,28.34
2/7/2011,4.956,0,195900,24.22
2/8/2011,5.04096,0,219900,16.4
2/9/2011,5.01264,0,182700,14.87
2/10/2011,5.0976,0,171700,14.18
2/11/2011,6.14544,0,195100,12.66
2/12/2011,4.30464,0,173500,10.63
2/13/2011,4.36128,0,191000,8.718
2/14/2011,4.41792,0,247800,6.446
2/15/2011,4.3896,0,182100,6.341
2/16/2011,4.44624,0,216500,6.306
2/17/2011,3.79488,0,202600,6.423
2/18/2011,3.45504,0,185500,6.1
2/19/2011,4.75776,0,176700,5.975
2/20/2011,4.07808,0,198300,5.195
2/21/2011,3.90816,99200,85250,5.547
2/22/2011,5.0976,0,158900,5.572
2/23/2011,5.26752,0,153400,5.703
2/24/2011,4.3896,0,192800,5.714
2/25/2011,3.54,66380,85560,5.992
2/26/2011,4.30464,0,178300,4.727
2/27/2011,4.27632,0,191300,3.437
2/28/2011,4.248,0,157900,3.663
3/1/2011,4.27632,0,174300,3.695
3/2/2011,4.72944,0,143800,3.882
3/3/2011,3.42672,0,183200,2.621
3/4/2011,3.3984,0,162100,2.828
3/5/2011,3.3984,0,150800,3.001
3/6/2011,3.3984,0,155200,2.741
3/7/2011,3.54,0,151800,2.517
3/8/2011,1.81248,0,177700,2.11
3/9/2011,1.78416,0,167700,2.103
3/10/2011,1.75584,0,172300,2.046
3/11/2011,2.15232,0,124700,2.154
3/12/2011,1.6992,0,128700,2.165
3/13/2011,2.71872,0,149100,2.048
3/14/2011,1.44432,0,154500,1.979
3/15/2011,1.07616,0,147500,1.955
3/16/2011,2.23728,0,147300,1.929
3/17/2011,2.60544,0,135500,1.928
3/18/2011,0.96288,0,131000,1.912
3/19/2011,2.35056,0,135000,1.877
3/20/2011,2.35056,0,118400,1.889
3/21/2011,3.03024,0,137300,1.82
3/22/2011,1.21776,0,162300,1.734
3/23/2011,1.30272,0,119000,1.812
3/24/2011,2.124,25370,70000,1.907
3/25/2011,0.708,77620,40630,1.986
3/26/2011,1.78416,0,134800,1.722
3/27/2011,1.44432,74500,35160,1.975
3/28/2011,1.38768,11670,41440,1.935
3/29/2011,1.38768,0,81950,1.8
3/30/2011,1.35936,0,118100,1.672
3/31/2011,1.30272,0,83740,1.741
4/1/2011,1.30272,0,125500,1.592
4/2/2011,1.21776,0,130500,1.547
4/3/2011,1.18944,0,104900,1.595
4/4/2011,1.01952,0,112900,1.541
4/5/2011,1.01952,0,88410,1.591
4/6/2011,0.5664,0,105000,1.509
4/7/2011,0.50976,0,117400,1.438
4/8/2011,0.48144,0,77640,1.546
4/9/2011,0.4248,0,114300,1.387
4/10/2011,0.39648,144900,25400,1.773
4/11/2011,0.36816,201900,21670,1.9
4/12/2011,0.31152,1979,36830,1.807
4/13/2011,0.31152,0,78900,1.601
4/14/2011,0.9912,3705,28590,1.772
4/15/2011,0.9912,51880,32300,1.754
4/16/2011,2.09568,91430,19130,1.848
4/17/2011,2.80368,113000,18890,1.914
4/18/2011,2.77536,114900,28160,1.928
4/19/2011,1.38768,1574,10860,1.969
4/20/2011,0.90624,200300,18130,8.34
4/21/2011,0.87792,19370,19780,3.819
4/22/2011,0.708,234300,13340,30.2
4/23/2011,0.76464,48370,10860,9.984
4/24/2011,0.708,11070,11890,4.769
4/25/2011,0.65136,0,57820,2.839
4/26/2011,0.62304,12940,20350,2.486
4/27/2011,0.62304,0,61540,2.003
4/28/2011,0.59472,0,56010,1.914
4/29/2011,1.07616,0,52890,1.847
4/30/2011,1.10448,0,47980,1.809
5/1/2011,1.07616,1081,11340,2.007
5/2/2011,1.07616,1044,4648,2.003
5/3/2011,1.04784,0,39610,1.684
5/4/2011,0.87792,0,29580,1.707
5/5/2011,2.06736,0,31650,1.636
5/6/2011,2.18064,0,28540,1.611
5/7/2011,2.32224,0,33180,1.518
5/8/2011,2.32224,0,35930,1.44
5/9/2011,2.20896,0,21500,1.53
5/10/2011,2.124,0,27130,1.425
5/11/2011,1.18944,0,28520,1.36
5/12/2011,1.8408,25370,3785,1.638
5/13/2011,2.03904,0,22620,1.369
5/14/2011,2.2656,56930,6257,1.671
5/15/2011,3.45504,14730,6845,1.652
5/16/2011,3.42672,140400,6869,30.32
5/17/2011,3.34176,0,22250,9.408
5/18/2011,6.40032,132600,9665,79.93
5/19/2011,9.6288,37070,4803,22.05
5/20/2011,11.6112,10250,11420,8.552
5/21/2011,13.5936,0,15420,4.3
5/22/2011,15.60432,0,14540,2.918
5/23/2011,17.58672,0,11690,2.454
5/24/2011,17.89824,67840,5910,63.3
5/25/2011,18.80448,298.8,4123,17.41
5/26/2011,19.73904,6468,2324,7.13
5/27/2011,20.6736,10160,1371,4.035
5/28/2011,21.72144,3402,128.5,3.048
5/29/2011,22.3728,757,1187,2.606
5/30/2011,24.32688,403.7,538.7,2.44
5/31/2011,35.51328,4503,735.2,9.296
6/1/2011,46.21824,0,0,4.129
6/2/2011,58.764,0,0,2.853
6/3/2011,59.8968,0,0,27.73
6/4/2011,55.3656,0,0,9.126
6/5/2011,47.97408,0,0,4.969
6/6/2011,58.3392,0,0,3.286
6/7/2011,90.45408,0,0,2.648
6/8/2011,80.712,0,0,2.498
6/9/2011,87.59376,0,0,2.405
6/10/2011,120.33168,0,0,7.759
6/11/2011,123.41856,0,0,5.92
6/12/2011,162.89664,0,0,7.73
6/13/2011,274.76064,205.7,17.27,5.549
6/14/2011,203.50752,121.4,63.15,3.423
6/15/2011,149.78448,223.6,37.55,19.14
6/16/2011,160.80096,1563,149.2,21.1
6/17/2011,140.55216,1620,460.5,7.992
6/18/2011,152.84304,3839,794.9,31.71
6/19/2011,136.55904,784.8,83.15,10.58
6/20/2011,84.56352,76.05,321.2,7.246
6/21/2011,75.21792,0,511.4,6.802
6/22/2011,42.1968,0,0,7.485
6/23/2011,37.04256,0,0,8.755
6/24/2011,69.1008,0,0,9.463
6/25/2011,69.07248,0,0,10.43
6/26/2011,58.50912,0,0,21.52
6/27/2011,111.97728,1310,53.8,80.18
6/28/2011,209.05824,4635,879.6,33.41
6/29/2011,149.92608,690.6,12.26,21.58
6/30/2011,105.09552,283.3,765.2,19.2
7/1/2011,73.7736,212.1,2023,19.23
7/2/2011,86.74416,66380,1475,934.5
7/3/2011,105.18048,6954,13620,179.3
7/4/2011,66.60864,2996,9085,69.97
7/5/2011,86.91408,13600,1236,39.98
7/6/2011,91.41696,12860,12690,31.52
7/7/2011,79.49424,79680,23430,39.03
7/8/2011,86.91408,7817,17740,32.47
7/9/2011,55.45056,14780,6804,31.91
7/10/2011,20.41872,3469,3632,32.44
7/11/2011,79.52256,14110,13660,33.16
7/12/2011,81.39168,20340,8123,34.02
7/13/2011,42.56496,48700,13080,34.94
7/14/2011,50.09808,110300,15740,57.35
7/15/2011,100.90416,133200,5586,82.01
7/16/2011,161.90544,126700,35210,82.23
7/17/2011,260.94048,833300,29540,1162
7/18/2011,526.69536,361500,18220,379.3
7/19/2011,493.50432,292500,37380,201
7/20/2011,560.67936,134800,36020,91.25
7/21/2011,560.67936,165000,33950,71.78
7/22/2011,351.7344,61650,44660,58.41
7/23/2011,269.49312,119100,44450,57.09
7/24/2011,347.0616,120000,51460,57.89
7/25/2011,361.02336,92020,25140,58.67
7/26/2011,196.93728,143100,26180,62.64
7/27/2011,230.86464,425100,39070,168.9
7/28/2011,83.8272,36000,47230,84.44
7/29/2011,91.81344,53320,20210,71.62
7/30/2011,65.16432,382800,23090,139
7/31/2011,187.42176,436600,41530,183.5
8/1/2011,107.58768,30150,52320,94.32
8/2/2011,144.88512,324200,61720,118.1
8/3/2011,157.82736,402300,47610,153.2
8/4/2011,344.48448,550900,39920,229.7
8/5/2011,355.416,212200,41470,118
8/6/2011,275.07216,481100,54770,186.7
8/7/2011,818.13648,257000,59070,121.2
8/8/2011,327.29424,218700,73280,103.4
8/9/2011,235.56576,78840,29830,92.72
8/10/2011,213.816,119100,48910,91.09
8/11/2011,197.70192,37030,46230,91.53
8/12/2011,224.09616,99760,4501,92.64
8/13/2011,320.12928,193300,59680,97.43
8/14/2011,191.89632,9609,29670,95.78
8/15/2011,171.73248,22010,23740,96
8/16/2011,148.9632,6194,73340,96.34
8/17/2011,109.5984,15220,67270,96.78
8/18/2011,100.87584,62510,22630,97.22
8/19/2011,95.41008,105600,46750,97.45
8/20/2011,106.53984,26110,20680,97.61
8/21/2011,136.9272,355500,1754,150.9
8/22/2011,188.55456,11480,32040,108.9
8/23/2011,101.78208,28450,11230,101.5
8/24/2011,94.13568,16880,15410,99.15
8/25/2011,83.9688,47230,36020,98.24
8/26/2011,88.04688,38270,20190,97.76
8/27/2011,91.07712,295300,51440,135.3
8/28/2011,149.89776,82500,36520,105.4
8/29/2011,164.45424,178000,33750,107.2
8/30/2011,235.14096,162200,15080,105.8
8/31/2011,282.9168,149300,5608,104.5
9/1/2011,268.332,299000,42480,156.2
9/2/2011,371.81328,628600,38230,379.6
9/3/2011,488.18016,329700,29110,216.4
9/4/2011,494.184,272500,32030,165.5
9/5/2011,513.04512,94080,44870,117.5
9/6/2011,394.15776,24510,32870,107.1
9/7/2011,335.47872,26590,25510,104.2
9/8/2011,282.66192,24550,10330,103.6
9/9/2011,251.39664,42600,6080,103.5
9/10/2011,230.18496,12980,26590,103.4
9/11/2011,205.0368,43800,35610,103.3
9/12/2011,171.6192,15150,40430,103.1
9/13/2011,165.13392,87380,37150,104.5
9/14/2011,173.79984,47290,21700,103.2
9/15/2011,158.592,61430,23250,102.6
9/16/2011,157.94064,101600,32640,109.2
9/17/2011,174.56448,20730,2406,103.7
9/18/2011,138.17328,14530,8670,102.1
9/19/2011,135.00144,26840,27670,101.1
9/20/2011,128.82768,47970,22880,100.4
9/21/2011,112.96848,3985,25140,99.71
9/22/2011,106.6248,3855,18960,98.96
9/23/2011,95.41008,2487,29830,98.03
9/24/2011,81.39168,0,41900,97.02
9/25/2011,70.46016,0,44900,96
9/26/2011,68.64768,0,44930,94.93
9/27/2011,62.24736,0,42180,93.83
9/28/2011,62.21904,0,47850,92.62
9/29/2011,82.72272,0,32120,91.52
9/30/2011,68.27952,0,44260,90.17
10/1/2011,74.17008,61010,992,94.67
10/2/2011,67.71312,177200,11300,260.9
10/3/2011,97.87392,79760,11400,140.6
10/4/2011,83.03424,0,46120,101.4
10/5/2011,34.5504,0,40250,91.39
10/6/2011,82.92096,0,38180,87.83
10/7/2011,65.44752,0,35530,86.19
10/8/2011,63.8616,0,36780,85.08
10/9/2011,60.4632,81830,13470,110.4
10/10/2011,74.96304,45280,12820,92.58
10/11/2011,135.56784,153800,13260,254.3
10/12/2011,125.316,131400,10850,220.1
10/13/2011,114.8376,35400,11990,113.8
10/14/2011,114.80928,20050,9800,93.51
10/15/2011,109.032,355800,8677,677.7
10/16/2011,144.5736,262000,9409,397.1
10/17/2011,161.9904,21840,26780,154.5
10/18/2011,136.55904,4397,21030,108.3
10/19/2011,117.44304,0,49770,94.69
10/20/2011,94.4472,0,51010,90.7
10/21/2011,91.0488,2739,10840,89.78
10/22/2011,65.9856,3994,17730,89.38
10/23/2011,63.8616,0,44100,89.02
10/24/2011,65.2776,87410,17650,95.47
10/25/2011,70.29024,100700,16610,105.4
10/26/2011,126.732,213000,12180,221.3
10/27/2011,106.87968,23210,16990,115.4
10/28/2011,90.0576,166600,24550,165.1
10/29/2011,90.87888,81230,26370,113.3
10/30/2011,82.52448,82450,16100,105
10/31/2011,82.6944,47190,14750,96.07
11/1/2011,60.71808,21750,4717,93.96
11/2/2011,78.84288,86960,15290,104.5
11/3/2011,111.75072,82800,15080,106.9
11/4/2011,188.1864,297600,2767,391.1
11/5/2011,191.868,248100,10610,325.7
11/6/2011,197.1072,97170,20000,156.9
11/7/2011,314.32368,181300,26410,183.5
11/8/2011,254.42688,0,40840,118.2
11/9/2011,126.22224,0,51930,106.3
11/10/2011,95.52336,0,47150,103.2
11/11/2011,64.08816,0,47820,102.6
11/12/2011,47.32272,0,45170,102.6
11/13/2011,73.40544,0,45540,102.7
11/14/2011,60.06672,0,40770,102.7
11/15/2011,31.40688,0,46750,102.5
11/16/2011,44.8872,0,44040,102.3
11/17/2011,42.22512,0,40560,101.9
11/18/2011,39.648,0,32820,101.4
11/19/2011,37.43904,0,41630,100.8
11/20/2011,38.26032,0,39150,100.1
11/21/2011,37.92048,0,32800,99.34
11/22/2011,35.48496,0,37440,98.42
11/23/2011,34.60704,0,31610,97.51
11/24/2011,32.17152,0,30920,96.5
11/25/2011,29.70768,0,33750,95.39
11/26/2011,29.67936,7709,7482,94.48
11/27/2011,30.69888,3711,13160,93.25
11/28/2011,30.61392,13360,7966,92.1
11/29/2011,63.49344,137300,7910,189.9
11/30/2011,58.764,0,29400,109.4
12/1/2011,61.4544,0,21740,95.1
12/2/2011,60.7464,0,24190,90.17
12/3/2011,58.42416,0,22990,87.92
12/4/2011,54.43104,0,24430,86.43
12/5/2011,29.76432,0,20480,85.21
12/6/2011,29.84928,0,21590,83.98
12/7/2011,23.25072,0,21690,82.77
12/8/2011,21.01344,0,16920,81.6
12/9/2011,20.98512,0,17310,80.35
12/10/2011,19.76736,0,17630,79.06
12/11/2011,18.29472,0,15510,77.8
12/12/2011,18.2664,0,13640,76.51
12/13/2011,16.25568,0,11200,75.23
12/14/2011,15.06624,0,9074,73.93
12/15/2011,14.5848,0,9656,72.56
12/16/2011,7.47648,0,7047,71.26
12/17/2011,6.62688,0,4751,69.96
12/18/2011,8.52432,0,2457,68.68
12/19/2011,7.788,0,1072,67.33
12/20/2011,6.91008,0,0,66.03
12/21/2011,6.6552,0,0,64.7
12/22/2011,35.48496,0,0,63.44
12/23/2011,4.72944,0,0,62.08
12/24/2011,3.59664,0,0,60.82
12/25/2011,4.21968,0,0,59.61
12/26/2011,4.16304,0,0,58.37
12/27/2011,3.3984,0,0,57.08
12/28/2011,3.6816,0,0,55.91
12/29/2011,3.62496,0,0,54.69
12/30/2011,1.92576,0,0,53.46
12/31/2011,1.8408,0,1261,52.32
1/1/2012,3.14352,0,2193,51.16
1/2/2012,,0,0,49.97
1/3/2012,,0,1688,48.87
1/4/2012,,0,3034,47.76
1/5/2012,,0,4837,46.64
1/6/2012,,0,5975,45.57
1/7/2012,,0,6484,44.54
1/8/2012,,0,7500,43.51
1/9/2012,,0,9330,42.46
1/10/2012,,0,10670,41.45
1/11/2012,,0,12730,40.45
1/12/2012,,0,13670,39.49
1/13/2012,,0,14050,38.55
1/14/2012,,0,13450,37.65
1/15/2012,,0,16370,36.71
1/16/2012,,0,17520,35.81
1/17/2012,,0,16100,34.97
1/18/2012,,0,20170,34.07
1/19/2012,,0,19940,33.25
1/20/2012,,0,19890,32.44
1/21/2012,,0,18270,31.66
1/22/2012,,0,21530,30.85
1/23/2012,,0,20150,29.86
1/24/2012,,0,22730,28.72
1/25/2012,,0,26050,19.8
1/26/2012,,0,21140,17.78
1/27/2012,,0,23780,15.57
1/28/2012,,0,22110,14.46
1/29/2012,,0,23260,13.06
1/30/2012,,0,21940,10.49
1/31/2012,,0,20830,9.876
2/1/2012,,0,26360,8.334
2/2/2012,,0,30990,7.172
2/3/2012,,0,33040,6.59
2/4/2012,,0,32710,6.361
2/5/2012,,0,31650,6.245
2/6/2012,,0,25860,6.463
2/7/2012,,0,26900,6.595
2/8/2012,,0,30330,5.837
2/9/2012,,0,27510,5.833
2/10/2012,,0,25540,5.877
2/11/2012,,0,30950,4.887
2/12/2012,,0,34610,4.149
2/13/2012,,0,31660,4.344
2/14/2012,,0,27430,4.545
2/15/2012,,0,31080,4.192
2/16/2012,,0,28780,4.131
2/17/2012,,0,27050,4.178
2/18/2012,,0,29490,3.651
2/19/2012,,0,29300,3.492
2/20/2012,,0,27350,3.583
2/21/2012,,0,25390,3.681
2/22/2012,,0,36820,2.18
2/23/2012,,0,31360,2.272
2/24/2012,,0,30830,2.356
2/25/2012,,0,29120,2.521
2/26/2012,,0,32770,2.175
2/27/2012,,0,32730,2.047
2/28/2012,,0,28080,2.116
2/29/2012,,0,40210,1.901
3/1/2012,,0,31890,1.957
3/2/2012,,0,32470,1.93
3/3/2012,,0,27220,1.958
3/4/2012,,0,33510,1.878
3/5/2012,,0,32350,1.866
3/6/2012,,0,28430,1.868
3/7/2012,,0,27970,1.835
3/8/2012,,0,24320,1.832
3/9/2012,,0,27330,1.737
3/10/2012,,0,19420,1.819
3/11/2012,,0,22280,1.763
3/12/2012,,0,28070,1.67
3/13/2012,,0,23570,1.708
3/14/2012,,8529,12860,1.831
3/15/2012,,0,27800,1.621
3/16/2012,,0,26250,1.622
3/17/2012,,0,18900,1.648
3/18/2012,,0,19150,1.548
3/19/2012,,0,10420,1.622
3/20/2012,,0,8383,1.522
3/21/2012,,0,2170,1.601
3/22/2012,,0,0,1.543
3/23/2012,,0,0,1.508
3/24/2012,,0,0,1.538
3/25/2012,,0,0,1.493
3/26/2012,,0,0,1.473
3/27/2012,,0,0,1.411
3/28/2012,,0,0,1.391
3/29/2012,,0,0,1.417
3/30/2012,,0,0,1.416
3/31/2012,,0,0,1.382
4/1/2012,,0,0,1.305
4/2/2012,,0,0,1.401
4/3/2012,,0,0,1.314
4/4/2012,,0,0,1.316
4/5/2012,,0,0,1.191
4/6/2012,,0,0,1.337
4/7/2012,,0,0,1.24
4/8/2012,,0,0,1.123
4/9/2012,,0,0,1.204
4/10/2012,,0,0,1.24
4/11/2012,,0,0,1.149
4/12/2012,,0,0,1.156
4/13/2012,,0,0,1.17
4/14/2012,,0,0,1.161
4/15/2012,,0,0,1.062
4/16/2012,,0,0,1.119
4/17/2012,,0,0,1.34
4/18/2012,,0,0,1.06
4/19/2012,,0,0,1.439
4/20/2012,,0,0,1.152
4/21/2012,,0,0,1.426
4/22/2012,,0,0,1.26
4/23/2012,,0,0,1.145
4/24/2012,,0,0,1.278
4/25/2012,,0,0,1.359
4/26/2012,,0,0,1.471
4/27/2012,,0,0,1.492
4/28/2012,,0,0,2.837
4/29/2012,,0,0,1.97
4/30/2012,,0,0,1.574
5/1/2012,,0,0,1.712
5/2/2012,,0,0,1.473
5/3/2012,,0,0,1.418
5/4/2012,,0,0,1.399
5/5/2012,,0,0,1.343
5/6/2012,,0,0,1.321
5/7/2012,,0,0,1.293
5/8/2012,,0,0,1.229
5/9/2012,,0,0,1.573
5/10/2012,,0,0,1.332
5/11/2012,,0,0,1.354
5/12/2012,,0,0,34.17
5/13/2012,,0,0,9.914
5/14/2012,,0,0,4.146
5/15/2012,,0,0,2.44
5/16/2012,,0,0,1.942
5/17/2012,,0,0,1.783
5/18/2012,,0,0,1.479
5/19/2012,,0,0,1.44
5/20/2012,,0,0,1.421
5/21/2012,,0,0,1.384
5/22/2012,,0,0,1.32
5/23/2012,,0,0,1.206
5/24/2012,,0,0,1.241
5/25/2012,,0,0,1.172
5/26/2012,,0,0,1.173
5/27/2012,,0,0,1.088
5/28/2012,,0,0,0.9545
5/29/2012,,0,0,1.034
5/30/2012,,0,0,1.221
5/31/2012,,0,0,0.9284
5/31/2012,0.62304,0,0,0.9393
6/1/2012,0.65136,0,0,1.205
6/2/2012,0.67968,0,0,1.231
6/3/2012,0.67968,0,0,1.285
6/4/2012,0.67968,0,0,2.03
6/5/2012,0.67968,0,0,80.53
6/6/2012,0.708,0,0,124
6/7/2012,1.24608,2173,382.2,30.62
6/8/2012,1.24608,0,0,11.29
6/9/2012,2.35056,0,0,5.532
6/10/2012,4.1064,0,0,3.667
6/11/2012,7.05168,0,0,22.47
6/12/2012,5.89056,0,0,9.655
6/13/2012,6.48528,0,0,82.01
