Date,inflow,precipitation,evaporation,sim_inflow
1/1/2011,16.1424,0,168900,39.44
1/2/2011,16.1424,0,126200,38.71
1/3/2011,17.9832,0,154600,37.79
1/4/2011,14.32992,0,156000,36.95
1/5/2011,14.32992,0,147200,36.15
1/6/2011,14.32992,0,148300,35.34
1/7/2011,14.32992,0,194100,34.41
1/8/2011,14.32992,0,139900,33.78
1/9/2011,14.32992,0,150100,32.98
1/10/2011,14.32992,0,153900,32.21
1/11/2011,12.51744,0,140800,31.49
1/12/2011,10.67664,0,152700,30.73
1/13/2011,10.67664,0,129800,30.07
1/14/2011,8.86416,0,168100,29.25
1/15/2011,8.86416,0,163600,28.56
1/16/2011,7.08,0,141200,27.94
1/17/2011,7.13664,0,148900,27.25
1/18/2011,8.97744,0,137100,26.62
1/19/2011,8.97744,0,140300,25.97
1/20/2011,9.00576,0,155400,25.29
1/21/2011,7.13664,0,153800,24.68
1/22/2011,7.13664,0,165100,24.04
1/23/2011,7.13664,0,209500,23.32
1/24/2011,7.13664,0,156100,22.88
1/25/2011,7.13664,0,166700,22.28
1/26/2011,5.26752,0,144600,21.51
1/27/2011,5.26752,0,141400,20.81
1/28/2011,6.372,0,182500,18.78
1/29/2011,4.19136,0,153600,17.82
1/30/2011,4.248,0,156100,17.18
1/31/2011,3.54,0,159600,16.47
2/1/2011,3.54,0,183400,15.61
2/2/2011,3.62496,0,170700,15.08
2/3/2011,3.62496,0,170900,12.72
2/4/2011,3.93648,0,172100,10.29
2/5/2011,3.48336,0,184900,9.548
2/6/2011,3.48336,0,158200,8.356
2/7/2011,3.48336,0,184100,6.016
2/8/2011,3.48336,0,206800,4.282
2/9/2011,3.48336,0,174700,4.488
2/10/2011,3.48336,0,159900,4.631
2/11/2011,3.37008,0,182500,4.337
2/12/2011,3.22848,0,164800,4.23
2/13/2011,3.22848,0,178500,3.798
2/14/2011,3.76656,0,230900,2.683
2/15/2011,3.79488,0,172400,2.982
2/16/2011,3.90816,0,198800,3.029
2/17/2011,3.90816,0,186500,3.172
2/18/2011,3.90816,0,174000,3.156
2/19/2011,3.2568,0,174800,2.869
2/20/2011,2.88864,0,186000,2.469
2/21/2011,2.88864,5126,84770,2.865
2/22/2011,2.86032,0,154800,2.763
2/23/2011,2.86032,0,154700,2.849
2/24/2011,2.86032,96800,73460,3.267
2/25/2011,3.22848,66120,90010,3.306
2/26/2011,9.65712,0,182200,3.098
2/27/2011,9.7704,40350,90950,3.406
2/28/2011,4.8144,0,164100,3.075
3/1/2011,3.87984,0,183200,1.804
3/2/2011,3.03024,0,152000,1.842
3/3/2011,2.88864,0,191700,1.364
3/4/2011,2.88864,0,170100,1.431
3/5/2011,2.88864,0,167400,1.376
3/6/2011,3.59664,0,170900,1.239
3/7/2011,3.59664,0,169800,1.174
3/8/2011,2.88864,0,189500,1.014
3/9/2011,2.77536,0,182800,1.012
3/10/2011,2.88864,0,197700,0.9449
3/11/2011,2.91696,0,139700,1.103
3/12/2011,1.9824,0,148900,1.056
3/13/2011,2.35056,0,172500,0.961
3/14/2011,2.32224,0,182600,0.9095
3/15/2011,2.32224,0,174300,0.9162
3/16/2011,2.35056,0,177700,0.8863
3/17/2011,1.52928,0,161400,0.9196
3/18/2011,1.50096,0,159600,0.9066
3/19/2011,1.47264,0,164200,0.8733
3/20/2011,1.30272,0,148400,0.9069
3/21/2011,1.72752,52830,57100,1.198
3/22/2011,1.72752,0,195400,0.7233
3/23/2011,1.89744,0,148800,0.8605
3/24/2011,1.33104,8653,92320,1.033
3/25/2011,1.30272,0,146000,0.8368
3/26/2011,1.24608,712900,71310,31.97
3/27/2011,1.24608,8638,47280,6.256
3/28/2011,1.24608,34570,58030,2.531
3/29/2011,1.24608,0,118100,1.582
3/30/2011,1.21776,0,167700,1.206
3/31/2011,1.10448,0,127500,1.25
4/1/2011,0.9912,0,177100,1.024
4/2/2011,1.95408,0,179800,0.9662
4/3/2011,1.2744,463700,27660,8.337
4/4/2011,1.35936,0,170800,2.14
4/5/2011,1.10448,0,125600,1.521
4/6/2011,1.2744,4240,41990,1.632
4/7/2011,1.64256,0,183900,1.065
4/8/2011,17.92656,0,130700,1.187
4/9/2011,6.5136,0,181500,0.9549
4/10/2011,1.95408,0,154200,0.9986
4/11/2011,0.2832,32880,32880,1.38
4/12/2011,1.5576,12310,66710,1.221
4/13/2011,1.52928,0,151100,0.8792
4/14/2011,2.06736,198300,54870,1.362
4/15/2011,2.57712,64360,63430,1.35
4/16/2011,2.57712,55960,36340,1.418
4/17/2011,2.5488,7944,35410,1.372
4/18/2011,3.08688,0,138000,0.9472
4/19/2011,20.30544,399900,17090,3.878
4/20/2011,24.61008,136500,36260,2.027
4/21/2011,44.34912,344900,41220,4.791
4/22/2011,24.52512,1238000,24130,197.8
4/23/2011,59.6136,377800,19010,55.01
