time,sub1,sub2,sub3,sub4,sub5,sub6,sub7,sub8,sub9,sub10,sub11,sub12,sub13,sub14,sub15
01-01-1951,0,0,0,0,0.046659445,0,0.033627634,0,0,0.683149502,0,0,0.028373289,0,0
02-01-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-01-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-01-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-01-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-01-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07-01-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08-01-1951,0,0,0,0,0,0,0,0,0,0.228225634,0,0,2.052715103,0,0
09-01-1951,0,0,0,0,0,0,0.018812997,0,0,0.628497526,0,0,3.294067747,0,2.123252715
10-01-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-01-1951,0,0,0,0,0,0,0,0,0,3.985943779,0,0,0,0,0
12-01-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-01-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-01-1951,0,0,0,0,0,0,0,0,0,2.479575872,0,0,0,0.087305052,0
15-01-1951,0,0,0,0,0,0,0.050505613,0,0,0,0,0,0.144610599,0,0.767591833
16-01-1951,0,0,0.207865551,0,2.465294917,0,1.054498315,2.073147535,0.248306765,8.974270195,10.99060053,1.168022662,0.067898164,0.595265763,4.682961399
17-01-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18-01-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19-01-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-01-1951,0,0,0,0,0,0,0,0,0,0,0,0,0.710147937,0,0
21-01-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-01-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-01-1951,0,0,0,0,0,0,0,0,0,0,0,0,0.017097109,0,0
24-01-1951,0,0,0,0,0,0,0,0,0,0,0,0,0.144528769,0,0
25-01-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-01-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-01-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-01-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-01-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-01-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-02-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-02-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-02-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-02-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-02-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-02-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07-02-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08-02-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-02-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050114768
10-02-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-02-1951,0,0,0,0,0,0,0,0,0,2.059391975,0,0,0,0.125666005,0.062643463
12-02-1951,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.243626436
13-02-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-02-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-02-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-02-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17-02-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18-02-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19-02-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-02-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-02-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-02-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-02-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24-02-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-02-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-02-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-02-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-02-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-03-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-03-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-03-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-03-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-03-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-03-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07-03-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08-03-1951,0,0,0,0,0,0,0,0,0,1.80983381,0,0,0,0,1.452037255
09-03-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031321732
10-03-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-03-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-03-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-03-1951,0,0,0.744715154,0,0,0,0,0,0,0,0,0,0,0,0
14-03-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.413446841
15-03-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.214405855
16-03-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17-03-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18-03-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19-03-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-03-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-03-1951,0,0,0.02452874,0,0,0,0,0.112309568,0,0,0,0,0,0,0
22-03-1951,0,0,0,0,0,0,0,0,0,1.09882772,0,0,0,0,0.636276388
23-03-1951,0,0,0,0,0,0,0,0,0.2674053,0.39675349,4.901760101,3.240700006,1.363089999,4.676707119,5.926056737
24-03-1951,0.243568487,0,0,0,0,0,0,0,0,0,0,6.012055397,0,2.954857486,2.540342924
25-03-1951,1.166172601,6.621702671,7.298102297,0,0,0,0,1.707960069,0.701971747,0,0,0,0,0,2.924574316
26-03-1951,0,2.934113026,0.854023159,0,0,0,2.006261826,0,0,26.07356787,0,0,0,0.357726582,6.127741589
27-03-1951,0,5.877563477,0.750244059,1.164201474,2.646149715,0,0.130294365,8.204213083,0.376423884,1.2962019,0,0,0.831670245,0,3.571505229
28-03-1951,1.046639293,0.282839745,6.655028606,4.19261466,0,0,0.02448305,5.237294137,1.190002505,0,0,0,1.162059225,0,0.037027083
29-03-1951,5.654013962,1.993784308,2.862091724,0,1.353518565,0,0.562780807,11.95919514,0.024037077,0.061418425,0,0,0,0,1.954020858
30-03-1951,1.131728888,0.201034293,0.038555708,1.235902406,1.859738211,0,4.879757563,1.05731678,7.967071624,0.582254842,4.379441261,0,0,0.058616587,0.07968543
