Date Time,Observed,Single-site,Sequential at 22 sites,Simultaneous at 22 sites,Streamflow + Evapotranspiration,Streamflow + Evapotranspiration + Soil Moisture
1-Jan-00,658.156128,433.600006,676.799988,656.099976,890.599976,925.599976
1-Feb-00,568.432922,413.299988,603.5,595.5,567,630.799988
1-Mar-00,344.725494,399.100006,514.299988,507.899994,430.299988,532.900024
1-Apr-00,338.685669,449,543.900024,535.900024,479.5,491.600006
1-May-00,201.854843,203.600006,414.600006,285.5,291.899994,497
1-Jun-00,573.740356,246.699997,599.599976,558.700012,789.400024,538.200012
1-Jul-00,1785.785767,1413,1414,1288,4377,1092
1-Aug-00,2054.996094,1640,1689,1625,3358,2082
1-Sep-00,2204.850586,2107,1826,1435,2709,2781
1-Oct-00,410.950012,414,742.5,541.400024,813.299988,2472
1-Nov-00,257.22699,141.699997,307.299988,259.100006,620.799988,1515
1-Dec-00,221.749039,78.650002,185,140,509.799988,702.799988
1-Jan-01,261.23291,148.699997,227.300003,203.699997,289.100006,331.200012
1-Feb-01,213.514282,160.399994,236.300003,219.199997,189.100006,239.5
1-Mar-01,222.87645,173.800003,247.699997,233.5,194.399994,217.5
1-Apr-01,222.95433,179.399994,242.399994,233,199.100006,231.800003
1-May-01,255.026459,182.199997,290.100006,292.399994,202.399994,254.300003
1-Jun-01,2394.37793,1724,1666,1438,6348,1009
1-Jul-01,18846.32227,18940,15450,14350,20250,11950
1-Aug-01,8809.844727,11350,7229,6670,7098,10920
1-Sep-01,2735.408936,4086,3394,2575,3691,8038
1-Oct-01,1806.00415,1716,2327,1817,2779,4030
1-Nov-01,883.396973,484.700012,1213,992.200012,1856,2340
1-Dec-01,673.466125,355.100006,839.5,728.5,1422,1338
1-Jan-02,529.370667,402.700012,699.400024,693.700012,1064,733.799988
1-Feb-02,454.521057,356.399994,570,587.900024,523.700012,564.299988
1-Mar-02,269.495148,252.300003,402.899994,408.700012,300.799988,423.399994
1-Apr-02,268.013336,302.200012,440.5,439.100006,336.899994,387.200012
1-May-02,239.531616,326.100006,485.899994,503.700012,365.899994,410.100006
1-Jun-02,822.016663,393.5,733.299988,739.700012,1462,603.200012
1-Jul-02,867.753235,818.799988,1090,1036,2434,1098
1-Aug-02,1698.856079,3213,3945,2861,6847,2182
1-Sep-02,5699.106934,6603,5370,5034,5608,5887
1-Oct-02,772.358704,907.700012,1466,960,1641,3568
1-Nov-02,248.132004,232.800003,729.200012,480.700012,1155,2200
1-Dec-02,236.14064,168.800003,449.700012,374.299988,906.599976,1152
1-Jan-03,296.176453,251.699997,376.299988,368.5,603.099976,560.900024
1-Feb-03,209.891068,251.899994,339.600006,341.100006,479,389
1-Mar-03,199.043549,240.600006,322.200012,320.200012,273,330.700012
1-Apr-03,250.268661,377.200012,456.600006,454.399994,401.899994,352.299988
1-May-03,201.512253,170.600006,260.200012,263.100006,188.899994,360
1-Jun-03,410.097992,385.299988,422.100006,424.100006,1366,338.600006
1-Jul-03,2932.137695,3263,2724,2180,6925,1434
1-Aug-03,9281.282227,13860,9373,8917,12320,8338
1-Sep-03,16896.67188,13840,12260,11400,11360,13060
1-Oct-03,5815.064453,6114,5182,4459,5461,8256
1-Nov-03,1664.873657,1097,1977,1802,2162,4173
1-Dec-03,987.419373,534.700012,1132,1080,2055,2319
