Date,inflow,precipitation,evaporation,sim_inflow,outflow_harangi,outflow_hemavathi
1/1/2011,294.2,5272,60910,57.46128,0,56.66832
1/2/2011,230.9,0,113100,87.33888,0,55.224
1/3/2011,225.6,0,138900,78.61632,0,55.224
1/4/2011,195.3,0,137800,65.44752,0,30.444
1/5/2011,200.7,0,130300,52.30704,0,15.576
1/6/2011,213.7,0,134600,61.05792,0,18.408
1/7/2011,207,0,172700,52.30704,0,21.24
1/8/2011,201.3,0,129900,56.69664,0,21.24
1/9/2011,191.2,0,135100,43.52784,0,16.992
1/10/2011,191.3,0,139700,39.13824,0,16.992
1/11/2011,195.3,0,126300,34.77696,0,24.52512
1/12/2011,170.3,0,135800,43.3296,0,12.85728
1/13/2011,179,0,120100,43.3296,0,12.85728
1/14/2011,170,0,147900,47.20944,0,9.912
1/15/2011,168.9,0,143600,33.53088,0,9.912
1/16/2011,165.6,0,127500,46.75632,0,9.912
1/17/2011,161.2,0,132700,59.55696,0,9.912
1/18/2011,157.6,0,120500,76.29408,0,9.912
1/19/2011,149.6,0,126600,62.4456,0,5.43744
1/20/2011,148.1,0,138400,66.58032,0,4.248
1/21/2011,145.5,0,141700,66.46704,0,4.248
1/22/2011,141.3,0,147400,62.61552,0,4.248
1/23/2011,135.8,0,185700,62.1624,0,4.248
1/24/2011,134.4,0,138300,69.5256,0,4.248
1/25/2011,130.5,0,149800,48.39888,0,4.248
1/26/2011,128,0,130100,53.07168,0,4.248
1/27/2011,124.7,0,128500,53.07168,0,4.248
1/28/2011,119.9,0,160200,60.85968,0,4.248
1/29/2011,117.7,0,134300,47.63424,0,4.248
1/30/2011,114.4,0,137200,55.45056,0,4.248
1/31/2011,111.3,0,141800,64.48464,0,4.248
2/1/2011,106.6,0,163700,56.27184,0,4.248
2/2/2011,103.6,0,152800,24.69504,0,4.248
2/3/2011,100.7,0,158100,14.16,0,4.248
2/4/2011,97.79,0,155200,19.90896,0,4.248
2/5/2011,94.82,0,167500,16.1424,0,4.248
2/6/2011,92.83,0,144300,12.23424,0,4.248
